phi1_rad,phi1_over_pi,C_max,t_at_C_max,t_at_C_max_over_T1,C_final,C_auc_over_tT1
0.0,0.0,1.0,9.77,9.77,1.0,8.0195
0.1570796327,0.05000000000652865,1.0000000000000002,7.78,7.78,1.0,8.157499999999999
0.3141592654,0.1000000000130573,0.9800000000000001,9.9,9.9,0.98,7.8575
0.471238898,0.14999999998775496,0.98,9.02,9.02,0.98,7.894299999999999
0.6283185307,0.19999999999428358,0.9900000000000001,9.4,9.4,0.99,7.889749999999999
0.7853981634,0.25000000000081224,0.99,8.77,8.77,0.99,7.815450000000001
0.9424777961,0.3000000000073409,1.0,7.21,7.21,1.0,8.529
1.099557429,0.3500000000775315,0.9900000000000001,8.790000000000001,8.790000000000001,0.9900000000000001,8.07495
1.256637061,0.39999999986124324,0.98,9.15,9.15,0.98,7.8963
1.413716694,0.4499999999632649,1.0000000000000002,9.290000000000001,9.290000000000001,1.0,8.3392
1.570796327,0.5000000000652864,1.0000000000000002,9.59,9.59,1.0,8.0563
