traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.7069322259421427,0.7069282511033297,0.01588884013633268,0.015710995303281454,0.5063503754620061,0.9997503235199933,0.0015355092901994298,0.0222919901650207,2.7845134584910916e-06
2,0.0005791914900790975,0.0005209969700217973,0.7071065892509816,0.707106543978499,0.5002197753275099,4.097228725520907e-05,3.8630721303767774e-07,0.9999996965495663,0.0007779600867840301
3,0.005699549057039092,0.005674031653728346,0.7070840157752062,0.7070838105490366,0.5021618881195906,0.008042336150082274,1.7571851691724665e-06,0.9999676597281787,1.7997505002180854e-05
4,0.004470677772658652,0.004466528908402722,0.707092674350312,0.7070926481305342,0.5016874213890307,2.921604962805149e-06,2.2515432718360413e-07,0.9999800313806658,0.006319559425552526
5,0.7069147533869066,0.7069137025498455,0.016523230533755356,0.016478211187264506,0.5063271719313515,0.9997276886273869,0.02333241791279723,0.0003832304088841328,7.384528619614746e-07
6,0.7064906033855392,0.7064903389074929,0.029519628630113214,0.02951329822340677,0.511049068154958,1.8544764138369698e-07,0.04174254730206297,5.469203398409333e-05,0.9991283985321807
7,0.0023982598996834985,0.0002323895798585913,0.7071067429993074,0.7071027141437503,0.5009103236605928,0.001548825770213207,3.450145257007018e-05,0.9999970965728836,0.0018457503070390636
8,0.7070900930375202,0.7070899755144583,0.004875092508585994,0.004858016899457409,0.5018898499990514,8.317696432434738e-08,0.0068808162849768335,0.0001456791511599463,0.9999763162919609
9,0.7071017478490089,0.7071016732690271,0.0026876867637742816,0.0026693893313427205,0.5010495893032962,4.980769830644116e-08,0.0001570402383653293,0.003784790338445179,0.9999928253244879
10,0.7071041080610657,0.7071036886021581,0.0020930876287688326,0.0019443156164297996,0.5010544038986706,0.9999959193021621,0.001493765835367287,0.0024351678929978113,2.987182136782725e-07
11,0.02546270735125007,0.025438027527631645,0.7066490690261361,0.7066481801677168,0.5095348128590665,1.7413015747457064e-05,0.9993520687080463,7.668093047980494e-06,0.03599225481876389
12,0.0002666506002659223,0.0002298383588061326,0.7071067438331493,0.7071067309094489,0.5001010581269791,0.0003510729014320789,0.9999999380358755,1.106405214159199e-07,2.6000609241613933e-05
13,0.0016183815451616106,0.0011089476935875276,0.7071059116108501,0.7071049291591878,0.5006129642621988,0.0003600449618619021,8.409849525186729e-06,0.9999980755009013,0.0019285464451678472
14,0.6569405660566108,0.6569394358154865,0.261592388403088,0.2615895500000365,0.5850214634601825,0.9290534589891569,0.369945495649001,2.4262495433208448e-05,7.95858083516846e-07
15,8.314275929180076e-05,5.51655398603377e-05,0.707106779034653,0.7071067762985163,0.5000314890861962,9.782483379673291e-05,0.9999999950220207,2.3556707171914756e-08,1.965342472391052e-05
16,0.013926045412084852,0.013769781113513912,0.7069726961687233,0.7069696353162337,0.5052320818773919,0.0001110168836447263,2.638125644711998e-05,0.9998082104540211,0.019583903798402403
17,0.7071061923197799,0.7071061217151982,0.0009657292008974594,0.0009125694606611706,0.5004621929625531,4.938866641967387e-08,0.0012323423492585541,0.0004967376009739687,0.9999991172916525
18,0.0038494546947352706,0.0037817680863995694,0.707096668235935,0.707096302987473,0.5014599062050451,4.8180447259254e-05,3.1415165514129124e-06,0.9999854398535227,0.0053960865199238345
19,0.707106689436077,0.7071066843991721,0.0003699702801934175,0.0003602148664620513,0.5001589179085081,3.5554873756146507e-09,0.0005093087026088433,8.507293161497547e-05,0.9999998666836108
20,0.7066243801497243,0.7065801275478429,0.027285955260911248,0.0261148497610922,0.5123688984424706,3.176535613804936e-05,0.03628404916876276,0.010486968506850507,0.9992864905813901
21,0.7071067797943911,0.7071067797902326,4.443744616225756e-05,4.43712258151491e-05,0.5000170090326177,2.9655748610418848e-12,6.279464459859604e-05,5.700100863206205e-07,0.9999999980282532
22,0.7067662655227684,0.7067651673143921,0.021977221641076624,0.021941875922564268,0.508334630111855,7.737759199284025e-07,0.00030391234343993,0.031054014673625008,0.9995176615794954
23,5.415054892207175e-06,1.2504180271225633e-06,0.7071067811854425,0.7071067811658136,0.5000020512273494,2.8820395083471538e-06,0.9999999999845577,1.699473021743901e-10,4.751864160568571e-06
24,0.00010568170430715948,7.631249875818294e-05,0.7071067770686427,0.7071067732891392,0.5000399524047585,2.0736867760524243e-05,3.2603242993692125e-08,0.9999999915038903,0.0001286942205674602
25,5.9598470305287025e-05,5.916790749170889e-05,0.7071067787110791,0.7071067786749201,0.500022491639934,8.398049997794929e-05,3.095993041081713e-10,0.9999999964735908,3.0742367892462136e-07
26,0.7071067720293104,0.7071067767557999,0.00011711791189653934,0.00011379934237830543,0.5000507853271254,0.9999999866665538,0.00016072277037049257,2.8897866654378895e-05,3.8441428404257213e-10
27,0.7071056823756658,0.707105679165599,0.0012483956734115438,0.0012465761285980047,0.5004783745682391,0.9999984437768888,1.5680120623109316e-05,0.0017641422662586761,2.2498187575097503e-09
28,1.036715873465834e-05,1.171490699654468e-06,0.7071067811855872,0.7071067811105592,0.5000039267180693,6.60915603425548e-06,0.9999999999455893,6.450169045856071e-10,8.072758236008218e-06
29,0.7071065106906719,0.7071065066499452,0.0006230997588221446,0.0006184972604406769,0.5002458395372424,0.9999996146038391,0.0008770599196066131,3.947237054546912e-05,2.8425489281571473e-09
30,0.705172449869763,0.7051583565301035,0.052456574571389664,0.05226677668153084,0.5197951244078096,0.9972544769216046,0.0016270404904753476,0.0740328366313431,9.968805594732982e-06
