traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.7071067041824682,0.7071064082691649,0.0007262125604077156,0.00033000031692114357,0.5005128080062836,0.9999996818574829,0.00074665356720847,0.00028070151876477664,2.1207895284804098e-07
2,0.00020980344595278574,4.419678807102209e-05,0.7071067798053176,0.7071067500614853,0.5001485820044452,0.00011545917859319864,0.9999999770145805,2.1068085110710155e-08,0.00018066549224476214
3,0.003453637158776583,0.002964562646170841,0.707100566658181,0.7070983470426014,0.5024395858169256,0.00453837787398319,1.5679260940939068e-06,0.999989641824475,0.00034549613672756415
4,0.03195295980241501,0.03195062189848689,0.7063845678950718,0.7063844621449941,0.5220641020035486,1.6500912317920977e-06,7.547207554314816e-08,0.9989785613916721,0.045186655962928035
5,0.7071067811579455,0.7071067806117285,2.851162725650892e-05,6.35967744854662e-06,0.500020184581446,3.865087177828689e-10,1.554001023871671e-05,2.473593474773563e-05,0.9999999995733171
6,0.0032961653778743245,0.0032457006628993216,0.7070993320794569,0.7070990986373897,0.5023233586608818,0.004625800019898313,1.6464035007943133e-07,0.9999893003032564,3.540010383114614e-05
7,0.009085852267357449,0.009073202273022921,0.7070485676391108,0.7070484051948503,0.5063488336918942,0.012840390499791467,0.9999175587462631,1.159158868390423e-07,9.09528987487591e-06
8,0.7071067802342264,0.7071067789326952,5.6457317811252655e-05,3.669857904853998e-05,0.500039862148455,9.225911246401256e-10,1.3988728940560254e-05,6.58675178008877e-05,0.9999999977328932
9,9.399599969918486e-06,9.26869358493563e-06,0.7071067811258039,0.7071067811240759,0.5000066482466597,9.280874195050582e-08,0.9999999999128739,1.224506445785395e-12,1.3200475252934499e-05
10,0.7065289205501797,0.7065279380210432,0.028605467934240847,0.028581190076721347,0.5198443623393201,0.9991820868978687,0.04043707362307716,1.7284108136645057e-05,6.997192556506326e-07
11,0.0007303266410981002,0.0007257040246622825,0.7071064087912611,0.7071064040319551,0.500516523414206,0.0010295692840781969,3.393151586865486e-09,0.999999469988198,3.228527741478952e-06
12,0.707105175259486,0.7071045717746929,0.0017697530582807546,0.0015070239723845766,0.501246887372349,0.9999972984226901,0.0001875867821278006,0.00231688548266996,4.2978175487526454e-07
13,0.7071067811386765,0.7071067798453394,4.355164661205472e-05,8.227451590610758e-06,0.5000307384262939,0.9999999990177729,3.673005189444884e-05,2.4806051078884713e-05,9.358983298291662e-10
14,0.7071067804213725,0.7071067794088413,5.014033879602678e-05,3.289556219405396e-05,0.5000355253733973,7.069935721791919e-10,5.8725475958415344e-05,1.2144548575422785e-05,0.9999999982019117
15,0.0003122623493686543,0.0002314154803840683,0.7071067433187687,0.707106712238135,0.5002199506740181,5.753875461931465e-05,2.2159768032889585e-08,0.999999924469547,0.0003843828704709394
16,0.7071067811732902,0.7071067810506929,1.3860961075205036e-05,4.329861708876547e-06,0.5000098226949878,0.9999999998945621,6.738777947745466e-06,1.286323505644377e-05,8.596367086919171e-11
17,0.7071067599173125,0.707106734590918,0.0002567024925058427,0.00019372614943249708,0.5001817032338202,1.428520580361507e-08,0.00031844853722629496,4.490567637935646e-05,0.999999948287004
18,0.7071067800924596,0.7071067799247588,4.22426135845778e-05,3.933539884908264e-05,0.5000299850921547,1.181055889898841e-10,2.0537871035043302e-06,5.768443432682555e-05,0.9999999983341439
19,0.0003589768770840137,0.0003459572105484914,0.7071066965554824,0.7071066900656509,0.5002541655028064,0.0004984654024272643,4.576404250689776e-09,0.9999998757245963,9.112211285407756e-06
20,0.0015218508293134208,0.0008014653365202366,0.7071063269787006,0.7071051435041665,0.5010788001932993,0.0005112425499263163,8.239738210796938e-07,0.9999985208102452,0.0016422568883917893
21,0.0012067119072058311,0.001206050696178649,0.7071057526577921,0.7071057515296933,0.5008589060934838,0.0017060807908546893,7.902678913167248e-10,0.9999985446429988,4.6797653684584135e-07
22,0.7071067810732509,0.7071067810446034,1.416833875591066e-05,1.2658131672128538e-05,0.5000100912292538,0.9999999998195178,1.0614455643473435e-06,1.8969540159031562e-05,2.0156659146690195e-11
23,0.0006415801785884495,0.0006351997937085671,0.7071064958839148,0.7071064901235702,0.5004509659868203,4.572064759804614e-06,4.093644383038099e-09,0.999999592447969,0.0009028194687603793
24,0.05292405425236237,0.050016529787559744,0.7053356270230338,0.7051234249983892,0.5364266496090991,0.0020497829336878015,0.9973451599464923,0.00015218653475270385,0.07279015840360296
25,3.0578973563079774e-05,2.9673439408008303e-05,0.7071067805639301,0.7071067805253499,0.500021763107805,6.374383545054686e-07,2.7433350585299893e-11,0.9999999990922058,4.260493284605056e-05
26,0.0006595015704338699,0.0004129940309416788,0.7071066605795264,0.7071064736358152,0.5004669966367493,0.00017548697663667407,0.9999996972467496,1.3042425258765837e-07,0.0007580967695677885
27,0.00020874157744503975,0.00017684348758681198,0.7071067590727589,0.7071067503757503,0.5001479782546291,2.2492199344144755e-05,0.9999999625766667,6.122161734718676e-09,0.00027265503154127514
28,0.0006061592107740278,0.00038764780564344684,0.7071066749290287,0.707106521374976,0.5004272635910545,0.00015423441081314755,1.095399364139299e-07,0.9999997411500638,0.0007027884152058095
29,0.707106780425714,0.7071067589486553,0.00017733901392499876,3.28021135822203e-05,0.5001250463212729,0.9999999837374453,0.00010359203390869423,0.0001476272164135453,1.535023456953736e-08
30,4.700705560606483e-06,1.3242794050750985e-06,0.7071067811853071,0.7071067811709225,0.5000033229418772,2.3886269370935595e-06,0.9999999999880745,1.0274727733180676e-11,4.259672485970025e-06
