traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg,best_state,best_fidelity
1,0.6328765645449866,0.4327848457790296,0.5591934166851567,0.31538430639169607,0.8379164589719454,0.7535667769612443,0.5660808732246005,0.30284811861965455,0.141324359818283,plusplus,0.8379164589719454
2,0.6404375260615554,0.3398443533503565,0.6200853292054846,0.29973283972923426,0.8882462369601036,0.6930439253233311,0.48027022723218044,0.4936457227024004,0.21294254357548356,plusplus,0.8882462369601036
3,0.5231473927285037,0.17927266311286855,0.6840038832202767,0.4757276589408762,0.8441437363339148,0.49655757176415455,0.24379865907012666,0.7967059254062273,0.24341828234932983,plusplus,0.8441437363339148
4,0.652061044320282,0.4345208850715293,0.557845498715058,0.2735258570591456,0.8523549929420495,0.7682209274834931,0.3983411059541732,0.4767938319900943,0.1543651892746672,plusplus,0.8523549929420495
5,0.4934459243585361,0.1291545465491515,0.6952115527705822,0.5064692683015927,0.8300425485429554,0.2571778441290594,0.8317097411009929,0.2192923377534067,0.44048760896249567,eg,0.8317097411009929
6,0.46068283838110574,0.14849532942362395,0.6913386558983734,0.5364432145354513,0.802864461504972,0.22066984014653487,0.17842126835485858,0.8566716468747764,0.43079503489386395,ge,0.8566716468747764
7,0.569532434202287,0.0745150131230073,0.7031696188113364,0.41908568621776976,0.8934761971074388,0.3499163688764876,0.7421570499655964,0.3453740557689048,0.45549776023642424,plusplus,0.8934761971074388
8,0.6450672049468663,0.454170911036042,0.541967511543531,0.28963477191461884,0.8351007455240673,0.1347206102667524,0.5231305629262483,0.3224151032491923,0.7773244319450051,plusplus,0.8351007455240673
9,0.5513066814128103,0.45946956601444805,0.5374827605667845,0.4427877017697652,0.756418953346434,0.714732299989647,0.6878799029593792,0.10848919692594831,0.06487736590260695,plusplus,0.756418953346434
10,0.588873431649667,0.12781685402212725,0.6954587348131347,0.3914435945343015,0.9027387378515785,0.32576801917762316,0.7026400020733394,0.37840185916060004,0.506936148002159,plusplus,0.9027387378515785
