traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg,best_state,best_fidelity
1,0.41841554313062873,0.05366291054565757,0.7050675797976693,0.5700249409163581,0.7944618209269593,0.33386974996095836,0.9015954614234545,0.09578282355970248,0.2578415496241054,eg,0.9015954614234545
2,0.38817222776572136,0.06857571641896795,0.70377366469457,0.591034958011281,0.7721790813447981,0.22554777422973976,0.9155762418102932,0.07962310055230029,0.3232777580208514,eg,0.9155762418102932
3,0.6964496595566565,0.6538187243242979,0.26929738693876676,0.12230237815928913,0.6828986645413523,0.030145625086449683,0.10390252341350395,0.27691735218973174,0.9547838954301036,gg,0.9547838954301036
4,0.6772414487619337,0.4907789448078208,0.5090540550765777,0.20333228980866447,0.8387847143495404,0.8259324009533118,0.5037061537039358,0.21624098082817092,0.13174072258322764,plusplus,0.8387847143495404
5,0.3479470122338984,0.14018890772143502,0.6930707540733998,0.6155752404682171,0.7361012632489939,0.14747433779822056,0.9253591548642255,0.05468437929007864,0.34492227075328447,eg,0.9253591548642255
6,0.25798176070772655,0.1025432666337192,0.6996319592958056,0.6583657123074859,0.6770913699389317,0.2549129689074414,0.9602494593467917,0.02917645342439107,0.10995039187090935,eg,0.9602494593467917
7,0.5509508529716574,0.4523489371765102,0.5434891342384688,0.44323036629928914,0.773893215488455,0.06965985174614296,0.07101383929623042,0.6977038277618174,0.7094461983897163,plusplus,0.773893215488455
8,0.43491331784267784,0.044502680728561464,0.7057049747649307,0.5575396003541575,0.8064661176839982,0.27590189849409413,0.8932177320574864,0.1050333304676465,0.33912862609385996,eg,0.8932177320574864
9,0.6246582546709023,0.18585875452534434,0.6822437419033519,0.3313639462456679,0.9240886973525517,0.5733221131926439,0.7167195570764523,0.24813638334980964,0.3099083191631542,plusplus,0.9240886973525517
10,0.6144080706453064,0.258031400533155,0.6583462586959058,0.3500038988350716,0.8999577974756419,0.2518008597769442,0.21825462503666004,0.7129428056925428,0.6169876834078135,plusplus,0.8999577974756419
