traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.003506836926932463,0.0034692911172270846,0.7070982704117893,0.7070980852008906,0.5007098818373941,0.004932867390784322,0.9999878327947724,1.9404238157929795e-05,2.655543570045789e-05
2,0.0004277175603235001,0.0002718853136132288,0.7071067289160684,0.707106651826791,0.5000869317416434,0.00011035661899393148,0.9999998715355665,8.057792616104282e-06,0.0004946568020475197
3,0.7070927486295444,0.707092718416119,0.004459547388030443,0.00445475426022968,0.5009726448749119,2.1513729236649133e-08,0.006283452360542618,0.0005006244679548261,0.9999801336034536
4,0.7053895615680341,0.7053895076931701,0.049250811530184756,0.049250039907102104,0.5098574758430711,0.9975714466306437,0.06965057308822435,8.084376815465104e-05,3.8174550881481054e-08
5,0.0002850760173557097,0.00027938845213107367,0.7071067259912693,0.7071067237211534,0.5000575948988591,4.046942104835312e-06,2.391421476119242e-07,0.9999999203368463,0.00039913639913592236
6,0.0034532799096136085,0.0034250210062839975,0.70709848623166,0.7070983487873979,0.500698620204015,0.004863692853393905,1.4299093248797118e-05,0.9999881718723007,2.0071259867827176e-05
7,0.7070880442265267,0.7070880199044701,0.005150932690200019,0.005147592826618694,0.501093608828143,1.7158209442390364e-08,0.0003496012199013626,0.007273760958037523,0.99997348473873
8,0.008637047862935591,0.008631961004077635,0.7070540921663785,0.7070540300459441,0.5017487929688492,0.012211033270268406,0.9999254425262027,6.49695490620686e-06,3.610395458186704e-06
9,0.00758850082717695,0.007585932554880924,0.7070660885852706,0.7070660610268891,0.5015370387358148,0.0107299447033857,0.9999424324805388,2.873611175621251e-06,1.8193776262473438e-06
10,0.0003543369870707179,5.1960388213349844e-05,0.7071067792774418,0.707106692405961,0.5000719095884781,0.00021257068911262908,9.108055226145512e-06,0.9999999358312274,0.00028821569089801163
11,0.001883433879502354,0.0013273826634825864,0.7071055353023811,0.7071042728458256,0.5003829793741018,0.0003950583732848172,0.00013198903706283387,0.9999973366519459,0.002270065372510001
12,0.707106738810111,0.7071067382774426,0.000246338459415068,0.00024480467706365405,0.5000690612493202,0.9999999396940156,0.0002900201981246048,0.00019105038910976886,3.7843145396914904e-10
13,0.008985704239079413,0.008715615069607413,0.7070530659391504,0.707049685043987,0.5018225350356711,0.00019106294112560934,0.0003532049404722893,0.9999215821358314,0.01251672162297039
14,0.7071067802511833,0.7071067802406771,3.657405121400623e-05,3.6370358813552755e-05,0.5000100049361196,7.423349606968402e-12,4.568631903881937e-05,2.3942106739268715e-05,0.9999999986697665
15,0.7069117170057008,0.706911704310873,0.01660872532190734,0.01660818498734701,0.5033721223983058,8.787157679302035e-09,5.636248558010839e-05,0.023487834907941686,0.9997241211627341
16,0.7071067799790189,0.7071067799759598,4.137668417631866e-05,4.1324373398264083e-05,0.5000091634570641,0.9999999982901338,5.822208462610191e-05,5.470163798005031e-06,2.1349043032784675e-12
17,0.7058662227120837,0.7058574548013172,0.042014919985753935,0.041867446443353974,0.510375430187022,0.9982393818064009,0.05709930651796593,0.01605633109598184,6.138763861845103e-06
18,0.7069098093638311,0.7069096543681759,0.016695525180602775,0.016688961177438275,0.5034831354723934,0.9997213301784306,0.023596530517020205,0.0006824469191942327,1.091559463831034e-07
19,0.014452474962253313,0.009300648297596257,0.7070456123484913,0.7069590695135568,0.5030151696616586,0.01679762624416117,0.9998115843471191,0.009023287318426457,0.0036353602093337424
20,0.7071067787541553,0.7071067787213445,5.904511804397587e-05,5.8650870585252145e-05,0.5000168618693003,0.9999999965368774,6.353234525816438e-05,5.375771285343566e-05,2.3024834928125218e-11
21,0.7071064953581332,0.7071064937102313,0.0006376149561119302,0.0006357848284668258,0.5001540784756114,1.1777793606986724e-09,0.00019626746360298773,0.0008787799856033704,0.9999995946123375
22,0.7071064576420335,0.7071064535367305,0.000680710441987155,0.000676432504553484,0.5001916249170519,2.8690906305275727e-09,0.0005425021216259022,0.0007915927533007375,0.9999995395360729
23,0.11837936225976421,0.1183531354988066,0.6971316484837069,0.6971271954177236,0.5231900742998683,0.16739515449235282,0.9858897743625212,0.0004633745883374862,1.8544775905718308e-05
24,0.7071059534053421,0.707105946040788,0.0010867721760882318,0.0010854074324351674,0.5002393326895571,0.9999988204077764,0.0015292832042592631,0.00014309415877517692,1.4882414546044333e-09
25,0.7071031206222376,0.7071031193559897,0.0022756530996249657,0.0022752596102928267,0.5004647118864781,9.021075073420809e-10,0.003217715525369346,4.13536196681572e-05,0.9999948222849346
26,0.7070043307647937,0.7070040188163255,0.012054765762044428,0.012036456282431031,0.5027024928626641,0.9998548926432085,0.0019230672070856404,0.016926177061984907,2.17795550483773e-07
27,0.04414649270975868,0.04303875795662405,0.705795767423953,0.7057273462049227,0.5089924185393283,0.061649269714124474,0.9980721086430051,0.007128705626922782,0.0007842504298902704
28,0.7071066420351028,0.707106642014236,0.00044364326990388144,0.0004436100101055063,0.5000901594294763,1.478565014286994e-11,3.481710556605992e-06,0.0006273731502769431,0.9999998031953848
29,0.004329082095908904,0.0037369769991723164,0.7070969063734516,0.7070935292082688,0.5008793626092459,0.005703483250704912,0.00035256010227566463,0.9999835847415123,0.00041979482415879186
30,0.707106733762132,0.7071067331229753,0.00026071469561345014,0.0002589753825568437,0.5000741975909155,0.9999999324797965,0.0002781413750474795,0.00024016198026743308,4.583797405174162e-10
31,0.02977200888115791,0.02857033958913575,0.7065293594011481,0.7064797431640055,0.5060508638656057,0.041254229799741006,0.005185506361518129,0.9991348626289902,0.0008516612147873754
32,0.7071066676981309,0.7071066669687395,0.0004019059181347434,0.00040062058350119373,0.5000988268018877,5.216766489930599e-10,0.0005504049972116775,0.00013812877325518184,0.9999998389873845
33,0.7058531045327217,0.7058524750709959,0.042098585172323136,0.04208794152149521,0.5086268686488179,4.4944567289396266e-07,0.0011094442135433143,0.05951852508728003,0.9982265846513838
34,0.0004545131300247402,0.00035023840352168243,0.7071066944479169,0.7071066351108675,0.5000926580268202,0.000569092692796779,6.161805814272985e-06,0.9999998353564393,7.336642059971488e-05
35,0.009093110960137986,0.0088727349741917,0.7070511117126312,0.7070483118804943,0.501847137072523,0.00015590564044608754,0.9999192492494897,0.00029135452964147956,0.012703770553930172
36,0.7071056234412252,0.7071056093274223,0.001287345212112633,0.0012795693793468492,0.5003583416953001,1.004767967155255e-08,0.0009510772751322661,0.0015459649117746453,0.9999983527208979
37,0.7070573403066021,0.7070573243488593,0.008363464275591063,0.008361669603100821,0.501716861832095,1.5006484630003215e-08,0.011824950725078038,0.00018866263536968997,0.9999300650279273
38,0.7070575833469589,0.7070575769215458,0.008341637598808111,0.008341092947318772,0.501706732472219,0.9999304192045614,0.011796335480502896,5.673285722299839e-05,4.457134748821074e-09
