traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.7071055507858398,0.7071055247154662,0.001335802167453168,0.0013191087339799457,0.5005385311329962,0.999998237790804,0.0018717682345122093,0.00014456472220360502,2.2285632208606854e-08
2,0.7070941438210218,0.7070941336130643,0.004229209144630778,0.0042275021011431895,0.5016006131237161,7.217727366303647e-09,0.0059797798787203605,1.4717549041771282e-05,0.9999821208481651
3,0.70710678097335,0.7071067809403009,1.8661319503180596e-05,1.7363931894114186e-05,0.500009345714964,2.3344413657217823e-11,1.2989595803369923e-05,2.1932199554269494e-05,0.9999999996751241
4,0.0055628367898999075,0.005522376970227122,0.7070852164715338,0.7070848993203334,0.5020918510379494,2.8976623162944974e-05,0.9999692786241455,2.7107553576295027e-06,0.007838428471809185
5,0.706197275808559,0.7060387222499319,0.03885000236383015,0.035852582062609904,0.5195370856231064,0.998601650814492,0.03325374886614902,0.04109645374692176,0.00011254473898142739
6,0.7071067802953288,0.7071067802747446,3.590939497654e-05,3.5501748295723194e-05,0.5000144796139917,0.9999999987250714,5.0375521037072846e-05,3.487930601011563e-06,1.4521271436012108e-11
7,0.7071062212688185,0.707106184627998,0.000918510117514299,0.0008898555687347511,0.5004024850285063,0.9999991822477814,0.00025129493313231756,0.0012539356545558482,2.5772404352118416e-08
8,0.00025727177577293916,0.00024386559951145785,0.7071067391346016,0.7071067343840205,0.5000976664393922,0.0003543586066361131,0.999999937170399,4.095347454076721e-08,9.443258831395943e-06
9,0.0005733968231421488,0.0002490444412013501,0.7071067373295665,0.7071065487011711,0.500217063784813,0.00022663182339809163,1.624896417259867e-06,0.9999998045951342,0.0005826191441293857
10,0.7071067546778635,0.7071067476517243,0.0002177737388973136,0.00021198943541000869,0.5000940687834419,1.2492356481435734e-09,4.998216387224042e-05,0.0002997777599713129,0.9999999538175388
11,0.6924838680330134,0.6924566144227039,0.14319163536485172,0.14305975155169937,0.5508234862051307,1.9003787957499932e-05,0.0011316436269749538,0.20240715485178912,0.9793008029642157
12,0.001402679552066051,0.0008464494641364,0.7071062745608346,0.7071053899455668,0.5005304902129923,0.0015897180755938723,0.9999986579768516,7.607291900407489e-06,0.00039595840848646375
13,0.7070593242097836,0.7070578730289124,0.008316500935369,0.008192649025951675,0.5033919404201127,0.9999318558347138,0.01162523423965776,0.0010665902416154393,1.0151145029997531e-06
14,0.002030146192580656,0.002026390830473874,0.7071038776164379,0.7071038668444948,0.5007664823910822,0.002868404830797502,9.186683498875193e-08,0.9999958861148536,2.662280204294911e-06
15,0.7071066591942298,0.7071066531540191,0.00042551770939536747,0.00041535909131547733,0.5001813460799998,4.25182833099024e-09,0.0005880394222552006,8.830704174226114e-05,0.9999998232057361
16,0.7071065633508038,0.7071065467003315,0.0005758589510345631,0.000555037129608104,0.5002586093919825,0.9999996801600752,0.000778483433426037,0.00018342107461096114,1.1806958407465323e-08
17,0.00020788966957247036,0.0001764836607336086,0.7071067591626554,0.7071067506267221,0.5000789281509339,0.0002717920769022532,7.318888103541802e-08,0.9999999628176943,2.221855427443637e-05
18,0.06409315361855498,0.06408373040186931,0.7041969010850457,0.7041960434845039,0.5237098347728198,6.6697487037469535e-06,7.318389081918565e-06,0.9958842016537126,0.09063474388172349
19,0.0007226542735992249,0.0007181550589535534,0.707106416498472,0.7071064119146425,0.5002731174217472,3.2048409179408434e-06,3.97665651716477e-08,0.99999948101192,0.0010188059760555472
20,0.6825584631831277,0.6820782680354734,0.18646510738958938,0.18469962514604904,0.567597895460098,0.9649438827477801,0.01509982397643638,0.2620213409605843,0.00033962464736826
21,0.707099518174947,0.7070994850645377,0.0032121988525279466,0.0032049019891801523,0.5012270527060843,0.9999897051378961,0.00453714955723942,6.238688704278978e-05,2.3880275312414955e-08
22,0.037211233845334556,0.03705407462965794,0.7061352530169681,0.706126988650208,0.5138717641242982,0.052513503032725346,0.9986202053753948,7.120079543607631e-05,0.00011111111162028105
23,5.777121459429504e-05,5.531602148489568e-05,0.707106779022898,0.707106778826569,0.5000217690142402,7.996436585549954e-05,0.9999999968013121,1.688528644259803e-09,1.753756523965278e-06
24,0.0003970423674772554,0.0003942623944974955,0.7071066712718562,0.7071066697163604,0.5001509875833174,0.0005595370103701477,1.3237937584780974e-08,0.9999998434572513,1.951518387466405e-06
25,0.7071063310064153,0.7071063228248463,0.0008097355785003755,0.0007979039121775136,0.5003310233677574,9.318670304931781e-09,0.0011322295600239803,0.00010187533344938674,0.9999993538386185
26,0.0001421509293999083,0.00012288092208977993,0.7071067705094317,0.7071067668981201,0.5000538941415049,0.00018740453523790983,3.089465332289015e-08,0.9999999823466948,1.3643603451995753e-05
27,0.0014808697931520997,0.0014803856547845285,0.7071052315308626,0.7071052305171419,0.5005593976281653,3.4200342782617567e-07,0.9999978077391047,8.674788753835029e-09,0.0020939237978247526
28,0.7071067806169082,0.7071067805651938,2.9643267958420908e-05,2.8382881399568298e-05,0.5000136054707675,3.640795688577834e-11,3.9468013594880025e-05,1.125109748740406e-05,0.999999999157841
29,0.7071062015859453,0.7071061948086826,0.0009106388882512412,0.000909466475729104,0.5003462938455391,1.0797126700350823e-09,0.0012869689472938147,1.0167790911724483e-05,0.9999991718034291
30,0.7070818063409139,0.7070793652069838,0.00622725852838251,0.00594299096997292,0.5028837672652723,1.7172994699599896e-06,0.002569127637567944,0.008215684611179823,0.9999629503669626
31,0.707103748596979,0.7071036668328066,0.0020986547102161703,0.0020709225223806446,0.5008509089014611,5.816436571964584e-08,0.002938628995113861,0.00023985686459226686,0.9999956534547025
32,0.004177327755123944,0.0008810575576308427,0.7071062322859115,0.7070944420180543,0.5015883162597391,0.0023484213555306174,0.9999908816823769,0.00010110639775723132,0.003565283541385597
33,0.7071057571762999,0.7071056856715943,0.0012447051469762862,0.0012033985748685391,0.5005498596338447,0.9999985012693577,0.001693151198037855,0.0003615218575520256,5.048075999017616e-08
34,0.70710676764257,0.7071067675998309,0.0001386164434692963,0.00013839825243425953,0.5000529233893187,0.9999999808157024,0.0001958700554164159,1.8751181572952405e-06,2.9952414921450194e-11
35,0.004881900239278215,0.00452718774237267,0.7070922885813069,0.7070899285452019,0.5018502662785387,0.0066532937567213716,2.0392509117131517e-05,0.9999778353570418,0.0002491204281597108
36,0.7071067805992919,0.7071067805869824,2.911892749318885e-05,2.8818459003652494e-05,0.5000116897144904,8.745473134531966e-12,4.08877350584555e-05,2.570727423967578e-06,0.9999999991607912
37,0.7070812338337955,0.7070793238242702,0.006231955592466345,0.0060113401493379365,0.5027782991700476,1.350715125607377e-06,0.0019389489498393662,0.00843883628632714,0.9999625125559873
38,0.7071063987208908,0.7071063393158223,0.0007905058076761387,0.0007404988886005891,0.5003885446020844,0.9999994133808643,0.0004827026781157502,0.0009696577543279356,3.8017065718135635e-08
39,0.7071042254141904,0.7071037664068687,0.0020648324973631524,0.001901157915439466,0.5010637662997661,0.9999960610248806,0.002059663101354254,0.0019067570822013135,3.2450444321042765e-07
40,0.7071053586979875,0.7071053450487566,0.0014251327947543057,0.0014209683880002624,0.5005502900584864,0.9999979749206321,3.5637405503525206e-05,0.002012184041709222,5.8297727003027236e-09
41,0.7071067310066537,0.7071067246790745,0.00028268999966521696,0.0002800279777391255,0.5001124877503116,0.9999999208353494,0.0003972483313685842,2.287066794521219e-05,7.557686977059561e-10
42,7.75482181450758e-05,7.487158518117464e-05,0.7071067772226787,0.707106776934199,0.5000293924156309,0.00010777706763610491,0.9999999941902572,2.464994571059491e-09,1.8931456571845272e-06
43,0.7071067788507758,0.707106778771648,5.8439569076576905e-05,5.7474164999371465e-05,0.5000240650010493,5.6027606149146675e-11,8.337592139259658e-06,8.15410781971292e-05,0.9999999966407683
44,0.0003926380076005847,0.0003007616745004533,0.7071067172233839,0.7071066721757124,0.500148706674353,6.504545537583079e-05,0.9999998776888381,3.878779743648086e-07,0.0004902971329671675
45,0.7071067811865135,0.7071067811865088,2.3369840751926503e-07,2.1918259002235395e-07,0.5000001204025251,3.3124964512463154e-15,2.8916250421156983e-07,1.379891285719337e-07,0.9999999999999488
46,0.011664363134541226,0.008003849301184522,0.7070614813411535,0.7070105675537305,0.5044303767270197,0.013906590608790015,0.9998998375772485,0.00044254037894995025,0.0025933971176875076
47,0.003913028685333067,0.003912004670527835,0.707095959696743,0.707095954030645,0.5014714651370059,7.290492092295592e-07,4.8827893098748446e-08,0.9999846920958161,0.00553313414828868
48,0.7071065494379307,0.7071065432527949,0.0005800767934130292,0.0005789581714231754,0.5002221703820274,6.491202625056137e-10,9.574589340945284e-06,0.000819505935154201,0.9999996641591216
49,0.7071067803712021,0.7071067802601453,3.619571776775867e-05,3.395691017900992e-05,0.5000177159677764,7.861010921874389e-11,2.1340009894471133e-05,4.480854507047136e-05,0.9999999987683986
50,0.000454439717519764,0.00041690600637182417,0.707106658283872,0.7071066351580545,0.5001719796340344,0.00061613304979553,0.9999998098369274,2.000915857563109e-07,2.6573174784563668e-05
51,0.04822542398347373,0.04747025959023479,0.7055115693271351,0.7054603521684372,0.5180595382769486,0.0005305406494304311,0.0004391056279260364,0.9977077177822673,0.06766709385343356
52,0.001846970417267323,0.0012683261859680714,0.7071056436973873,0.7071043690292742,0.5007005714483338,0.0004059946561084112,0.9999974899601531,1.1062468991426661e-05,0.002203433542334408
53,0.006531903170472788,0.006529410837748532,0.7070766343149124,0.7070766112953843,0.5024726408022441,0.009235743706707497,0.9999573496079867,1.985981976160558e-07,1.7608388178865392e-06
54,0.06535060712536969,0.06534937714941101,0.7040805769982453,0.7040804628367014,0.5241340310449069,0.09241884518164406,9.788258866856384e-07,0.9957202202695133,8.727497619096724e-07
55,0.7071067810664213,0.707106781044826,1.4157105788594976e-05,1.303392303404384e-05,0.5000072928532775,0.9999999998148459,1.3732472324343218e-05,1.3480578542035788e-05,1.536537676929732e-11
56,0.0006887237572847069,0.0006592866443011374,0.7071064738362388,0.707106445777144,0.5002604958285405,0.0009531875533958191,0.9999995455002192,2.4516821177915346e-07,2.0803395239993824e-05
57,0.7071067656578253,0.7071067706635357,0.00014944017337172876,0.0001481922005983981,0.5000591811937704,1.8646982462626778e-10,0.0002101842654899151,1.0764212745626331e-05,0.999999977853352
58,0.7070594499907467,0.7070592855549973,0.008195984412024036,0.00818178640701589,0.5031266471491356,0.9999329398567616,0.011580189585320266,0.00012246820081597085,1.138001901532532e-07
59,0.0001175405820353905,8.993476100162517e-05,0.707106775467282,0.7071067714173085,0.5000446903475977,0.00014673420649626655,0.999999989047973,3.446507906133397e-08,1.931636979244409e-05
60,0.7071062155800286,0.7071062056370985,0.0009021915014558109,0.0008943646291809452,0.5003585236873519,7.082874467752509e-09,0.0012686115545033675,6.680059138668097e-05,0.9999991930808769
61,0.7070213096155028,0.7070210646242039,0.011010069361080052,0.01099398697380868,0.5041718372975891,1.7838052014258666e-07,0.015558602656876858,0.00013878141623850112,0.9998789479847321
62,9.228713565763182e-05,9.032928044111762e-05,0.7071067754169943,0.7071067751641779,0.5000348435927654,0.00012912923482246694,2.1901953931508824e-09,0.9999999916618516,1.3910525023932422e-06
63,4.283681540077376e-05,1.527976138086217e-05,0.7071067810214586,0.7071067798890119,0.5000162451663295,4.105404423623839e-05,0.9999999989657684,9.723483399609475e-09,1.9571134698454186e-05
64,0.7071067807841287,0.7071067807340335,2.5297270814591972e-05,2.3855955347701316e-05,0.5000121954376598,3.541531324303976e-11,1.3437611639520583e-05,3.207006563204614e-05,0.9999999993954714
65,0.7071019131559323,0.7071014675983689,0.0027412625244719836,0.00262523555988992,0.5012545287569932,3.1474166630694397e-07,0.0036495049892099687,0.001042830430471132,0.9999927967830163
66,0.7071067018543292,0.7071067003007213,0.00034905644996267903,0.0003349517761933601,0.5001590555308225,4.834812079132337e-09,0.00012470960166068026,0.0004674190976942102,0.9999998829834441
67,0.0001850536952010785,0.0001363366632669501,0.7071067680430685,0.707106756971767,0.5000697805887288,0.00022723325484132027,9.513345071822332e-08,0.9999999735837171,3.4606412015102354e-05
68,0.0025352172202872886,0.002531596971215809,0.7071022493365271,0.7071022363658926,0.5009600567532851,2.5557296206560755e-06,0.9999935818246088,1.1154329451319916e-07,0.003582778676803296
69,0.0011858176714700463,0.0008390810101326639,0.7071062833429347,0.7071057868780842,0.5004493643401171,0.00024468679436258925,4.267223636713087e-06,0.9999989448801055,0.0014319039212869352
70,0.0006367822674425683,0.0006212253519980556,0.7071065082991829,0.7071064944605898,0.5002396367034839,0.0008895451255843147,1.1879168887691302e-07,0.9999996042936181,1.1048241651638634e-05
71,0.02043171091414633,0.02032511965101914,0.7068146075960596,0.7068115344199759,0.5077201440763612,7.491584333535325e-05,0.9995846307433692,2.6113884356698754e-05,0.028819432460128507
72,0.705956768905911,0.7059515246471953,0.04040352519644104,0.0403117902842982,0.5152701138541548,3.6387250210954513e-06,0.05706886723963458,0.0007935213983564061,0.998369928785184
73,0.707106779884483,0.7071067797627377,4.4872812180399655e-05,4.291148350755233e-05,0.5000206601730889,0.999999998072516,1.756217551222355e-05,5.9552789028509964e-05,8.482117396394435e-11
74,0.00046728887551909646,0.0003609186494922578,0.7071066890772059,0.7071066267834765,0.5001772372496821,0.0005856070744478756,5.347509669260153e-07,0.9999998256892596,7.540238120787213e-05
75,0.0008211328866946228,0.0007998833168139805,0.7071063287700643,0.7071063044131208,0.5003107200561075,1.510660263388279e-05,2.1093979348329278e-07,0.9999993429634918,0.001146230486719683
76,5.237847244667733e-05,2.818582934278741e-05,0.7071067806247929,0.707106779246597,0.5000198468184381,1.7151304416611387e-05,1.1785353733916165e-08,0.9999999982310275,5.6954175513273834e-05
77,0.7071067413498575,0.7071067390710657,0.0002440497548402013,0.00023735539734442255,0.5001050631491692,0.9999999420510638,5.8257998010986103e-05,0.0003354159703321281,1.6270348487101775e-09
78,0.7071066703925577,0.7071066643242003,0.0004065320438518486,0.0004051381619000374,0.5001565267016317,5.693632209383889e-10,1.1929039231597673e-05,0.0005738143697478422,0.9999998352973702
79,0.7071067809144017,0.7071067808665739,2.1272270034685824e-05,1.961812111777469e-05,0.5000109083104356,3.388628034837272e-11,2.2191343839160745e-05,1.857214062062886e-05,0.9999999995813086
