traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.01833805399992022,0.017042734118027807,0.6845084596576088,0.728574930705468,0.4806238511791901,0.0009134459456540875,0.7068851607497647,0.7068851607631111,0.025018085881776307
2,0.09768361454002286,0.09745312007718661,0.7113335250042916,0.6891773482972867,0.5485247317494357,0.1379825062154834,0.7003430592200832,0.7003430592240965,0.00016363803321479031
3,0.7071067691816983,0.7071067691805969,0.00013165746454420272,0.00012892909316865897,0.5000554324634716,7.853351463336169e-13,0.00013030042025204415,0.00013030042025120807,0.9999999830218009
4,0.008549799291892202,0.005219861372981708,0.7061144853591653,0.7080268268542294,0.49613288436638014,0.0023610640517570374,0.7070713026342942,0.7070713026069935,0.009735060206710977
5,0.020145912576662088,0.018974629331672484,0.6995726780668358,0.7140253313134016,0.48815025901759057,0.027662306179284505,0.706835944768301,0.7068359447837393,0.0008313615524585484
6,0.7070795110468981,0.7070795085453795,0.005967514477528958,0.006443789557699059,0.5006273956854117,0.9999614324298195,0.006210219517234163,0.006210219517150184,1.7754982735448545e-09
7,0.7054516487229117,0.7054514967244682,0.046651046814495604,0.04999851778527794,0.5070974468746361,0.9976591742926917,0.04835375864228116,0.04835375864167166,1.0765970924506797e-07
8,0.7071062207751384,0.7071062154549091,0.0009299766083315053,0.0008574381716840195,0.5004775088186748,3.608911904578846e-11,0.0008944430418719399,0.000894443041871016,0.9999991999713245
9,0.007716258903033687,0.00369968267811914,0.6801950082301595,0.7329812565648578,0.4800659955166088,0.008073353105810942,0.7070808906038095,0.707080890591415,0.0028371240731265715
10,0.008463730514918054,0.0050776965675507265,0.686521884716378,0.7270421473815935,0.4872987443636157,0.002403296355368262,0.7070723379807886,0.7070723379726775,0.009572977743187277
11,0.7070680916610415,0.7070680881132438,0.007639461729457396,0.007146408271245943,0.49622190865570587,0.9999452822396361,0.007397044230576316,0.007397044230371635,2.512922950350249e-09
12,0.7071062785754976,0.707106273260566,0.000878959453344491,0.0008148592018035185,0.5004450145517881,0.9999992817171223,0.0008475155571994986,0.0008475155571978238,3.286141182089138e-11
13,0.009048845093906535,0.0060025322447196,0.6835853960833025,0.7297897603219297,0.4850168054139208,0.010643058471138424,0.7070650917777205,0.7070650917691166,0.002153438474241508
14,0.0384344660832977,0.03783494926101148,0.7273094065749635,0.684187354139067,0.4960400544641249,0.00041694634603465754,0.706077654540665,0.7060776545215097,0.05393067494033434
15,0.03853903690031672,0.037941209270374095,0.6910026417675653,0.7208263010907262,0.4789309220103696,0.054079705684759324,0.7060719535978206,0.7060719535687917,0.0004220890333875725
16,0.7071067520413739,0.7071067520387008,0.00021115631188753486,0.0001945553863173802,0.5001085766451321,1.885120864270713e-12,0.0002030255973947653,0.00020302559739488428,0.9999999587806102
17,0.026030437682886633,0.0251354130836963,0.6805295744627011,0.7318265679823112,0.4780147841042967,0.0006330015083035489,0.706643696393521,0.706643696406085,0.03617971788089539
18,0.7070219600710708,0.7070219522918204,0.01132815936429086,0.010563132117810983,0.505597946800055,0.9998800393273567,0.010952327486013578,0.010952327485982707,5.507494683151854e-09
