traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.01454285661679914,0.012870743166920665,0.9995116141928624,0.024482287175198507,0.6965078589396949,0.0011793019239824747,0.7069734256891246,0.7069734257107084,0.01938452875923748
2,0.707082878634597,0.7070828817109661,0.008207275393656134,0.000499213448001352,0.4941849911883188,0.9999661951368876,0.005814145829438074,0.005814145829613041,1.5534672500114361e-09
3,0.01036342981317574,0.007845519829005658,0.3298114954789211,0.9439573213822073,0.22586221850636523,0.012875754143752492,0.7070470448223176,0.7070470447920295,0.0017798354164307733
4,0.706783661971661,0.7067836323308957,0.030219382130611334,0.0007356512168884098,0.5212002356094827,0.9995430194648582,0.021374660688170056,0.02137466068817044,2.0581110916423153e-08
5,0.7071063525620721,0.7071063472539241,0.00029955110254781974,0.001066564245583231,0.5002134684698776,0.9999993863547362,0.0007833550130619472,0.0007833550130718883,2.775474100774996e-11
6,0.707105803327818,0.707105808506487,0.0013907189141811954,0.0009120460386455613,0.5009850873502739,0.9999986170355044,0.0011759947012818888,0.0011759947012751825,6.408368933506943e-11
7,0.7069490411228317,0.7069490266521468,0.015437040608077384,0.014416128063842494,0.5108218964548179,0.9997769116302443,0.014935310025102178,0.014935310024991778,1.0084994816306904e-08
8,0.6949712229658896,0.6949701001870803,0.12245852247247267,0.1379690884550408,0.5779416983655529,0.9828369350528662,0.13044454587206303,0.13044454587098392,7.958183873407411e-07
9,0.010587264903558732,0.008138971905611385,0.9596159889444835,0.2809961222513188,0.686060959344717,0.0017261829289825369,0.7070437281227366,0.7070437281247032,0.01324210460290007
10,0.006775052657880156,0.000217223129205369,0.16071541428394887,0.9869775109328144,0.10882052137890606,0.0049262104583940635,0.7070905357373466,0.7070905357493251,0.004656283381036822
11,0.7070984647957065,0.7070984640322311,0.000506088402317639,0.004825144799357373,0.4996173522675624,0.9999882308568437,0.0034306083867233455,0.0034306083866669167,5.485565755677385e-10
12,0.7060206934439276,0.7060205937628427,0.02284509020842979,0.050475771069482304,0.4830886875743315,6.970079976005171e-08,0.0391771719994569,0.039177171998691446,0.9984639694992888
13,0.009125071719307635,0.006116896119576872,0.9998280529016389,0.014939252956272945,0.7134255993368379,0.002127176192592998,0.7070641118909403,0.7070641118907465,0.010777684049269036
14,0.04665084963482073,0.046158876848983385,0.6933801436970362,0.7175771962953247,0.45729281901392477,0.00034766537312291797,0.7055824035344296,0.7055824035071732,0.06562638807978542
15,0.7065811540039926,0.7065811004997292,0.0364769662825906,0.012476361602544736,0.4738007883837917,0.9992566093511613,0.027260123513823363,0.02726012351457344,3.3935445388978155e-08
16,0.7070782368794511,0.7070782342612675,0.006259022714113824,0.0064468752182058435,0.5044245758840913,0.9999596304024405,0.006353643262551726,0.0063536432625022725,1.821220315221921e-09
17,0.7071014125942146,0.7071014121018221,0.0018960039162787315,0.003404479405850588,0.5013344583335968,0.999992407315738,0.0027554773520719862,0.0027554773520432757,3.4932990611852615e-10
