traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.031058194071296123,0.030312397858857927,0.7226327997952828,0.6898683814881685,0.5256259897221287,0.0005278693480308164,0.7064405661880978,0.706440566191463,0.043395555496794816
2,0.6559300439519591,0.655925167223574,0.25704662686916435,0.27100735056284925,0.4394185071657137,0.9276217157570901,0.26411924621387245,0.26411924621906363,3.4590783836518216e-06
3,0.7070954463071342,0.707095445266976,0.0038360245752739864,0.004166642628048698,0.5000174294894145,0.9999839618737225,0.004004746891656801,0.004004746891595488,7.354111891477766e-10
4,0.7071037434608064,0.7071037379132817,0.0021576871793641227,0.001987875590757942,0.5011090083198827,1.9738316988192566e-10,0.002074519622505737,0.002074519622505943,0.9999956963590757
5,0.01919702508127395,0.017963869531717594,0.7191833179849126,0.6943227842708223,0.5001277173766993,0.026276713317145633,0.7068623535210258,0.706862353503206,0.0008721879712370586
6,0.006826158816755262,0.0008616207893667426,0.7153337401278663,0.6987490976029339,0.5029346631024867,0.0054397681935265205,0.707090044196375,0.7070900441701928,0.004212808537036083
7,0.7071038860943948,0.7071038805599799,0.0021059283327314496,0.001941361282384462,0.5010785544279328,0.9999958980827008,0.002025316983999138,0.0020253169839971087,1.8986874758322886e-10
8,0.21439504908683443,0.21429790842331442,0.7005121022785692,0.6460603414016289,0.39934237604810857,6.894536822429703e-05,0.6738364676238449,0.6738364676024513,0.30313169592731093
9,0.6761161355359313,0.6761132278995468,0.21334378648120864,0.20055498771426378,0.5920012712292031,2.0699145010439088e-06,0.2070481517991707,0.20704815179990294,0.9561705526047652
10,0.12362580496883477,0.12344587245492696,0.7142300135548196,0.677756051332127,0.5672621566495093,0.00012667710544981927,0.6962319216267052,0.6962319216236932,0.17470605763125266
11,0.7071067717404238,0.7071067717395573,0.00011755967659483715,0.00011357209796324,0.5000521755618732,6.158993559165151e-13,0.00011558308482798445,0.00011558308482862643,0.9999999866405512
12,0.0753880442837334,0.07508675031855136,0.7313831384081393,0.6736151182670613,0.5571536355914325,0.10640174742970554,0.7030926762191082,0.70309267621896,0.00021316245394971303
