traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.0024618477827323725,0.008921411120625436,0.7070764992760006,0.70707649649858,0.4981892023643636,0.00654416804823254,0.9999571729474772,1.970074654029073e-09,0.006544168048350825
2,0.6544635506900321,0.7479585691740213,0.07836049368165932,0.07807094624337078,0.4074263541544771,0.7027675861705714,0.0002070697717891612,0.11061372762672035,0.7027675861980562
3,0.9450851956274924,0.321617077299899,0.04136503046058409,0.040808878252144354,0.6975675730192975,0.7059120234517944,0.0581057306397861,0.0003928816870435642,0.7059120234540458
4,0.05868073063637907,0.9980706676581776,0.015122036782980165,0.01352177024399817,0.052207042670229124,0.7069612739458284,0.0011313695411371203,0.02025424078949065,0.7069612739562903
5,0.1837497763247249,0.981170548836861,0.04234422847144794,0.041801197482120835,0.15975269506795356,0.705853960185013,0.05949980210118612,0.00038385635482111364,0.7058539601754373
6,0.001494924341352629,0.01527074283053989,0.7070235428932864,0.7070235352583678,0.49881901055831124,0.01084966325253251,0.9998822778780588,5.4483288494014885e-09,0.010849663252354877
7,0.01657428811435543,0.004337875326207233,0.7070030018575254,0.7070029923385059,0.4882163804410428,0.012114540619305303,0.9998532271344399,6.732552821077556e-09,0.012114540619709159
8,0.0006016032826350857,0.0003128620681379518,0.7071066186268893,0.7071066186119777,0.5004255668590761,0.0004794836711094042,0.9999997700953828,1.0576637189490875e-11,0.00047948367113664946
9,0.38325971757642496,0.6054790053321997,0.4932193778766263,0.4931955071492215,0.619326505916502,0.5067015082914933,0.6975006542677682,1.6769603939433757e-05,0.5067015082965087
10,0.8468873942825086,0.2055275231256998,0.34682488537571654,0.3467746794286756,0.35362169814678673,0.6162222896863975,0.4904489557384661,3.498268033238781e-05,0.6162222896689202
11,0.000998864762871868,0.0013078041023185493,0.7071058237780914,0.7071058236902887,0.499295547595895,0.001163632756605226,0.9999986459578909,6.165365452935411e-11,0.0011636327566305548
12,0.9956809039970197,0.09030955470543905,0.015961778593712502,0.014454873527978845,0.6927808797166198,0.7069428117907596,0.0010680467297012363,0.021507696779705095,0.7069428117696595
13,0.00019146749184721233,0.0011160371925931288,0.707106327881461,0.7071063278398796,0.5001342256468728,0.0008006868278969928,2.9441879927285936e-11,0.9999993589003965,0.0008006868278860102
14,0.9657533984144218,0.2588388272733946,0.013577131191731338,0.011768451696643374,0.6732754878832468,0.7069926325947836,0.017922124972535636,0.0012776475267173692,0.7069926325712091
15,0.05532969432838408,0.14189293357686883,0.6988583849187207,0.6988576239328318,0.4549064056142637,0.10769164150525617,5.364636703630632e-07,0.9883344680319304,0.1076916415032024
16,0.9975290979960181,0.059698542773137596,0.02662307240653939,0.025748682638955484,0.7241419659818313,0.706621616340228,0.0370324166412506,0.0006186757747906148,0.7066216163398269
17,0.004980855916940326,0.003709953399421223,0.7070931441787305,0.7070931429278204,0.5035294749540522,0.004391621562215741,0.9999807134740683,8.762158150768835e-10,0.004391621562188428
18,0.025097342509108587,0.009969644726534851,0.7068489099598256,0.7068488863056994,0.5175239590771821,0.019095423758004954,1.6874499358220262e-08,0.9996352982878313,0.019095423757933556
19,0.00045104594521221895,0.0005190694569803915,0.707106614007442,0.7071066139921077,0.5003194740039608,0.0004862486739654161,1.0803707883037e-11,0.9999997635621989,0.0004862486739613561
20,0.07429559457096549,0.0273430994873989,0.7048875112434965,0.704887307396409,0.44619495101561407,0.05597981941980355,0.9968613342063125,1.4449648456052141e-07,0.055979819418280966
21,0.0019040764300231438,0.00043384853317722196,0.7071054328893411,0.7071054327657014,0.4986505774177939,0.0013808931169688693,8.582832448892933e-11,0.9999980931323783,0.0013808931170143873
22,0.41719372707109137,0.9087034092994956,0.01125514036719866,0.008990541435783237,0.30296135622832776,0.7070334122200941,0.0015935148832381268,0.014316729036717109,0.7070334122121852
23,0.5880135632079934,0.8087739843694012,0.009234236333763995,0.0062785802542698445,0.42231610469769537,0.7070626946389232,0.010969088018844202,0.0020906455251818606,0.7070626946454341
24,0.8269681458610191,0.5556712071411015,0.06082234101046317,0.060446986025326783,0.5417942502447687,0.7045022372846549,0.0857503663108242,0.0002645053848084468,0.7045022373104126
25,0.0,0.04258385989681517,0.7064666894412781,0.7064666306987463,0.49790893775463596,0.030080861183406127,4.153617647157026e-08,0.9990947320354346,0.030080861182927954
26,0.2703815205742772,0.9536808865366168,0.0933586024215551,0.09311697665072344,0.2574845087875488,0.7009327357263948,0.1318581470630437,0.00017041061621164396,0.7009327357175138
27,0.0,0.023856717903941737,0.7069059661105654,0.7069059476912845,0.49993768850184134,0.016851353000876607,1.2828704565089215e-08,0.9997159915716188,0.016851353001134155
28,0.0008647510097131569,0.0008371715589252363,0.7071062690345399,0.7071062689875705,0.5006109648559947,0.0008510730074036857,0.9999992756744727,3.337293263552659e-11,0.0008510730074101056
29,0.997634503113423,0.06221452602835381,0.021219896709507132,0.02011136470466473,0.6904478309797076,0.7068045164548765,0.02922560601591281,0.0007841936296777913,0.7068045164770428
30,0.5368040738482056,0.8334411271868183,0.09290409176776462,0.09266123000664048,0.44529870226618695,0.7009931262628781,0.1312144968788007,0.00017211153349705376,0.7009931262991536
31,0.28724819346551683,0.9575363989574441,0.0181433554751538,0.016833090712235724,0.19023253245825683,0.7068901844314106,0.0009273277328799352,0.024732051150278295,0.7068901844443132
32,0.6807782263099592,0.7088639723874163,0.13057023167008708,0.1304004978326829,0.3891397411346523,0.6949629935430731,0.00011970718617679185,0.18453417272576192,0.6949629935271753
33,0.6357405605115052,0.771245180297861,0.023028474650251766,0.022011382126559977,0.4658879476635278,0.7067479000335252,0.0007184687306405346,0.03184800449826997,0.7067479000395868
34,0.0014885251576544252,0.006497255985812243,0.7070910733403517,0.7070910718999748,0.5010625305640861,0.004713281326970928,1.0238778619741157e-09,0.9999777847323741,0.004713281326909118
35,0.251659593837026,0.9676831825425614,0.012299420012025658,0.010267975527832644,0.16936532816099995,0.7070160157180851,0.015957722965700385,0.0014346190512975593,0.7070160157054731
36,0.89617558131965,0.44364770353088673,0.0067785074086412775,0.0003073035405663674,0.6384856517076983,0.7070905024840696,0.004651721297571699,0.004940049303880195,0.7070905024808838
37,0.6445978260025227,0.7644420851428878,0.009159505852229294,0.0061680327304718344,0.4622714213346968,0.7070636671532025,0.010838071023338105,0.0021159848095564124,0.7070636671592245
38,0.5426197192876655,0.839866118258607,0.010830295666479377,0.008452711823428735,0.3913624452932619,0.7070400470865629,0.013634508677349768,0.001686361325626243,0.7070400470796805
39,0.009771109841828452,0.020195110461440433,0.7069288174966416,0.7069288011712067,0.4930349144980281,0.01586374904400281,1.1489590839546523e-08,0.9997483097922996,0.015863749043339922
40,0.005129688090365886,0.017456299562296884,0.7069897379333165,0.7069897271974083,0.4963158230122105,0.012865381734084842,7.553174581851584e-09,0.9998344682524631,0.012865381733526766
41,0.9693237822563234,0.244873164778048,0.01572240950071071,0.014190088351060098,0.6965302785738251,0.7069481760677957,0.021151393123303736,0.001082283171073767,0.7069481760260004
42,0.06910720388232092,0.010727176870386303,0.705375554695037,0.7053753957196323,0.5475625701451455,0.04945137992024649,1.1288383782408905e-07,0.9975515636035797,0.04945137992032848
43,0.0048866520299212625,0.004067689146203043,0.7070924891380256,0.7070924878271221,0.5034554460418476,0.004495857151389297,0.9999797870641977,9.294917668343102e-10,0.00449585715141989
44,0.15733434815085576,0.9838903051216064,0.06021336694552089,0.05983411430936758,0.15404504193526214,0.7045545504854792,0.08488638674691275,0.0002685873339775409,0.7045545504757602
45,0.02752026411478046,0.38435089568527636,0.6525043425839262,0.6524991241051896,0.45439623561810566,0.2724729123723516,3.709962325670088e-06,0.9227768007677468,0.2724729123680927
46,0.004836236423150431,0.005066901909651035,0.7070894354931881,0.7070894339022636,0.5034097517501525,0.004952912158670912,1.110247164844141e-09,0.9999754683602492,0.004952912158631733
47,0.7292722130900369,0.6795271998358605,0.05679078530885113,0.05638821332506734,0.5557932277849184,0.704838696474132,0.08002963400102543,0.0002856215174673737,0.7048386964793097
48,0.23561912916063843,0.9717602025344051,0.010285530270935282,0.007742318042468472,0.1739066694594693,0.707048182362892,0.0017960509330377105,0.012747934055014298,0.7070481823721119
49,0.3460627014868432,0.935675970633997,0.04897306976814523,0.04850487661299965,0.2100375230082993,0.7054250191909117,0.00033133498687389486,0.06892731559319873,0.7054250191776207
50,0.4216264686714365,0.9066326093077671,0.012130101017025831,0.010064457499643265,0.28962781397106124,0.7070189415160406,0.015693838699082877,0.00146153423926553,0.707018941529924
51,0.029280388957688305,0.999450165211163,0.011997324613561792,0.00990405391708548,0.015419335070580294,0.7070212068720916,0.001477693432878715,0.015486849388889242,0.7070212068610573
52,0.6320162818700691,0.6099236905419104,0.3380709144733187,0.33801859113683685,0.20828820524793584,0.6210682284785889,0.478067474094633,3.714479137886014e-05,0.6210682284641507
53,0.000557118728915771,0.0031946349137558713,0.7071030633538616,0.7071030630127932,0.4995823582433996,0.0022930409405543077,2.3942583217782227e-10,0.9999947419494215,0.002293040940593632
54,0.010408453085785627,0.023117054648319833,0.7068795142626748,0.7068794934118706,0.4924636443661805,0.01792671344009024,0.9996785812902357,1.4594812356489783e-08,0.017926713440440965
55,0.07260831369059335,0.8506334146011487,0.3682283597085406,0.3681829733343974,0.31443526228113244,0.6036758953542756,3.201996558668606e-05,0.5207214473417836,0.6036758953455202
56,0.07731236178679227,0.9969087309723919,0.010991544630458282,0.008658335440674448,0.06220600117967535,0.7070375588286294,0.0016519416585205134,0.013894312315600224,0.7070375588182636
57,0.8589998955023769,0.5088834485895746,0.04001578887634354,0.03944048578672149,0.6357518664684587,0.7059897962175956,0.05618407029682117,0.00040684563477915277,0.7059897962139048
58,0.22685608356239936,0.9736370332648079,0.017508432580135205,0.016146669874695076,0.14812985063188291,0.706906195977561,0.0009622393030886386,0.023797778362257202,0.7069061959900157
59,0.9839924866811315,0.17738387120633559,0.013030887674066885,0.011133688516834453,0.7050118276868536,0.7070029126347729,0.01708680368178708,0.001343202704027701,0.7070029126335903
60,0.0002936071746038788,0.008272706628031392,0.7070825550323446,0.7070825528103517,0.49954154723073946,0.0058533699749614004,0.999965737472976,1.5724594897423994e-09,0.00585336997486694
61,0.30947013252729394,0.9436097774230837,0.08328879677010377,0.0830168739333007,0.2772960255263291,0.7022005322423085,0.00019189651614040832,0.11759586812807792,0.702200532250953
62,0.7010879940038105,0.7128837060954967,0.012615247208753098,0.010644331126142175,0.5047028272999812,0.7070104503276415,0.0013885546162907205,0.016447436375876024,0.7070104503331216
63,0.06798901439620154,0.9976631262967872,0.0067688545681760665,0.0,0.052856733149719524,0.7070905951984333,0.004631008252417463,0.0049329617589118835,0.707090595208826
64,0.3652369700069581,0.9307009111016936,0.014893311971817447,0.01326547932230954,0.26884839241343317,0.7069661294321595,0.019911299062033205,0.0011505880247849871,0.7069661294238739
65,0.9652885736895236,0.25905127353230073,0.02404399042085619,0.02307180301366701,0.6995980032205986,0.706714078829948,0.000688586437888871,0.03331587336957016,0.706714078828121
66,0.09730616941465585,0.12658761141333827,0.6980359070486005,0.6980350696787048,0.5623512347506509,0.11290020808054203,0.9871712546616026,5.953237093213949e-07,0.11290020808155474
67,0.16346512416061498,0.012196534810981726,0.6975426975038568,0.6975418144317971,0.37767815432241025,0.11590858958117348,0.9864737187180257,6.249309569215517e-07,0.11590858958482697
68,0.03927867289474894,0.05798976497477365,0.7053703275492893,0.7053701681250883,0.5264867088211269,0.04952588682773982,1.1157818601875704e-07,0.997544170985824,0.049525886828212407
69,0.012702667920429862,0.01823049235616667,0.7069322152849098,0.7069321992726909,0.5088473835420165,0.01571159800657338,1.1278332974448456e-08,0.9997531152120277,0.015711598006721304
70,0.22692632525244175,0.9738471088383419,0.009276375508515023,0.006340376333951681,0.1539492944480386,0.7070621431203086,0.0020750937782017436,0.011042893662567813,0.7070621431327596
