traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.4132650902857941,0.4837497072973823,0.5455349432235408,0.5455179296437969,0.5468223118504406,0.4498898832840377,0.00177810617226052,0.7714888360690689,0.4498898832802353
2,0.6934990730430544,0.5270994978048903,0.347318260180735,0.3472681690673059,0.6087785137291328,0.6159443338900604,0.005242341619790918,0.49111879719338086,0.6159443338861664
3,0.057785205982204345,0.07135326845231003,0.7041200066842896,0.7041197321746353,0.5111100158809995,0.06492464458570296,2.8723049051687675e-05,0.9957758684692811,0.06492464458626909
4,0.5442768148742124,0.3070086610025201,0.5520535924796751,0.5520373736352674,0.46277511835727647,0.4418662519078737,0.001698209130677782,0.7807083622874728,0.4418662518965052
5,0.4832140856800639,0.5648970534056481,0.472980343408384,0.4729535545944237,0.40340290096416886,0.5256446185200208,0.0027931054779235178,0.6688704423249713,0.5256446185082849
6,0.13020482891756285,0.09354182948913826,0.6979605315699584,0.6979596872548948,0.47535698517652203,0.11336527541221375,0.9870646487959326,8.808934267300585e-05,0.11336527540803562
7,0.0013267324260523544,0.03328314051879244,0.7067144130461233,0.7067143770514004,0.49974633939415103,0.023553425035175442,3.7615487691226424e-06,0.9994450821951782,0.02355342503408778
8,0.420730084565632,0.4524399164872162,0.5560134094164494,0.5559976676745635,0.4191447258825162,0.43687279733249856,0.7863088572574282,0.0016428356510220616,0.4368727973225626
9,0.13376038417192843,0.061958039064583637,0.6993819977092853,0.6993812853527147,0.5295080828231435,0.10423684324326574,0.9890749998956307,7.485255273223077e-05,0.10423684324282469
10,0.8710311279560565,0.4830331629391127,0.06336104665521945,0.06300104743294407,0.5999201270974106,0.7042784413012628,0.04285887348651183,0.07840198450524159,0.7042784413194649
11,0.910341615721121,0.3776641797107113,0.11977573339031375,0.11958964729654885,0.6219838356318104,0.6969046168509833,0.01956118181661813,0.1681227831545674,0.6969046168322394
12,0.03926735169501295,0.0653070754642598,0.705050823435254,0.7050506346060793,0.5072084027240504,0.05388385200955768,0.9970923029482852,1.965834215317929e-05,0.053883852010100854
13,0.26411413718446053,0.9595871957740031,0.06885337394223229,0.06852272208276876,0.17459156122741412,0.7037626906270694,0.08964748784080367,0.037409603963343384,0.703762690639744
14,0.08237497420959886,0.5595252318959322,0.5831640186678151,0.583151443303523,0.3998987797839802,0.3999088155558353,0.001313877379776646,0.8247085256149647,0.39990881553793955
15,0.9773457980919892,0.09692786251021453,0.13312480596850748,0.1329585688121121,0.7259832207974058,0.6944781512100408,0.1873394550884867,0.017439138507013417,0.6944781512093549
16,0.12773335638196812,0.00394249206564613,0.7013092739100443,0.7013087399651272,0.47789423445213086,0.09036413441125138,0.9918007074467764,5.596232937807971e-05,0.09036413441402434
17,0.4781397067470762,0.0934396767054431,0.6175201744581247,0.6175113616656785,0.6242247112175923,0.34449132960891815,0.8732986918735561,0.0009178349139859492,0.34449132960827555
18,0.18129586151227417,0.9799281323491019,0.05881414532048823,0.05842569930729291,0.14976169431422526,0.70467273750201,0.06433042454713274,0.05229017600765348,0.7046727375116058
19,0.99306290021548,0.026674066278076794,0.08111666077828246,0.08083722996240347,0.7243707290955572,0.7024547777602851,0.11044791911830759,0.030262643081020512,0.7024547777600608
20,0.03789869393674515,0.11153556899719912,0.7021837872605818,0.7021833341476764,0.5048707431874524,0.08329614082839945,4.736674167817338e-05,0.9930375136935934,0.08329614082738468
21,0.8641602950570053,0.033066282609221516,0.35508301830332967,0.3550347244084345,0.5894948951637021,0.611500774551467,0.0050544332768239116,0.5021036328562322,0.6115007745700605
22,0.23520080716616815,0.9314465661569233,0.19638000108924952,0.19627221849940735,0.2466823961117559,0.6793055687352448,0.011264304337185874,0.2774184637515896,0.6793055687264692
23,0.308490089563695,0.6688883322215119,0.478250532791908,0.4782245200146033,0.45262683277195515,0.5208539796982814,0.6763245420976696,0.0027161397827307142,0.5208539797040576
24,0.045127544258332514,0.06931294375912851,0.7046841612659172,0.704683938682877,0.49002101399701375,0.058484097937814554,2.318046176284948e-05,0.9965737403922144,0.05848409793904656
25,0.7741108121718371,0.6189845657504309,0.09395639280780614,0.09371634911763656,0.5286870816252628,0.700852852666794,0.13023694088878066,0.025473458134414453,0.700852852649833
26,0.055727431511575665,0.042880183097201534,0.7053566367627843,0.7053564760468746,0.48891629841351636,0.0497205021758768,1.681309812566518e-05,0.9975248082348086,0.049720502177726465
