phi1_rad,phi1_over_pi,C_max,t_at_C_max,t_at_C_max_over_T1,C_final,C_auc_over_tT1
1.413716694,0.4499999999632649,0.8130152247002649,4.75,4.75,0.32924338827142535,5.622542492376339
1.431169987,0.4555555556716272,0.8091566257427162,5.36,5.36,0.34510618043610675,5.766747230898049
1.448623279,0.4611111110616797,0.8511921993163198,6.34,6.34,0.5345861592642938,6.238135102074217
1.466076572,0.466666666770042,0.8658714951423184,7.42,7.42,0.7208822555257,6.305717808082974
1.483529864,0.4722222221600945,0.8831372026465532,8.48,8.48,0.8575110413858793,6.146425439653435
1.500983157,0.4777777778684568,0.8941380999391765,9.86,9.86,0.8917216068846389,5.5271771738531275
1.518436449,0.4833333332585093,0.8169353729114665,9.99,9.99,0.8169353729114665,4.537146830674487
1.535889742,0.4888888889668716,0.615119554703529,9.99,9.99,0.615119554703529,3.2021668703171864
1.553343034,0.49444444435692414,0.3273862848515457,9.99,9.99,0.3273862848515457,1.6246501074924535
1.570796327,0.5000000000652864,0.004353242438215358,6.7,6.7,0.0033246354559817192,0.02360584815573448
