step,t,t_T1,Conc_pair_mean,Xi2_KU
0,0.0,0.0,0.0,0.9999999999999997
1,0.1,0.1,0.007069078463189292,0.9539086241246637
2,0.2,0.2,0.011727716022903826,0.9628997181860073
3,0.30000000000000004,0.30000000000000004,0.012145303605463106,0.9594275422834736
4,0.4,0.4,0.014926068092003086,0.9353962381774359
5,0.5,0.5,0.01759564416801786,0.9482393049521299
6,0.6000000000000001,0.6000000000000001,0.016914942803717397,0.951095901283325
7,0.7000000000000001,0.7000000000000001,0.016653841467368903,0.9503478988674656
8,0.8,0.8,0.018381323747265563,0.958048220056059
9,0.9,0.9,0.01474828439134951,0.9684288226576375
