step,t,t_T1,Conc_pair_mean,Xi2_KU
0,0.0,0.0,0.0,0.9999999999999994
1,0.1,0.1,0.0,0.9999999999549308
2,0.2,0.2,0.0,0.9999999994262789
3,0.30000000000000004,0.30000000000000004,0.22222221517036467,0.7777777772707389
4,0.4,0.4,0.22222221416100976,0.7777777746958314
5,0.5,0.5,0.22222221527483513,0.777777773912629
6,0.6000000000000001,0.6000000000000001,0.2222222139994985,0.7777777741859372
7,0.7000000000000001,0.7000000000000001,0.22222221595272096,0.7777777745484956
8,0.8,0.8,0.22222221491138835,0.7777777740503969
9,0.9,0.9,0.02652193358533285,0.9508906162965923
