step,t,t_T1,Conc_pair_mean,Xi2_KU
0,0.0,0.0,0.0,0.9999999999999994
1,0.1,0.1,0.0,0.9999999999549308
2,0.2,0.2,0.2222222145020316,0.7777777773952971
3,0.30000000000000004,0.30000000000000004,0.2662302892927407,0.7002120191125637
4,0.4,0.4,0.26280718298348843,0.705552511537903
5,0.5,0.5,0.25959457869824787,0.7106655278800321
6,0.6000000000000001,0.6000000000000001,0.25658808126060734,0.7155395325078128
7,0.7000000000000001,0.7000000000000001,0.25378220603642115,0.7201668951245411
8,0.8,0.8,0.2511700744387558,0.7245435102060722
9,0.9,0.9,0.4709663395717163,0.506446178047052
