step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9446476908080566,1.001395813900794
2,0.04,0.04,0.8983646774128482,1.0054078061051503
3,0.06,0.06,0.8568805759782009,1.0121185389561325
4,0.08,0.08,0.8225427216621357,1.0213081216224744
5,0.1,0.1,0.7991413189516267,1.030228750068034
6,0.12,0.12,0.7616238538758702,1.0500094813513945
7,0.14,0.14,0.731630824251598,1.078315574635204
8,0.16,0.16,0.7094738110449448,1.100251714527595
9,0.18,0.18,0.6879789981178998,1.1334012560421765
10,0.2,0.2,0.674768552769041,1.1687324602138187
11,0.22,0.22,0.6606260965387988,1.2183095393964756
12,0.24,0.24,0.6494092638649992,1.2723127297712926
13,0.26,0.26,0.635106337601264,1.3271356789878856
14,0.28,0.28,0.6267012556411546,1.3623251309275317
15,0.3,0.3,0.6235293367619889,1.4128549081355084
16,0.32,0.32,0.6184467081048758,1.4593954083864558
17,0.34,0.34,0.6171105803404934,1.501353955056129
18,0.36,0.36,0.610288890521511,1.555450432092623
19,0.38,0.38,0.6155162100103387,1.6674985943905136
20,0.4,0.4,0.6164672860279626,1.7755354759586326
21,0.42,0.42,0.6209817451617125,1.8809387568531566
22,0.44,0.44,0.625943608829964,1.9593433415650663
23,0.46,0.46,0.6303999937904896,2.06636704121217
24,0.48,0.48,0.6353606124671609,2.1852986804448875
25,0.5,0.5,0.6424668292870596,2.30001575776226
26,0.52,0.52,0.6432728244844701,2.4168847991457754
27,0.54,0.54,0.6544157883229275,2.5196777168037796
28,0.56,0.56,0.6648177976996074,2.6717178409089994
29,0.58,0.58,0.6794648331844745,2.843859150601242
30,0.6,0.6,0.6912173807961055,3.0532976298964627
31,0.62,0.62,0.6977297938778437,3.18577263496201
32,0.64,0.64,0.7030451295855419,3.354940041844622
33,0.66,0.66,0.7185438901885118,3.5295451045269535
34,0.68,0.68,0.7260653852921587,3.64935953194556
35,0.7000000000000001,0.7000000000000001,0.7401053227699731,3.819084186355519
36,0.72,0.72,0.7486266397592768,3.9766582136960817
37,0.74,0.74,0.7608504058119016,4.178892396165185
38,0.76,0.76,0.7756213740078253,4.439919338970923
39,0.78,0.78,0.7794987021491991,4.5852415426487925
40,0.8,0.8,0.7916297163915071,4.764925282009332
41,0.8200000000000001,0.8200000000000001,0.8023088162992521,4.975207428345251
42,0.84,0.84,0.8151356028057289,5.130435602378493
43,0.86,0.86,0.8209530858867282,5.249573627979894
44,0.88,0.88,0.8326951932793466,5.4133824325417335
45,0.9,0.9,0.8374355507924582,5.539739830078464
46,0.92,0.92,0.8481054215766806,5.729145872238422
47,0.9400000000000001,0.9400000000000001,0.8538180211516878,5.845404874540818
48,0.96,0.96,0.863182425137861,5.9586515631682415
49,0.98,0.98,0.8726336480397556,6.1335773422894
50,1.0,1.0,0.8769074060972655,6.167677853685535
51,1.02,1.02,0.8822088013368695,6.270409003551524
52,1.04,1.04,0.8861693094115429,6.404806073253136
53,1.06,1.06,0.8974154202907111,6.415336882911274
54,1.08,1.08,0.9028024321011556,6.560301581721871
55,1.1,1.1,0.9071673342520817,6.702071624116253
56,1.12,1.12,0.9118891954173405,6.8791953642217765
57,1.1400000000000001,1.1400000000000001,0.9206058231436974,6.9565169895225925
58,1.16,1.16,0.9192402531583888,6.9006404636188226
59,1.18,1.18,0.919805850940896,6.936407619998048
60,1.2,1.2,0.9269860255120561,7.012436251429019
61,1.22,1.22,0.9327515171856083,7.000844361930402
62,1.24,1.24,0.9330103762950331,7.0756578399693675
63,1.26,1.26,0.9391198360427131,7.114525437622307
64,1.28,1.28,0.9392736935424817,7.241845544288687
65,1.3,1.3,0.9372423903738087,7.323516038611854
66,1.32,1.32,0.943436191929534,7.253090255468656
67,1.34,1.34,0.9404803730023622,7.272918204637694
68,1.36,1.36,0.9477006489567595,7.348610588628471
69,1.3800000000000001,1.3800000000000001,0.9470010221941411,7.431208420059281
70,1.4000000000000001,1.4000000000000001,0.9482187773575725,7.485318175831736
71,1.42,1.42,0.9540559930071231,7.522335501470732
72,1.44,1.44,0.9511888327460695,7.58969611751692
73,1.46,1.46,0.952851253190902,7.61468233601168
74,1.48,1.48,0.9572171935053007,7.659347528291601
75,1.5,1.5,0.9603736488243031,7.6443230979682495
76,1.52,1.52,0.9618861130665364,7.715098916559899
77,1.54,1.54,0.9636291623612978,7.828736705327577
78,1.56,1.56,0.9603070478444599,7.839185062059115
79,1.58,1.58,0.9657278398343782,7.895929197915848
80,1.6,1.6,0.973654543475795,7.8169436147627644
81,1.62,1.62,0.9783490327509914,7.7161847734424995
82,1.6400000000000001,1.6400000000000001,0.978329893147369,7.833696358723955
83,1.6600000000000001,1.6600000000000001,0.981041021915152,7.767813922806382
84,1.68,1.68,0.9803838661224574,7.755406243928457
85,1.7,1.7,0.9825981720039885,7.692401388966805
86,1.72,1.72,0.9797858309175846,7.692063275528763
87,1.74,1.74,0.9801708013063584,7.764131443771719
88,1.76,1.76,0.9847813942671415,7.6697474576441085
89,1.78,1.78,0.9843807183880706,7.849256812300087
90,1.8,1.8,0.9839095255707595,7.853259562656556
91,1.82,1.82,0.9862535793172973,7.703347339767397
92,1.84,1.84,0.9861905168994842,7.70453399585912
93,1.86,1.86,0.9803298591632068,7.943474334532235
94,1.8800000000000001,1.8800000000000001,0.9841044196748345,7.910585176311272
95,1.9000000000000001,1.9000000000000001,0.9872087262709418,7.829071990225126
96,1.92,1.92,0.9876086126026062,7.856412150933288
97,1.94,1.94,0.9797520983683267,8.365112163967984
98,1.96,1.96,0.9832468856786126,8.089999583772773
99,1.98,1.98,0.9825107722951213,8.422228252798387
100,2.0,2.0,0.9793991851615477,8.431034963178075
101,2.02,2.02,0.9846484674875258,8.4644942096536
102,2.04,2.04,0.986529637088179,8.353547863818642
103,2.06,2.06,0.988565987524703,8.092444919894993
104,2.08,2.08,0.9900328680024947,7.939801298931983
105,2.1,2.1,0.9906442764116693,7.8283350443835085
106,2.12,2.12,0.9892140761399437,7.880296235929779
107,2.14,2.14,0.988800750935037,7.725993864478689
108,2.16,2.16,0.9940180242247467,7.584400946405038
109,2.18,2.18,0.9954372784444118,7.417413284309003
110,2.2,2.2,0.9956096023857672,7.478729672340329
111,2.22,2.22,0.9962326811157101,7.4049508884403235
112,2.24,2.24,0.9969265415462202,7.293230097795453
113,2.2600000000000002,2.2600000000000002,0.9967914225114645,7.26204691960864
114,2.2800000000000002,2.2800000000000002,0.9961863764236378,7.4171947206980215
115,2.3000000000000003,2.3000000000000003,0.9964605486831379,7.433720520068854
116,2.32,2.32,0.9972038805284373,7.254887937155752
117,2.34,2.34,0.9974987980860287,7.16904676182873
118,2.36,2.36,0.9970997735210279,7.272586670715291
119,2.38,2.38,0.9974749632542271,7.236493569045184
120,2.4,2.4,0.9974261157222802,7.312053272533928
121,2.42,2.42,0.9967900260357294,7.536999889551537
122,2.44,2.44,0.9968025743663764,7.605078254748527
123,2.46,2.46,0.997655615981806,7.441918510844114
124,2.48,2.48,0.9974416824598084,7.546780384601265
125,2.5,2.5,0.9983951232024946,7.265709974373099
126,2.52,2.52,0.9985606230796354,7.218588984692641
127,2.54,2.54,0.9987506660410916,7.189386106742296
128,2.56,2.56,0.9988480362985257,7.191706980061959
129,2.58,2.58,0.9989989204687029,7.185633700329192
130,2.6,2.6,0.998776721080969,7.289838862608685
131,2.62,2.62,0.998039306616576,7.574551602700077
132,2.64,2.64,0.9987762350568055,7.335724371830613
133,2.66,2.66,0.9988083475146007,7.349889800763756
134,2.68,2.68,0.999007580884014,7.28738621133695
135,2.7,2.7,0.9991125995707604,7.2599983375542
136,2.72,2.72,0.9987667976247094,7.4150390317872
137,2.74,2.74,0.9991919375070525,7.259675071551812
138,2.7600000000000002,2.7600000000000002,0.9991944128947564,7.266677821603366
139,2.7800000000000002,2.7800000000000002,0.9989126582837956,7.415385633587388
140,2.8000000000000003,2.8000000000000003,0.9989108150049175,7.432193782042856
141,2.82,2.82,0.9953546722444945,8.371642538313965
142,2.84,2.84,0.9978790677224063,7.863326911779535
143,2.86,2.86,0.9990873162194598,7.366721929954317
144,2.88,2.88,0.995162727639852,8.47336240367282
145,2.9,2.9,0.999510381769754,7.176368903816216
146,2.92,2.92,0.9989658891722183,7.498745008452586
147,2.94,2.94,0.9995608275703741,7.165695230831535
148,2.96,2.96,0.9996004750192838,7.186909126625245
149,2.98,2.98,0.9997425900980775,7.136168267809442
150,3.0,3.0,0.9997471293191726,7.160734307518692
151,3.02,3.02,0.9997463479736071,7.140055276401446
152,3.04,3.04,0.9997852418557871,7.166922748628452
153,3.06,3.06,0.9998331151919396,7.1158819725694675
154,3.08,3.08,0.9998386509452999,7.095472568975281
155,3.1,3.1,0.999834311910261,7.1063786426384645
156,3.12,3.12,0.9998877385841662,7.111005979542375
157,3.14,3.14,0.9998334692047649,7.1224209699595065
158,3.16,3.16,0.9998600998622257,7.102205976542669
159,3.18,3.18,0.9998279138339378,7.116257612057271
160,3.2,3.2,0.9998466132782938,7.078218153428927
161,3.22,3.22,0.9998689573941363,7.085812118042559
162,3.24,3.24,0.9998553804800888,7.072390613537067
163,3.2600000000000002,3.2600000000000002,0.9998265756642322,7.060684537767928
164,3.2800000000000002,3.2800000000000002,0.9998223391598309,7.06460020131935
165,3.3000000000000003,3.3000000000000003,0.9998117840816857,7.0512495757843086
166,3.3200000000000003,3.3200000000000003,0.9998039771709358,7.068403148393575
167,3.34,3.34,0.9998507191163472,7.054098257565833
168,3.36,3.36,0.9998775621545213,7.053316269278023
169,3.38,3.38,0.9998908040266096,7.04887817266459
170,3.4,3.4,0.9999205971530415,7.064258673721622
171,3.42,3.42,0.9999240104742158,7.071864665354456
172,3.44,3.44,0.999940929100884,7.069720766272199
173,3.46,3.46,0.999944294470742,7.061578957682111
174,3.48,3.48,0.9999391495359871,7.058295881571933
175,3.5,3.5,0.9999534608451099,7.0642632798696505
176,3.52,3.52,0.9999500798720409,7.059502479386907
177,3.54,3.54,0.9999532690584308,7.062057496627932
178,3.56,3.56,0.9999711821943872,7.071155284497892
179,3.58,3.58,0.9999842035759667,7.080249752088762
180,3.6,3.6,0.9999809583467993,7.079458183219192
181,3.62,3.62,0.9999606244343507,7.067733455358653
182,3.64,3.64,0.9999532804568184,7.056286350007551
183,3.66,3.66,0.9999479721151946,7.052117584041772
184,3.68,3.68,0.9999427747180698,7.045710188579017
185,3.7,3.7,0.9999482366836985,7.0476581787644825
186,3.72,3.72,0.9999578196208297,7.054640449264717
187,3.74,3.74,0.9999601513829138,7.056778735350678
188,3.7600000000000002,3.7600000000000002,0.9999669767041293,7.0600055530222585
189,3.7800000000000002,3.7800000000000002,0.9999753434446988,7.064545382896478
190,3.8000000000000003,3.8000000000000003,0.9999765702720173,7.066672488293519
191,3.8200000000000003,3.8200000000000003,0.9999782644658572,7.067384207265403
192,3.84,3.84,0.9999804584616316,7.06950989026039
193,3.86,3.86,0.9999871594468576,7.0739574647825485
194,3.88,3.88,0.9999880235422615,7.073615752357187
195,3.9,3.9,0.9999854118478111,7.0708448400576
196,3.92,3.92,0.9999911117028545,7.074492894785481
197,3.94,3.94,0.9999890438864439,7.0719868183089485
