step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9430175721475885,0.9989631571874608
2,0.04,0.04,0.8911446296017062,0.9992468893423414
3,0.06,0.06,0.8585563715196333,1.0066957071149574
4,0.08,0.08,0.8249308904271238,1.0087123445351018
5,0.1,0.1,0.7849395759937516,1.0174255599765991
6,0.12,0.12,0.7575377197841093,1.0336695376377096
7,0.14,0.14,0.7336591635245943,1.0575064849075226
8,0.16,0.16,0.7034845854076126,1.0859055375821918
9,0.18,0.18,0.6706391941130201,1.1079504846438466
10,0.2,0.2,0.6466263645033175,1.1547611647727134
11,0.22,0.22,0.638034826339151,1.1501950165555463
12,0.24,0.24,0.6257074038105241,1.2318896791390435
13,0.26,0.26,0.6070249218760585,1.2885132892097253
14,0.28,0.28,0.5978846652051392,1.342326878345157
15,0.3,0.3,0.5990422814318663,1.45608258814779
16,0.32,0.32,0.589190660319272,1.592095763563084
17,0.34,0.34,0.575652832149271,1.6249368216283537
18,0.36,0.36,0.564768356588746,1.5977045034768542
19,0.38,0.38,0.5543093686409007,1.5803261325397397
20,0.4,0.4,0.5544114480315419,1.8112878818989506
21,0.42,0.42,0.5489211070684097,1.8641546206138044
22,0.44,0.44,0.5454289032850334,2.7870827729099945
23,0.46,0.46,0.5452009430998302,2.219367896582242
24,0.48,0.48,0.5453000835568659,2.036457644704486
25,0.5,0.5,0.5460630426209799,2.1677386592526515
26,0.52,0.52,0.5535370637001319,2.1548038859128016
27,0.54,0.54,0.5645947240875056,2.36840505404583
28,0.56,0.56,0.5649443575809682,2.395132694087008
29,0.58,0.58,0.5725757288074736,2.5120106573113334
30,0.6,0.6,0.5727162061352824,2.449860816653049
31,0.62,0.62,0.5745132755598827,2.48480051814123
32,0.64,0.64,0.5756889753530576,2.695874231748062
33,0.66,0.66,0.5917381999935055,2.821622180128713
34,0.68,0.68,0.5934913111947208,2.905758205451039
35,0.7000000000000001,0.7000000000000001,0.6045071560838715,2.96164866989756
36,0.72,0.72,0.6234435255620047,3.0113089143453196
37,0.74,0.74,0.6238190155109288,3.022956448814236
38,0.76,0.76,0.6333673437578651,3.110934048297891
39,0.78,0.78,0.6429935891108977,3.3109087516188986
40,0.8,0.8,0.6509262843844514,3.366385172677709
41,0.8200000000000001,0.8200000000000001,0.6569361016180134,3.4695626348869486
42,0.84,0.84,0.6641909937451165,3.5360014514326927
43,0.86,0.86,0.6715903729524355,3.590273765643745
44,0.88,0.88,0.6815262811584023,3.775780825128857
45,0.9,0.9,0.692040309162359,3.819496841781426
46,0.92,0.92,0.702374311724425,3.9033739225503967
47,0.9400000000000001,0.9400000000000001,0.7071603277719748,3.942187226310777
48,0.96,0.96,0.7143974039616711,4.056613791913508
49,0.98,0.98,0.7163108122341757,4.1813107310172555
50,1.0,1.0,0.7203692289383662,4.284481023761301
51,1.02,1.02,0.734839936112451,4.357464743166134
52,1.04,1.04,0.7447628399161927,4.511406014587177
53,1.06,1.06,0.7468783979191564,4.42262988610457
54,1.08,1.08,0.7519964172103607,4.632005325273425
55,1.1,1.1,0.7596246985153418,4.6384424970712
56,1.12,1.12,0.7618792993804567,4.605879901181987
57,1.1400000000000001,1.1400000000000001,0.7723873209352036,4.643448868757098
58,1.16,1.16,0.7839652779110682,4.830285510007031
59,1.18,1.18,0.7994179318322295,5.019429409898323
60,1.2,1.2,0.7939430328547474,5.110516284997789
61,1.22,1.22,0.795214241109579,5.125545473421648
62,1.24,1.24,0.7966691766111507,5.138800897193579
63,1.26,1.26,0.7990576133758823,5.161922853622377
64,1.28,1.28,0.7983322590404449,5.196753383242273
65,1.3,1.3,0.8009056321232947,5.141515007972727
66,1.32,1.32,0.8076894118613235,5.178415144482666
67,1.34,1.34,0.814857285931099,5.338231147356024
68,1.36,1.36,0.8119628775695753,5.425492726410381
69,1.3800000000000001,1.3800000000000001,0.8177581919703413,5.363022874634978
70,1.4000000000000001,1.4000000000000001,0.8204999145642844,5.443404980316123
71,1.42,1.42,0.8260113032739379,5.494876186316913
72,1.44,1.44,0.8284877024838909,5.465808354930018
73,1.46,1.46,0.8305243987244603,5.699408418268441
74,1.48,1.48,0.8333560666419579,5.679316750090112
75,1.5,1.5,0.8406417986127533,5.827235510258683
76,1.52,1.52,0.8468584384317723,5.97892703635204
77,1.54,1.54,0.8534470265600533,6.140802222448745
78,1.56,1.56,0.8572631435397494,6.106882138524161
79,1.58,1.58,0.8594545048848761,6.365662578910443
80,1.6,1.6,0.8578899935022533,6.07176982953559
81,1.62,1.62,0.863534422593612,6.116520389829881
82,1.6400000000000001,1.6400000000000001,0.8676601404877685,6.240398550645482
83,1.6600000000000001,1.6600000000000001,0.8675187679951324,6.5155723789586055
84,1.68,1.68,0.8753407841014195,6.561568410803505
85,1.7,1.7,0.8811936536057415,6.728099955226757
86,1.72,1.72,0.8856003982409757,6.670837904734169
87,1.74,1.74,0.8860811419268635,6.670973342394461
88,1.76,1.76,0.896064442348543,6.584311596970849
89,1.78,1.78,0.8973687937487164,6.606262813796568
90,1.8,1.8,0.8999585414571638,6.539477533420151
91,1.82,1.82,0.9019321343438718,6.5843778549499525
92,1.84,1.84,0.9051561127083321,6.9009965917241125
93,1.86,1.86,0.9034405402596012,8.157960071289379
94,1.8800000000000001,1.8800000000000001,0.9009925476795091,7.990899421912531
95,1.9000000000000001,1.9000000000000001,0.9041951266038087,7.9436626385092906
96,1.92,1.92,0.9031469962159936,7.883304243969807
97,1.94,1.94,0.9016070117580511,8.611162832852262
98,1.96,1.96,0.9041730175441792,8.914802285321345
99,1.98,1.98,0.903635931396866,8.198619912821272
100,2.0,2.0,0.9095192880845486,7.515998499185505
101,2.02,2.02,0.9141744756488289,7.5478032435996285
102,2.04,2.04,0.9133374111590358,7.386905693823395
103,2.06,2.06,0.9138757486465061,7.271089834504633
104,2.08,2.08,0.9117467016303005,7.614648910111413
105,2.1,2.1,0.9102976740036213,8.439216532048896
106,2.12,2.12,0.9163894943557156,10.548322274046907
107,2.14,2.14,0.9152645396464032,8.963120028602928
108,2.16,2.16,0.9134444044095983,8.093326282639172
109,2.18,2.18,0.9109724429570428,9.215875866728283
110,2.2,2.2,0.912039411813665,8.236036781014622
111,2.22,2.22,0.9112957688734952,7.572004127611975
112,2.24,2.24,0.9155507054645734,8.008381111532778
113,2.2600000000000002,2.2600000000000002,0.920522524767012,15.905703530801336
114,2.2800000000000002,2.2800000000000002,0.9254744124139581,11.904588193016275
115,2.3000000000000003,2.3000000000000003,0.927583159988899,19.215060784221727
116,2.32,2.32,0.927143793852471,23.835450598645465
117,2.34,2.34,0.9315589293272883,8.34135069607595
118,2.36,2.36,0.9380307095032083,8.169952701359207
119,2.38,2.38,0.9374897077032803,6.945950585754625
120,2.4,2.4,0.938159320139234,7.044204023590449
121,2.42,2.42,0.9368505305963757,6.882638099618577
122,2.44,2.44,0.9387433454669366,6.688881502238694
123,2.46,2.46,0.9404430192717785,6.706935513073797
124,2.48,2.48,0.941042994383104,6.698348095907975
125,2.5,2.5,0.9413469643419536,6.653396281513034
126,2.52,2.52,0.9413754854215725,6.650381863141647
127,2.54,2.54,0.9439052007588713,6.664663206650509
128,2.56,2.56,0.94534622386925,6.675416831601237
129,2.58,2.58,0.9471991157735554,6.71812408608756
130,2.6,2.6,0.9487387735088055,6.784160156515705
131,2.62,2.62,0.9500801476724141,6.743199697042163
132,2.64,2.64,0.952084943738058,6.687940827352763
133,2.66,2.66,0.9520481882993569,6.648443857473073
134,2.68,2.68,0.9534627550529283,6.644843387150836
135,2.7,2.7,0.9569198841005612,6.6621583989318856
136,2.72,2.72,0.9592585033621478,6.670136838135239
137,2.74,2.74,0.9586869219465345,6.660434912562696
138,2.7600000000000002,2.7600000000000002,0.9573034754142449,6.6577747580345035
139,2.7800000000000002,2.7800000000000002,0.9582145201570502,6.63621195986052
140,2.8000000000000003,2.8000000000000003,0.9606125332797086,6.665702341883363
141,2.82,2.82,0.9624211865829235,6.688386637388704
142,2.84,2.84,0.9644600803253138,6.717846943021017
143,2.86,2.86,0.9656010097184187,6.764133787864702
144,2.88,2.88,0.9679104944337132,6.828525174187645
145,2.9,2.9,0.9694727593616055,6.8358771162367065
146,2.92,2.92,0.9706495437614606,6.810354264579133
147,2.94,2.94,0.9724262525089086,6.819444163599063
148,2.96,2.96,0.9743048011368524,6.909927391105564
149,2.98,2.98,0.9748387411674093,7.117794270322762
150,3.0,3.0,0.9767153085732199,7.054644187080726
151,3.02,3.02,0.9758085212936597,6.8777206558554145
152,3.04,3.04,0.9757953930999511,6.829712208843367
153,3.06,3.06,0.9760478712244216,6.847016092057797
154,3.08,3.08,0.9750407422599713,6.890350114203221
155,3.1,3.1,0.9752618887221318,6.888189487827098
156,3.12,3.12,0.9745731326346389,6.863860402994359
157,3.14,3.14,0.9746428211140687,6.816238635517675
158,3.16,3.16,0.9760343443240508,6.83536742075648
159,3.18,3.18,0.9776704117661253,6.830192899650848
160,3.2,3.2,0.9773301936585622,6.891570754393694
161,3.22,3.22,0.9771767850885853,6.810675229569008
162,3.24,3.24,0.9776605464289412,6.814615785950991
163,3.2600000000000002,3.2600000000000002,0.9796568045118618,6.827959759539206
164,3.2800000000000002,3.2800000000000002,0.9823648203279437,6.847638296821819
165,3.3000000000000003,3.3000000000000003,0.9804779571854904,6.846794839691184
166,3.3200000000000003,3.3200000000000003,0.9799695146094257,6.833976804085754
167,3.34,3.34,0.9806668508621625,6.832124754222433
168,3.36,3.36,0.9814500229997922,6.822040539384016
169,3.38,3.38,0.9838802003602423,6.870417357078347
170,3.4,3.4,0.9828175297299718,6.878231131917983
171,3.42,3.42,0.9840750118828037,6.898038866606268
172,3.44,3.44,0.9828706765027181,7.0176922621623445
173,3.46,3.46,0.982842234986249,7.034963711739972
174,3.48,3.48,0.9847891527291972,7.061764017367839
175,3.5,3.5,0.9843448363696696,6.94208442349829
176,3.52,3.52,0.9867721005932737,6.926513051300561
177,3.54,3.54,0.9871660942938233,7.046876162396723
178,3.56,3.56,0.9876878105624975,7.048599921631941
179,3.58,3.58,0.9885942748846374,7.803595589206268
180,3.6,3.6,0.9889254981674083,14.398586871656017
181,3.62,3.62,0.9896419535768441,14.907039212265762
182,3.64,3.64,0.9901005629727956,35.577485543216014
183,3.66,3.66,0.9909710399965767,17.229243238543262
184,3.68,3.68,0.9907830237335095,14.957982927155172
185,3.7,3.7,0.990716023178425,8.17563274136936
186,3.72,3.72,0.9912657682149779,11.183543525861761
187,3.74,3.74,0.9912988862198293,9.15846087446377
188,3.7600000000000002,3.7600000000000002,0.991645703790516,7.9424480173786085
189,3.7800000000000002,3.7800000000000002,0.9919256629400545,7.980326966545556
190,3.8000000000000003,3.8000000000000003,0.9923208396894134,7.178837609680123
191,3.8200000000000003,3.8200000000000003,0.9924349042157355,8.036435161008775
192,3.84,3.84,0.9916985825372902,7.6210283285175615
193,3.86,3.86,0.9912794273667818,7.378055306262415
194,3.88,3.88,0.9914438113201708,6.996864269736821
195,3.9,3.9,0.9913261422126654,7.025441373972578
196,3.92,3.92,0.9914665901594911,6.967926016514964
197,3.94,3.94,0.9917947750436246,6.927808490582159
198,3.96,3.96,0.9921309964157145,6.979233587776098
199,3.98,3.98,0.9928488149638021,6.960726560119306
200,4.0,4.0,0.9919350778970601,6.929075059472689
201,4.0200000000000005,4.0200000000000005,0.9912576734187707,6.892118245954057
202,4.04,4.04,0.992359946463014,6.895503993110829
203,4.0600000000000005,4.0600000000000005,0.9923184761004831,6.888637173287135
204,4.08,4.08,0.9916963967056351,6.870837710928738
205,4.1,4.1,0.991591553648239,6.866001165696859
206,4.12,4.12,0.9920697836181305,6.862788420545367
207,4.14,4.14,0.9924459237775268,6.866435870032607
208,4.16,4.16,0.9931333112144937,6.883879474573478
209,4.18,4.18,0.992746285320301,6.894339817084883
210,4.2,4.2,0.9935311217016101,6.917741478134251
211,4.22,4.22,0.9935538107586257,6.875768227046946
212,4.24,4.24,0.9934472523713392,6.869556837834516
213,4.26,4.26,0.9934324397444421,6.8495791260330865
214,4.28,4.28,0.9939875748971059,6.859674925078974
215,4.3,4.3,0.9939401031913989,6.875432431241085
216,4.32,4.32,0.9946233237185957,6.8889939933256175
217,4.34,4.34,0.9951496052480817,6.8896364851984195
218,4.36,4.36,0.994959383041872,6.888976228243199
219,4.38,4.38,0.9944392415529499,6.882375662585183
220,4.4,4.4,0.9942865145718593,6.875007108334026
221,4.42,4.42,0.9945986063515189,6.877099462741025
222,4.44,4.44,0.9949693774628109,6.879301628339311
223,4.46,4.46,0.99478409631008,6.887918723113814
224,4.48,4.48,0.9948326156392059,6.895101662150784
225,4.5,4.5,0.9947090233171855,6.890282437703219
226,4.5200000000000005,4.5200000000000005,0.9950639609595561,6.9019978252160135
227,4.54,4.54,0.9954225446983821,6.896891218546302
228,4.5600000000000005,4.5600000000000005,0.9950580253591009,6.887492045842349
229,4.58,4.58,0.9950332573733408,6.88147057481273
230,4.6000000000000005,4.6000000000000005,0.9952622313816865,6.879771584317434
231,4.62,4.62,0.9957489902461603,6.894759926219001
232,4.64,4.64,0.9962195969733106,6.898742696638636
233,4.66,4.66,0.9966903773066953,6.899698168581328
234,4.68,4.68,0.9967285324603284,6.903291032587061
235,4.7,4.7,0.9963636521950133,6.900929905031742
236,4.72,4.72,0.9966197400591341,6.91537083414076
237,4.74,4.74,0.9967351845804603,6.927313438025153
238,4.76,4.76,0.9972390220150098,6.936387783265576
239,4.78,4.78,0.9973067086921135,6.936012630414934
240,4.8,4.8,0.9979224691156178,6.9493766814354
241,4.82,4.82,0.9978919616159314,6.949993847874108
242,4.84,4.84,0.9976675404102083,6.946585698023852
243,4.86,4.86,0.9979620133067829,6.956186882307957
244,4.88,4.88,0.9978414110737094,6.94993404768634
245,4.9,4.9,0.9975816468064849,6.950221561552927
246,4.92,4.92,0.9978314456483746,6.943528634526111
247,4.94,4.94,0.997876810379307,6.948441316165361
248,4.96,4.96,0.998047820658541,6.94633640054157
249,4.98,4.98,0.9981888794111287,6.95733425189897
250,5.0,5.0,0.9980516385014169,6.960042158611367
251,5.0200000000000005,5.0200000000000005,0.9983772457843578,6.97151800299043
252,5.04,5.04,0.9982599663472207,6.9655479278681875
253,5.0600000000000005,5.0600000000000005,0.9986150979678651,6.977537752868821
254,5.08,5.08,0.9985440133580221,6.976448273147007
255,5.1000000000000005,5.1000000000000005,0.9985314657550041,6.983522192341166
256,5.12,5.12,0.9985936103410583,6.983022793825589
257,5.14,5.14,0.9985712999009128,6.979071401913284
258,5.16,5.16,0.9985286489379334,6.975620295830527
259,5.18,5.18,0.9981064925438525,6.973782407455729
260,5.2,5.2,0.9979881239174397,6.967366626176146
261,5.22,5.22,0.9979291497304067,6.966562323509847
262,5.24,5.24,0.9977425787715515,6.959229834554228
263,5.26,5.26,0.9977460373858524,6.973781475346401
264,5.28,5.28,0.9978848955318013,6.974131262433551
265,5.3,5.3,0.9976841203682344,6.976877274770112
266,5.32,5.32,0.9981699271816897,6.982570942665063
267,5.34,5.34,0.9980508175688858,6.978958808964072
268,5.36,5.36,0.9980764395581039,6.969301442425241
269,5.38,5.38,0.9980384603060669,6.974826430783688
270,5.4,5.4,0.9975475051130576,6.969081301858924
271,5.42,5.42,0.9976673149899804,6.978899910469783
272,5.44,5.44,0.9978677357009169,6.980542855592282
273,5.46,5.46,0.9979413502593666,6.97959797523162
274,5.48,5.48,0.9981555416289339,6.985046842511681
275,5.5,5.5,0.9981513801311178,6.997241461010937
276,5.5200000000000005,5.5200000000000005,0.9981363777126449,7.009306072460118
277,5.54,5.54,0.9982102573715875,7.021507674435116
278,5.5600000000000005,5.5600000000000005,0.9981409415187595,7.021379205183454
279,5.58,5.58,0.9986467142515632,7.049757252237705
280,5.6000000000000005,5.6000000000000005,0.9987572772214424,7.052944078704505
281,5.62,5.62,0.998870228096688,7.059767778882563
282,5.64,5.64,0.9989267243141267,7.072019896791767
283,5.66,5.66,0.9988168505714426,7.060226712986431
284,5.68,5.68,0.9989354643412988,7.057088605823953
285,5.7,5.7,0.9990595827770968,7.055207344941267
286,5.72,5.72,0.9990262022449543,7.054772225273259
287,5.74,5.74,0.9990042715025892,7.057922543942438
288,5.76,5.76,0.9990619778208356,7.054437483853857
289,5.78,5.78,0.9990393191102136,7.0528699530803145
290,5.8,5.8,0.9992048161555518,7.05571527941002
291,5.82,5.82,0.9992632603356177,7.056822767602149
292,5.84,5.84,0.999180102821413,7.054040815775701
293,5.86,5.86,0.9990014990112068,7.048494692142229
294,5.88,5.88,0.9988808961372961,7.045988195130772
295,5.9,5.9,0.999055909919288,7.05310328622055
296,5.92,5.92,0.9992416248302378,7.061246404557206
297,5.94,5.94,0.9994401399634592,7.066948386813684
298,5.96,5.96,0.9995260213091395,7.072820485910669
299,5.98,5.98,0.9995406507895653,7.069908459225633
300,6.0,6.0,0.9996508632678577,7.074669657732463
301,6.0200000000000005,6.0200000000000005,0.9996853228663164,7.075219456095593
302,6.04,6.04,0.9996386583091195,7.0746984917492135
303,6.0600000000000005,6.0600000000000005,0.9997829385000588,7.0762035717171
304,6.08,6.08,0.9997887247086008,7.075335726894926
305,6.1000000000000005,6.1000000000000005,0.999820650573234,7.0761138588055665
306,6.12,6.12,0.9998242720395626,7.0768199891705335
307,6.140000000000001,6.140000000000001,0.999834015052385,7.077195560503136
308,6.16,6.16,0.9998848325608674,7.078049094342187
309,6.18,6.18,0.9998700020602519,7.078008756933112
310,6.2,6.2,0.9998620817315372,7.077840449463374
311,6.22,6.22,0.9998787301915903,7.078997723533352
312,6.24,6.24,0.9998861416963526,7.0796765853661165
313,6.26,6.26,0.9999319995146307,7.080493464963087
314,6.28,6.28,0.9999579684253175,7.080567476436169
315,6.3,6.3,0.9999681672385408,7.081400048050687
316,6.32,6.32,0.9999610299325858,7.081848159255644
317,6.34,6.34,0.9999485670421744,7.0810739292029075
318,6.36,6.36,0.9999409848905545,7.082148807201179
319,6.38,6.38,0.9999416137838611,7.083488032682769
320,6.4,6.4,0.9999386405501097,7.084685852551218
321,6.42,6.42,0.9999359000542809,7.0861747599367515
322,6.44,6.44,0.9999316632850949,7.084171950424117
323,6.46,6.46,0.9999421613727758,7.084036706758294
324,6.48,6.48,0.9999345747234045,7.0838300815684025
325,6.5,6.5,0.9999486229984105,7.0822957050412585
326,6.5200000000000005,6.5200000000000005,0.9999531661465084,7.0818346840044555
327,6.54,6.54,0.9999578303421788,7.081633786411363
328,6.5600000000000005,6.5600000000000005,0.9999569156858896,7.08091423819259
329,6.58,6.58,0.9999552662468014,7.0805520448713795
330,6.6000000000000005,6.6000000000000005,0.999949061184542,7.080341643317095
331,6.62,6.62,0.99995046094892,7.0805089198685
332,6.640000000000001,6.640000000000001,0.9999488027810783,7.08085027806626
333,6.66,6.66,0.9999452098814953,7.080697515792723
334,6.68,6.68,0.9999506816212793,7.0799154562167015
335,6.7,6.7,0.9999560204476201,7.07951882299112
336,6.72,6.72,0.9999550100019633,7.079220213164857
337,6.74,6.74,0.9999603389851444,7.079428771432351
338,6.76,6.76,0.9999620053507486,7.079941534148183
339,6.78,6.78,0.9999626160771338,7.079921956292269
340,6.8,6.8,0.9999719050331067,7.080365094198695
341,6.82,6.82,0.9999748639556096,7.080200494505276
342,6.84,6.84,0.9999782821794312,7.080156219603854
343,6.86,6.86,0.9999737580030973,7.079807991684806
344,6.88,6.88,0.999968860711656,7.079679355231703
345,6.9,6.9,0.9999692007066724,7.079385255649092
346,6.92,6.92,0.9999730309573542,7.079609215811027
347,6.94,6.94,0.9999821073736415,7.079962713935252
348,6.96,6.96,0.9999894098855789,7.080150396752011
349,6.98,6.98,0.9999899983079809,7.080099258701676
350,7.0,7.0,0.9999896138738937,7.080101571721783
351,7.0200000000000005,7.0200000000000005,0.9999888687617396,7.080141153563087
352,7.04,7.04,0.9999872815841913,7.080312866419087
353,7.0600000000000005,7.0600000000000005,0.9999877398269333,7.080310162097549
354,7.08,7.08,0.9999875969966646,7.080212791945362
355,7.1000000000000005,7.1000000000000005,0.9999876049073518,7.080248672363059
356,7.12,7.12,0.9999866617297228,7.08032564239776
357,7.140000000000001,7.140000000000001,0.999984740974937,7.080471740887891
358,7.16,7.16,0.9999866126468604,7.080272070159672
359,7.18,7.18,0.9999887974792426,7.08021275365154
360,7.2,7.2,0.9999896527650649,7.080128642310907
361,7.22,7.22,0.9999898021166971,7.080115625365724
362,7.24,7.24,0.9999900350032692,7.0799327547006
363,7.26,7.26,0.9999891015152836,7.07989943581906
364,7.28,7.28,0.9999902033058646,7.079818151202557
365,7.3,7.3,0.9999921200340038,7.0798569925263655
366,7.32,7.32,0.9999913005487729,7.07987030412408
367,7.34,7.34,0.9999903666357736,7.079942844303339
368,7.36,7.36,0.9999901909563207,7.079933129504027
369,7.38,7.38,0.9999888294002086,7.079940966476117
370,7.4,7.4,0.9999896062486181,7.0801412771212435
371,7.42,7.42,0.9999877635808235,7.0802384796035245
372,7.44,7.44,0.999989601513564,7.0801075477684705
373,7.46,7.46,0.999989135406371,7.080175135845643
374,7.48,7.48,0.9999870362155668,7.080124572036274
375,7.5,7.5,0.9999876250349033,7.08011946480477
376,7.5200000000000005,7.5200000000000005,0.9999868761441819,7.080002497479379
377,7.54,7.54,0.9999839809184243,7.079969532126662
378,7.5600000000000005,7.5600000000000005,0.9999855867709679,7.080120965861985
379,7.58,7.58,0.9999874777981362,7.080264456809398
380,7.6000000000000005,7.6000000000000005,0.9999863792414223,7.080197656945436
381,7.62,7.62,0.9999873975596054,7.080140140743392
382,7.640000000000001,7.640000000000001,0.9999915111859995,7.080086879918088
383,7.66,7.66,0.999994066018285,7.080232893699255
384,7.68,7.68,0.9999938962443209,7.080227973068396
385,7.7,7.7,0.9999940225134817,7.08017039221163
386,7.72,7.72,0.9999964636169242,7.080076730540474
387,7.74,7.74,0.9999951652458889,7.080017817733746
388,7.76,7.76,0.9999936729149025,7.07999577001931
389,7.78,7.78,0.9999936062783209,7.080034608786713
390,7.8,7.8,0.9999938912640903,7.080055053362753
391,7.82,7.82,0.9999947103482956,7.0800393658041685
392,7.84,7.84,0.9999941446312026,7.080037349015554
393,7.86,7.86,0.9999947482804918,7.0801152181469975
394,7.88,7.88,0.9999957978550436,7.080075523583681
395,7.9,7.9,0.9999958901506624,7.080079460316695
396,7.92,7.92,0.9999955239420533,7.080078238245322
397,7.94,7.94,0.9999963549557068,7.080032666127035
398,7.96,7.96,0.9999972676849265,7.079997748766349
399,7.98,7.98,0.9999972698505932,7.080021274896491
400,8.0,8.0,0.9999971402162647,7.080034984332911
401,8.02,8.02,0.999997617732894,7.0800204810265726
402,8.040000000000001,8.040000000000001,0.9999980845614131,7.0800113761119094
403,8.06,8.06,0.999998666861072,7.080018309215293
404,8.08,8.08,0.9999987025207663,7.080022805450043
405,8.1,8.1,0.9999986140365487,7.080019989874205
406,8.120000000000001,8.120000000000001,0.9999983708122143,7.080014897552752
407,8.14,8.14,0.9999982766698053,7.08003807761026
408,8.16,8.16,0.9999984422330638,7.080029544544755
409,8.18,8.18,0.999998788412689,7.08000067434968
410,8.2,8.2,0.9999988406172408,7.079998473054148
411,8.22,8.22,0.999998850972299,7.079993917715578
412,8.24,8.24,0.9999990401673216,7.079998882948656
413,8.26,8.26,0.9999989833297779,7.079993205568069
414,8.28,8.28,0.9999990297702075,7.079990234120049
415,8.3,8.3,0.9999988966368051,7.0799820199914185
416,8.32,8.32,0.999998934205386,7.079983848758234
417,8.34,8.34,0.9999991572753405,7.079995562700563
418,8.36,8.36,0.9999993109932076,7.080000330206097
419,8.38,8.38,0.9999993683176274,7.080006787318349
420,8.4,8.4,0.9999992146698276,7.080009985085749
421,8.42,8.42,0.999998912174553,7.080014520632201
422,8.44,8.44,0.9999989723258226,7.080012642760092
423,8.46,8.46,0.9999989903686642,7.079995768715251
424,8.48,8.48,0.9999990996481323,7.079993765020041
425,8.5,8.5,0.9999990791128891,7.079995303506612
426,8.52,8.52,0.9999989191545886,7.079992318455615
427,8.540000000000001,8.540000000000001,0.9999989499070594,7.079999349998876
428,8.56,8.56,0.9999990977930885,7.08002014867011
429,8.58,8.58,0.9999991143269992,7.0800123507581745
430,8.6,8.6,0.999999051411346,7.080015501682534
431,8.620000000000001,8.620000000000001,0.9999989817816447,7.080017500274436
432,8.64,8.64,0.9999991582397653,7.080014847018877
433,8.66,8.66,0.9999990917059444,7.08000677591776
434,8.68,8.68,0.9999990562463742,7.080006759002442
435,8.700000000000001,8.700000000000001,0.9999988730662939,7.080009994921536
436,8.72,8.72,0.999998909279756,7.080017075933982
437,8.74,8.74,0.9999986000009714,7.080027262795417
438,8.76,8.76,0.9999988824957821,7.080028988990972
439,8.78,8.78,0.999998672793441,7.080023779446826
440,8.8,8.8,0.9999987209949629,7.080018679928505
441,8.82,8.82,0.9999983085779307,7.080007377629232
442,8.84,8.84,0.9999980312989344,7.080018710914971
443,8.86,8.86,0.9999987013422823,7.08000328709837
444,8.88,8.88,0.9999987020520764,7.080009144116599
445,8.9,8.9,0.9999985201198802,7.080019111290516
446,8.92,8.92,0.999998867491163,7.080009756352857
447,8.94,8.94,0.9999989259618622,7.080004045436359
448,8.96,8.96,0.9999989509128936,7.080005300712936
449,8.98,8.98,0.9999992702959198,7.08000711638649
450,9.0,9.0,0.9999994668101386,7.080011432682175
451,9.02,9.02,0.9999994706512058,7.080014806449653
452,9.040000000000001,9.040000000000001,0.9999995280061935,7.080011994388591
453,9.06,9.06,0.9999997235192193,7.080020628995912
454,9.08,9.08,0.9999997790574304,7.080008373545071
455,9.1,9.1,0.9999997745999805,7.080002963320586
456,9.120000000000001,9.120000000000001,0.9999997608935501,7.080003859016299
457,9.14,9.14,0.9999997598503967,7.080009136266935
458,9.16,9.16,0.999999776042375,7.080016879228773
459,9.18,9.18,0.9999997832207457,7.080016706646487
460,9.200000000000001,9.200000000000001,0.9999995829464706,7.080022121064668
461,9.22,9.22,0.9999996725782886,7.080025813840366
462,9.24,9.24,0.9999996214400946,7.080043568549619
463,9.26,9.26,0.9999997244186102,7.080026241166041
464,9.28,9.28,0.9999996859359334,7.0800254794086195
465,9.3,9.3,0.9999996268809275,7.08002603660997
466,9.32,9.32,0.9999996460799021,7.080023492864297
467,9.34,9.34,0.9999995668522097,7.080024349025913
468,9.36,9.36,0.9999995890965436,7.080018638845925
469,9.38,9.38,0.9999995076140711,7.080023160873287
470,9.4,9.4,0.9999995985397332,7.0800154153238735
471,9.42,9.42,0.9999995982017306,7.080010525023343
472,9.44,9.44,0.9999994505759738,7.080022456771321
473,9.46,9.46,0.9999995605293145,7.080013465482544
474,9.48,9.48,0.9999995590427456,7.0800210986032
475,9.5,9.5,0.9999995081401062,7.080034772658525
476,9.52,9.52,0.9999995192824216,7.080040585144608
477,9.540000000000001,9.540000000000001,0.9999993564999216,7.080065276430776
478,9.56,9.56,0.9999994719253507,7.080053761474207
479,9.58,9.58,0.9999996323801192,7.0800286435554725
480,9.6,9.6,0.9999996038919268,7.080033407374716
481,9.620000000000001,9.620000000000001,0.9999996037249744,7.080024467928997
482,9.64,9.64,0.9999995137194752,7.080030663378308
483,9.66,9.66,0.9999994718842083,7.08002529463466
484,9.68,9.68,0.9999995398562832,7.080021245886661
485,9.700000000000001,9.700000000000001,0.9999995176473695,7.080016146220011
486,9.72,9.72,0.9999993348177522,7.0800384258781754
