step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9456099671559659,0.9943607416823229
2,0.04,0.04,0.8942796878753088,0.9997468242379921
3,0.06,0.06,0.8352420190191066,1.0081347383904142
4,0.08,0.08,0.8031597439244276,1.016616846192259
5,0.1,0.1,0.7677210354227152,1.0200433852720885
6,0.12,0.12,0.7408232474271612,1.0444014355957687
7,0.14,0.14,0.7120169551886625,1.0848827820912792
8,0.16,0.16,0.6832279167319367,1.1000628237118564
9,0.18,0.18,0.6584716113583003,1.6464271443034744
10,0.2,0.2,0.635958016077327,1.652463635983747
11,0.22,0.22,0.6069719470618791,1.3622640090161366
12,0.24,0.24,0.5930636824249401,1.3954655423802853
13,0.26,0.26,0.5778154386145028,1.3974709885839156
14,0.28,0.28,0.5678828491864161,1.3859915867589976
15,0.3,0.3,0.5697322023695829,1.5326860015693813
16,0.32,0.32,0.5692847119965816,1.5750532475502237
17,0.34,0.34,0.5594381662827794,1.5381965295839175
18,0.36,0.36,0.5495867466547381,1.6190738496207058
19,0.38,0.38,0.5326166277612425,2.206288669181329
20,0.4,0.4,0.5380338314924288,1.8829011350872553
21,0.42,0.42,0.5368343820789953,1.9300962697872104
22,0.44,0.44,0.5316799617849437,2.0975042642148987
23,0.46,0.46,0.5353348609742009,2.202396831271133
24,0.48,0.48,0.5364978807840884,2.208142123532788
25,0.5,0.5,0.5391499412861117,2.3551932936879947
26,0.52,0.52,0.5410790178564083,2.444992390889597
27,0.54,0.54,0.543881196042288,2.5378921167980053
28,0.56,0.56,0.5488337500882146,2.642941896884583
29,0.58,0.58,0.550658158749518,2.69644122897134
30,0.6,0.6,0.5464493663426915,2.5048458204846615
31,0.62,0.62,0.5445994735040522,2.957028772902554
32,0.64,0.64,0.5489817550936351,2.6392164469471977
33,0.66,0.66,0.5574211224812791,2.9573448978675483
34,0.68,0.68,0.5592547683282572,2.808703465608909
35,0.7000000000000001,0.7000000000000001,0.5709661940639278,3.068259330180669
36,0.72,0.72,0.5752825144352851,3.103038675664813
37,0.74,0.74,0.5829381413170399,3.224160169602623
38,0.76,0.76,0.5883857221714929,3.308283226683658
