step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.949655723006897,1.000127587456866
2,0.04,0.04,0.9047927783150557,1.0042886082951292
3,0.06,0.06,0.8607858237350132,1.0122645597899425
4,0.08,0.08,0.8249303139375281,1.0186127000701513
5,0.1,0.1,0.790576812046901,1.0302089495705793
6,0.12,0.12,0.7682426451547698,1.0432274915169868
7,0.14,0.14,0.7432943713131077,1.0618102317269646
8,0.16,0.16,0.7164567170653591,1.0903905916552572
9,0.18,0.18,0.6912645094955265,1.1192851576891119
10,0.2,0.2,0.6755425143858497,1.1423076390267328
11,0.22,0.22,0.6635279487419765,1.172161390839685
12,0.24,0.24,0.652767327821808,1.199180416920926
13,0.26,0.26,0.6469942095806859,1.2208889016732194
14,0.28,0.28,0.6330746766938073,1.2505652678147827
15,0.3,0.3,0.626009776532933,1.288726577084284
16,0.32,0.32,0.6180724228977573,1.3625618594608304
17,0.34,0.34,0.6126122468397067,1.4713698232220878
18,0.36,0.36,0.6153150338191005,1.5561474737207894
19,0.38,0.38,0.6148289560988802,1.6348246153118193
20,0.4,0.4,0.6082454391195198,1.6963661909713628
21,0.42,0.42,0.6097863372392001,1.8615647744062291
22,0.44,0.44,0.6103682669627972,1.9412758168102782
23,0.46,0.46,0.6131626723914944,1.9809072818131015
24,0.48,0.48,0.6190996651767544,2.019923283938562
25,0.5,0.5,0.620450542508292,2.152591065427897
26,0.52,0.52,0.6294950313008892,2.374781252612552
27,0.54,0.54,0.6343872241365517,2.764959275230101
28,0.56,0.56,0.6415116471405521,2.5578676511126734
29,0.58,0.58,0.651058817968517,2.8538183949127562
30,0.6,0.6,0.6526067828975234,2.677706752861184
31,0.62,0.62,0.6590698414162286,2.680193125408861
32,0.64,0.64,0.6599874240691751,2.9622896650210104
33,0.66,0.66,0.6662256427760953,2.9863479006770577
34,0.68,0.68,0.678364116368533,3.247927235394295
35,0.7000000000000001,0.7000000000000001,0.6891388925041316,3.3612972090007514
36,0.72,0.72,0.695151920664586,3.5366206426564393
37,0.74,0.74,0.707803211075464,3.7355960596362845
38,0.76,0.76,0.7112932627706614,3.9579701228488786
39,0.78,0.78,0.7182994772205779,4.169798502880962
40,0.8,0.8,0.7263444017481315,4.389188405222325
41,0.8200000000000001,0.8200000000000001,0.737716722590043,4.564132603220059
42,0.84,0.84,0.750546804733508,4.836124982622278
43,0.86,0.86,0.7663127141652272,5.895297211056123
44,0.88,0.88,0.7793605717195712,6.167472355204264
45,0.9,0.9,0.7867088690943319,8.505737694700766
46,0.92,0.92,0.8023650061404095,5.738475533928272
47,0.9400000000000001,0.9400000000000001,0.803948471216852,5.68379926722985
48,0.96,0.96,0.8168264361034336,5.977455268308969
49,0.98,0.98,0.8262038377645814,5.87274102003871
50,1.0,1.0,0.8352567143188375,5.9398446785364145
51,1.02,1.02,0.8404965839465051,6.228901130957382
52,1.04,1.04,0.8376947145838954,7.3101318249497025
53,1.06,1.06,0.8480118421505226,6.781162487528316
54,1.08,1.08,0.8508423988697459,6.371581404781706
55,1.1,1.1,0.8507076982434525,6.341950728451212
56,1.12,1.12,0.8585148561318077,6.493360302167074
57,1.1400000000000001,1.1400000000000001,0.8660748722842745,6.578863329990657
58,1.16,1.16,0.8751932401876158,6.803990076657744
59,1.18,1.18,0.8829548287809772,6.835141971518284
60,1.2,1.2,0.885696106627636,6.976669815988575
61,1.22,1.22,0.899882560350555,7.048406252306737
62,1.24,1.24,0.897128396916969,6.980027638814184
63,1.26,1.26,0.9093832542147333,7.018912428480762
64,1.28,1.28,0.9157621734454462,7.123206038890163
65,1.3,1.3,0.9226264998146054,7.294728243141861
66,1.32,1.32,0.9265351127535704,7.339880518179741
67,1.34,1.34,0.9283418224579684,7.310341827238947
68,1.36,1.36,0.9405202866045849,7.323815469987567
69,1.3800000000000001,1.3800000000000001,0.9439556833050013,7.699574669728251
70,1.4000000000000001,1.4000000000000001,0.9441947636342158,7.844317620450138
71,1.42,1.42,0.9511058025235241,7.859787723676062
72,1.44,1.44,0.9540533845103405,7.568871900112459
73,1.46,1.46,0.9622800256125269,7.260481029360537
74,1.48,1.48,0.9627831259356903,7.50694619136907
75,1.5,1.5,0.9614170357327727,7.2709699520296285
76,1.52,1.52,0.9549051988260456,7.223954405501566
77,1.54,1.54,0.9612348934846622,7.3581258301745525
78,1.56,1.56,0.9622994898093983,7.526042002496125
79,1.58,1.58,0.9596302376751715,7.737101243822746
80,1.6,1.6,0.9652172854904254,8.213692204843925
81,1.62,1.62,0.9626437163129998,8.274129811583355
82,1.6400000000000001,1.6400000000000001,0.9653613280464326,8.25474998847083
83,1.6600000000000001,1.6600000000000001,0.9636308716981025,8.439545543435788
84,1.68,1.68,0.9695241336340723,8.665878341305739
85,1.7,1.7,0.9717258739542213,9.091253936123154
86,1.72,1.72,0.974828916414904,8.862250851711405
87,1.74,1.74,0.9691143220359811,9.573539725046087
88,1.76,1.76,0.9747639459312047,9.102607107077045
89,1.78,1.78,0.9751694340884363,8.77698904608338
90,1.8,1.8,0.9767551123987114,9.185092285523993
91,1.82,1.82,0.9739713836505551,8.334242450342494
92,1.84,1.84,0.9767373672144156,8.257968604502096
93,1.86,1.86,0.981381131306536,7.8652717220671935
94,1.8800000000000001,1.8800000000000001,0.9820364830604924,7.602560346228809
95,1.9000000000000001,1.9000000000000001,0.983778644623491,8.186998755402225
96,1.92,1.92,0.9850581921358895,8.18011318102402
97,1.94,1.94,0.986140897437944,8.352122156512904
98,1.96,1.96,0.9873477548191112,7.920718694781056
99,1.98,1.98,0.9835417026792066,8.38588914183021
100,2.0,2.0,0.9831635711257165,8.633417936925337
101,2.02,2.02,0.984903945381283,9.00095154525123
102,2.04,2.04,0.984419341416001,9.390309384650065
103,2.06,2.06,0.9859779662817093,8.611989806195783
104,2.08,2.08,0.9846207039696908,9.084001802733857
105,2.1,2.1,0.9888347387301515,8.972687577467424
106,2.12,2.12,0.9941120572097172,7.70541480311706
107,2.14,2.14,0.9902246415239787,9.651510404763666
108,2.16,2.16,0.9926183838401998,9.537206758341235
109,2.18,2.18,0.9930763854473991,8.695578426511775
110,2.2,2.2,0.986688514460931,8.518575625942871
111,2.22,2.22,0.9917111916722864,8.20551813749281
112,2.24,2.24,0.9909658246949045,7.585588647994103
113,2.2600000000000002,2.2600000000000002,0.9907262823077112,7.582500545920222
114,2.2800000000000002,2.2800000000000002,0.990382181549573,7.866302669989503
115,2.3000000000000003,2.3000000000000003,0.9898421041558061,8.184222592507911
116,2.32,2.32,0.9901098079890533,8.707467954408747
117,2.34,2.34,0.9879344359568359,10.253389110521537
118,2.36,2.36,0.9917518911869143,11.966951727896173
119,2.38,2.38,0.9902429544404141,11.403758941953548
120,2.4,2.4,0.9930268809599212,11.816823644302184
121,2.42,2.42,0.9848964801969153,16.0011123388816
122,2.44,2.44,0.9922937755964982,9.22338341648795
123,2.46,2.46,0.9928781570863771,8.532482031689794
124,2.48,2.48,0.9923520492893444,12.621085564731196
125,2.5,2.5,0.9923442249950779,8.524517043204833
126,2.52,2.52,0.9949036817660911,9.20063722337011
127,2.54,2.54,0.9966868325817814,9.085754167084543
128,2.56,2.56,0.994213343964005,12.07618088206761
129,2.58,2.58,0.9926823599792824,17.552623566627663
130,2.6,2.6,0.9851477378236259,19.19612833768238
131,2.62,2.62,0.9907891012091139,19.055297400145037
132,2.64,2.64,0.9843252148759971,28.68945003515185
133,2.66,2.66,0.9944656791023067,15.423893660973729
134,2.68,2.68,0.9964065924749959,11.719013202970666
135,2.7,2.7,0.9983694118901586,9.066976584634773
136,2.72,2.72,0.9987812386334812,9.64022652261481
137,2.74,2.74,0.9988033674034879,8.75882471674992
138,2.7600000000000002,2.7600000000000002,0.9989256915794862,8.382342832202696
139,2.7800000000000002,2.7800000000000002,0.9984709188803346,11.340173969419537
140,2.8000000000000003,2.8000000000000003,0.992612618334078,21.246172715142837
141,2.82,2.82,0.9953302504209003,30.107452746144485
142,2.84,2.84,0.9990310318380555,10.707189585643738
143,2.86,2.86,0.9988146875995386,172.43475346250762
144,2.88,2.88,0.9991879494614693,8.362626900375513
145,2.9,2.9,0.9985728258929275,74.83230775866454
146,2.92,2.92,0.9987962767878025,8.9359530555372
147,2.94,2.94,0.9960257831181742,11.204324439242646
148,2.96,2.96,0.9947611582371104,13.880488874036596
149,2.98,2.98,0.9928959276383348,53.564653614204275
150,3.0,3.0,0.9937181821779276,13.284205428305974
151,3.02,3.02,0.9930555676222061,11.902838220922542
152,3.04,3.04,0.9970609367742199,11.03417597485791
153,3.06,3.06,0.9992686422312126,8.621009753869128
154,3.08,3.08,0.9984656756089673,9.847750901701565
155,3.1,3.1,0.9970997036757621,11.68955712254388
156,3.12,3.12,0.9982729556310868,10.122600220060404
157,3.14,3.14,0.993787815225598,21.618592543103222
158,3.16,3.16,0.9955131209232866,16.56390184634413
159,3.18,3.18,0.9942187719732503,15.158622601607767
160,3.2,3.2,0.9970402971846988,12.006871310452858
161,3.22,3.22,0.9956181559660834,16.032940069224818
162,3.24,3.24,0.9932045686596528,13.81683336105791
163,3.2600000000000002,3.2600000000000002,0.9918880111666748,18.376936453791004
164,3.2800000000000002,3.2800000000000002,0.9948626605453551,17.80114753890672
165,3.3000000000000003,3.3000000000000003,0.9882638072219012,21.28885281348745
166,3.3200000000000003,3.3200000000000003,0.9978047290892395,12.923448375204917
167,3.34,3.34,0.9978915102648814,14.008174670945046
168,3.36,3.36,0.9964763159219653,17.642274547784712
169,3.38,3.38,0.99551335133708,20.104747931945482
170,3.4,3.4,0.9985057403697118,10.852843847582163
171,3.42,3.42,0.9951401407234337,14.596755909331794
172,3.44,3.44,0.9978343558608327,17.75795733630959
173,3.46,3.46,0.9962370441282407,26.173849975679882
174,3.48,3.48,0.9989303914156903,13.087263269805263
175,3.5,3.5,0.9997403082961633,7.521805615201507
176,3.52,3.52,0.9996773503017411,7.492363288383269
177,3.54,3.54,0.9963359117505045,14.72590511330779
178,3.56,3.56,0.9992727652315083,10.436201560871934
179,3.58,3.58,0.9996232776927534,8.645938103019779
180,3.6,3.6,0.998410014370736,11.890795656643611
181,3.62,3.62,0.9997355188284169,7.474285201186842
182,3.64,3.64,0.9996997004423294,8.124979661642037
183,3.66,3.66,0.9988617978567171,13.099255070654374
184,3.68,3.68,0.9974544254003394,16.21067937289427
185,3.7,3.7,0.99981772712989,8.447247878379331
186,3.72,3.72,0.9993061580792125,15.867258399892437
187,3.74,3.74,0.9998870606767336,7.393222619408667
188,3.7600000000000002,3.7600000000000002,0.9998336502182568,7.833095430485087
189,3.7800000000000002,3.7800000000000002,0.9996968998272496,8.148417120924966
190,3.8000000000000003,3.8000000000000003,0.9995521674584985,9.142112376330948
191,3.8200000000000003,3.8200000000000003,0.9986073624987332,14.202013426240924
192,3.84,3.84,0.994863569787119,32.71454035322657
193,3.86,3.86,0.9994873862290765,17.961296476919955
194,3.88,3.88,0.9990674287467204,40.88634962080179
195,3.9,3.9,0.9997423093006248,17.552280099106195
196,3.92,3.92,0.9997818024285852,16.404192642797323
197,3.94,3.94,0.999337584430964,43.85837095889632
198,3.96,3.96,0.9966240101691594,25.32971586990886
199,3.98,3.98,0.9946644517494307,28.75201786227884
200,4.0,4.0,0.9998853914786501,7.996323402828333
201,4.0200000000000005,4.0200000000000005,0.9997636324965139,9.346757891462335
202,4.04,4.04,0.9999546839085753,6.933984043068346
203,4.0600000000000005,4.0600000000000005,0.9999661128212374,6.961591148479858
204,4.08,4.08,0.9999700514321814,6.919638999647392
205,4.1,4.1,0.9999684951265951,7.004127251852148
206,4.12,4.12,0.999976318021687,7.333769840696079
207,4.14,4.14,0.9999816897512808,7.479638759805621
208,4.16,4.16,0.9999832251732311,9.920416534888401
209,4.18,4.18,0.9999805109676383,10.563757132467483
210,4.2,4.2,0.9999680800477934,12.290974520063692
211,4.22,4.22,0.999975076072202,10.181651542485017
212,4.24,4.24,0.9999694152607737,9.599377414230576
213,4.26,4.26,0.9999568619237783,7.846714033803998
214,4.28,4.28,0.9999409033772902,7.8884633577960495
215,4.3,4.3,0.9999676721339664,7.744798921358775
216,4.32,4.32,0.9998742976279216,11.656783598117729
217,4.34,4.34,0.9999083793160402,11.25883125430686
218,4.36,4.36,0.9999615664316,7.368541021388788
219,4.38,4.38,0.9989702275457424,25.74092346305625
220,4.4,4.4,0.999963536799749,9.519462472926246
221,4.42,4.42,0.9999312463902005,15.041356500707892
222,4.44,4.44,0.9998721046448367,35.253964805104154
223,4.46,4.46,0.9999715308117407,8.712376980014156
224,4.48,4.48,0.9999809973431343,8.200801437833297
225,4.5,4.5,0.9999507312210515,16.722897786219693
226,4.5200000000000005,4.5200000000000005,0.999988206268572,8.212496363100403
227,4.54,4.54,0.9999818600651607,7.808561002449331
228,4.5600000000000005,4.5600000000000005,0.999990233923475,6.941785785364371
229,4.58,4.58,0.9999904385318046,6.8523685543862305
