step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9484673079639421,1.0014993478325322
2,0.04,0.04,0.9028180841053323,0.9979763003372194
3,0.06,0.06,0.8622484332002811,1.0121499779191554
4,0.08,0.08,0.8250917283978876,1.0390963162574132
5,0.1,0.1,0.7897840924714159,1.0612846177845088
6,0.12,0.12,0.760714903625865,1.077826032344938
7,0.14,0.14,0.7316743717975879,1.1125431921692974
8,0.16,0.16,0.7106357221402319,1.1478237674592247
9,0.18,0.18,0.6895110048374768,1.1746985856158263
10,0.2,0.2,0.6725223120119189,1.2061619178718832
11,0.22,0.22,0.6569915654099583,1.2264985456978699
12,0.24,0.24,0.6380110302013098,1.2384093970163697
13,0.26,0.26,0.6307008800540244,1.2608275179554604
14,0.28,0.28,0.6192092816079883,1.2910433867203843
15,0.3,0.3,0.6108159992122291,1.3320884980750771
16,0.32,0.32,0.6054158055093337,1.3693263401769875
17,0.34,0.34,0.5960378600838313,1.4080996224049067
18,0.36,0.36,0.5882043190226576,1.4285590910716173
19,0.38,0.38,0.5829099620258501,1.4860748260132395
20,0.4,0.4,0.583826215097128,1.6719492229513995
21,0.42,0.42,0.5919264908552507,1.8009435428234695
22,0.44,0.44,0.5896410045902769,1.8798661569474473
23,0.46,0.46,0.5890264414904538,1.8338630486356404
24,0.48,0.48,0.5866356480550836,1.9539008726451388
25,0.5,0.5,0.58759978419544,2.0671567109765703
26,0.52,0.52,0.5952625942134259,2.3108239916578093
27,0.54,0.54,0.6015155359695424,2.4154880123742033
28,0.56,0.56,0.6029103956521452,2.9878984907348562
29,0.58,0.58,0.6106537713797485,3.0193292021831826
30,0.6,0.6,0.6189198083017329,3.595789672704311
31,0.62,0.62,0.6295547611763681,4.4615543738092045
32,0.64,0.64,0.634962659817833,6.384637304465263
33,0.66,0.66,0.6451439999936018,4.85969155225586
34,0.68,0.68,0.6519772488617748,4.737623792533168
35,0.7000000000000001,0.7000000000000001,0.6641900873033034,6.9172154100031875
36,0.72,0.72,0.6684279958115878,7.3546639164019245
37,0.74,0.74,0.671992124467655,5.225023627692026
38,0.76,0.76,0.6806225737167435,5.865986551383908
39,0.78,0.78,0.6896409580625508,4.764276855926419
40,0.8,0.8,0.7046204070477713,4.55984346820421
41,0.8200000000000001,0.8200000000000001,0.714138523129032,5.0042348692424135
42,0.84,0.84,0.7228887955413014,4.938054605287812
