step,t,t_T1,Conc_pair_mean,Xi2_KU
0,0.0,0.0,0.0,1.0
1,0.05,0.05,0.0002596471423319103,0.9509758522452849
2,0.1,0.1,0.00038164095894915314,0.9208741095628721
3,0.15000000000000002,0.15000000000000002,0.00032012750666027463,0.8314753290073693
4,0.2,0.2,0.0001923513168381416,0.828034660201887
5,0.25,0.25,0.00026144732067589485,0.7956653053156661
6,0.30000000000000004,0.30000000000000004,2.036040517303305e-05,0.7847023439198386
7,0.35000000000000003,0.35000000000000003,2.95257371344255e-05,0.7969282292460647
8,0.4,0.4,0.00012746959768432847,0.785766330894386
9,0.45,0.45,2.1467096679805257e-05,0.8539594964515299
10,0.5,0.5,3.0543461266463416e-05,0.8248494259858841
11,0.55,0.55,2.9170722789942783e-05,0.7985931214511374
12,0.6000000000000001,0.6000000000000001,3.434792649003895e-05,0.8157331514329073
13,0.65,0.65,7.669267489345685e-06,0.8107449929804623
14,0.7000000000000001,0.7000000000000001,5.361656381661554e-05,0.8032171306413847
15,0.75,0.75,7.515020485117927e-06,0.8223529177273712
16,0.8,0.8,1.4033286400642913e-05,0.8140203334676125
17,0.8500000000000001,0.8500000000000001,4.720260710313206e-06,0.8299411946197225
18,0.9,0.9,5.97240093694569e-06,0.8235225371328466
19,0.9500000000000001,0.9500000000000001,8.630818519418853e-06,0.8430528526602841
