step,t,t_T1,Conc_pair_mean,Xi2_KU
0,0.0,0.0,0.0,0.9999999999999997
1,0.05,0.05,0.0002115772607711462,0.8627858945638767
2,0.1,0.1,0.0002984678056159606,0.8312407806322589
3,0.15000000000000002,0.15000000000000002,0.0004345770732566116,0.7734360988065401
4,0.2,0.2,0.0001784151465758465,0.689104863949572
5,0.25,0.25,8.61161255655179e-05,0.7286639020555852
6,0.30000000000000004,0.30000000000000004,8.594169712730849e-05,0.7116777001790181
7,0.35000000000000003,0.35000000000000003,3.9035329159573406e-05,0.6503957144113783
8,0.4,0.4,0.00011492247788266199,0.6527038272489765
9,0.45,0.45,9.999018646316409e-05,0.6279820358373402
10,0.5,0.5,1.8127768785437787e-05,0.6437895856639771
11,0.55,0.55,7.354192512090926e-06,0.6815470060235234
12,0.6000000000000001,0.6000000000000001,1.332610159588326e-05,0.6870420162324806
13,0.65,0.65,1.216217648517515e-05,0.67724658830065
14,0.7000000000000001,0.7000000000000001,8.130922095916206e-06,0.7286105609292861
15,0.75,0.75,8.205379006233865e-06,0.7528057342034333
16,0.8,0.8,1.5689808297546824e-06,0.7762478413343741
17,0.8500000000000001,0.8500000000000001,1.4088959099497084e-05,0.7920286169687767
18,0.9,0.9,1.0935600593967084e-06,0.8325256980233323
19,0.9500000000000001,0.9500000000000001,1.7728529403813757e-06,0.7955971673759995
