N,Xi2_KU_min,t_T1_at_Xi2_KU_min,Xi2_W_min,t_T1_at_Xi2_W_min,J_norm_at_KU_min,J_norm_final
2,0.505452141308868,0.68,0.7067860523352429,0.68,0.7788697451536745,0.5800010287970656
13,0.25289449750894083,1.26,0.32374066970471427,1.0,5.621872771179312,2.1572601879632116
24,0.17479735318587145,1.92,0.22088795007221315,1.54,10.49296999667457,5.779218902876861
35,0.11830569118238123,2.82,0.15487444644780607,2.42,15.141324688204177,10.27265095541511
46,0.09567304201883373,3.84,0.12451716066198781,3.12,19.70984942607726,15.212051202712505
56,0.10966222185484709,3.1,0.13214496719844948,2.7600000000000002,25.34309682582838,20.000230019299785
67,0.0882502417883419,4.0600000000000005,0.10879938485674084,3.58,29.94226936910882,25.206590070743164
78,0.07757282139334415,4.32,0.09459489825714139,4.08,35.16926416874026,30.497246027683836
89,0.07698808359455757,4.82,0.0924004033658744,3.98,40.204092788321724,35.88073977491991
100,0.0676216098406622,5.28,0.08147811528167109,4.78,45.253534470180476,41.24606563466221
