step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.956628177351116,1.0006737254728897
2,0.04,0.04,0.9136286114644712,1.0031821262820246
3,0.06,0.06,0.8716397260278914,1.0084019605217187
4,0.08,0.08,0.8432641519749062,1.0167646364115897
5,0.1,0.1,0.8037631608833314,1.029724286897267
6,0.12,0.12,0.7692257396906576,1.0499988016432318
7,0.14,0.14,0.7484987191030732,1.0703428701420623
8,0.16,0.16,0.729465467146644,1.1048650638287874
9,0.18,0.18,0.7148370546239462,1.1343409989062132
10,0.2,0.2,0.6951454931969943,1.1692012744875762
11,0.22,0.22,0.6821122193092769,1.2012989673207588
12,0.24,0.24,0.668250647382189,1.2473885004328262
13,0.26,0.26,0.6608543306980333,1.3171667912010026
14,0.28,0.28,0.6594716993810215,1.3807339428465906
15,0.3,0.3,0.6508605116178708,1.4968941191056229
16,0.32,0.32,0.6459564173865989,1.5908261760457725
17,0.34,0.34,0.6492090219201507,1.7584101042488667
18,0.36,0.36,0.650033204321559,1.7934071671038023
19,0.38,0.38,0.6613482354460218,1.9240044074738543
20,0.4,0.4,0.655897989847972,2.0411594797880084
21,0.42,0.42,0.6710240263407428,2.208187820073562
22,0.44,0.44,0.6759514210899031,2.3240553976182166
23,0.46,0.46,0.6837028959877134,2.495233708822706
24,0.48,0.48,0.6854548742978522,2.618134930522777
25,0.5,0.5,0.6868177979077831,2.7923326740376964
26,0.52,0.52,0.6956663465883295,2.976036701219943
27,0.54,0.54,0.7082881102560381,3.249374542814713
28,0.56,0.56,0.7024781423243779,3.3141656114637947
29,0.58,0.58,0.7102703736870087,3.4233888624391047
30,0.6,0.6,0.7148234650714137,3.545410050410344
31,0.62,0.62,0.721868742976982,3.665739987670293
32,0.64,0.64,0.7351275261565773,3.7838433446014625
33,0.66,0.66,0.7395359423125467,3.8394243676050066
34,0.68,0.68,0.7398633493308605,3.94139450253811
35,0.7000000000000001,0.7000000000000001,0.7494256840298545,4.107077834834901
36,0.72,0.72,0.761158501471164,4.280950731660986
37,0.74,0.74,0.7749108645081325,4.45847057195588
38,0.76,0.76,0.7847237806125257,4.620652231323917
39,0.78,0.78,0.7976447412214464,4.778606809883656
40,0.8,0.8,0.8065652476216324,4.929917610258591
41,0.8200000000000001,0.8200000000000001,0.8148218550523603,5.054929772628841
42,0.84,0.84,0.8129984721513098,5.067975655819742
43,0.86,0.86,0.8111614376150158,5.091069804027933
44,0.88,0.88,0.8272752057491717,5.231072257707455
45,0.9,0.9,0.8399622518600113,5.335047013202118
46,0.92,0.92,0.83901455253544,5.3654747720022655
47,0.9400000000000001,0.9400000000000001,0.848241322067794,5.4792069888346795
48,0.96,0.96,0.8508902581280741,5.553393461343474
49,0.98,0.98,0.8628500557016915,5.658555518260681
50,1.0,1.0,0.8640583990572743,5.720441259551519
51,1.02,1.02,0.8760058889719688,5.837816118406391
52,1.04,1.04,0.8768577752278591,5.8712253656944515
53,1.06,1.06,0.8854207302724941,5.942587696792792
54,1.08,1.08,0.8920364227796813,6.011209393910747
55,1.1,1.1,0.8971428425850898,6.071264294283107
56,1.12,1.12,0.9057091146361645,6.144504025054749
57,1.1400000000000001,1.1400000000000001,0.9121255423134373,6.173430274227734
58,1.16,1.16,0.9126467755355389,6.134977331854651
59,1.18,1.18,0.9164444475955219,6.185182422595375
60,1.2,1.2,0.922643170919597,6.239375519136602
61,1.22,1.22,0.9242308778203048,6.290365203159288
62,1.24,1.24,0.9318287506104879,6.36185674378684
63,1.26,1.26,0.9348420890001432,6.403882012767215
64,1.28,1.28,0.9337655724986675,6.411903928438902
65,1.3,1.3,0.937470916734612,6.449454335724702
66,1.32,1.32,0.9418015382057757,6.49466727315762
67,1.34,1.34,0.9469709340007474,6.582526356743981
68,1.36,1.36,0.9519475239715063,6.668730448074109
69,1.3800000000000001,1.3800000000000001,0.9621832019633674,6.8092921847458845
70,1.4000000000000001,1.4000000000000001,0.9641474644074655,6.8464070183291925
