step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9490871593916929,1.0013714000505436
2,0.04,0.04,0.9037661481485948,1.005543486092855
3,0.06,0.06,0.8621581442338625,1.0123378733549906
4,0.08,0.08,0.8238056734297843,1.0219644295103365
5,0.1,0.1,0.7915234864851344,1.0341242396888277
6,0.12,0.12,0.7643615826731331,1.0486449014247718
7,0.14,0.14,0.7392115077037935,1.0657499020015535
8,0.16,0.16,0.7181449762798934,1.0849938054158144
9,0.18,0.18,0.7012939764097781,1.1066703882466415
10,0.2,0.2,0.6872864008642017,1.1303791523118876
11,0.22,0.22,0.6736954309046951,1.1578526327497787
12,0.24,0.24,0.6612391931273999,1.1883945156333127
13,0.26,0.26,0.6557325897219327,1.219637133587311
14,0.28,0.28,0.6426616713979143,1.2587887580019077
15,0.3,0.3,0.6424317750441635,1.2957089239611614
16,0.32,0.32,0.6361050458307278,1.3373855175140266
17,0.34,0.34,0.6432120759831687,1.3738372904004554
18,0.36,0.36,0.642015702212942,1.4226188768086312
19,0.38,0.38,0.640482429192206,1.4764268483134462
20,0.4,0.4,0.6412567496647006,1.5270371058280958
21,0.42,0.42,0.6451427189639769,1.5835672039296056
22,0.44,0.44,0.652729745841653,1.6406129517133803
23,0.46,0.46,0.6540972585594603,1.7124250997027004
24,0.48,0.48,0.6537900781153292,1.7975249031018021
25,0.5,0.5,0.6595118040933731,1.8850695221487503
26,0.52,0.52,0.6638520150890511,1.9857740479779014
27,0.54,0.54,0.66473554890132,2.092566617523792
28,0.56,0.56,0.6691192133267638,2.1975585098619455
29,0.58,0.58,0.6731531669040755,2.3261701980657254
30,0.6,0.6,0.6799318112806315,2.473057766805451
31,0.62,0.62,0.6873523235986185,2.5990538816634468
32,0.64,0.64,0.6935106943889932,2.765495493088467
33,0.66,0.66,0.703177315989223,2.8762898692891503
34,0.68,0.68,0.7131663086267974,3.0080271494721726
35,0.7000000000000001,0.7000000000000001,0.7254446463190599,3.175374353991379
36,0.72,0.72,0.7324066350197037,3.317520905815203
37,0.74,0.74,0.7377449885926585,3.479102849555038
38,0.76,0.76,0.754386056046495,3.646615279199953
39,0.78,0.78,0.7640962632125123,3.8138207353077838
40,0.8,0.8,0.7711711269371725,3.9918373227894937
41,0.8200000000000001,0.8200000000000001,0.7783648452272773,4.128512130539744
42,0.84,0.84,0.7851259783991386,4.352298869713318
43,0.86,0.86,0.7998569358950496,4.487086369346859
44,0.88,0.88,0.8087122416866308,4.594279324412456
45,0.9,0.9,0.8179566845609467,4.833070356706056
46,0.92,0.92,0.825800494415999,5.030562018274838
47,0.9400000000000001,0.9400000000000001,0.8317720052446272,5.21102457607982
48,0.96,0.96,0.8457069879666383,5.4217869315632985
49,0.98,0.98,0.8475327099042663,5.516919395431841
50,1.0,1.0,0.8524100966037474,5.732468683000209
51,1.02,1.02,0.867017524478566,5.865760300495581
52,1.04,1.04,0.8714341260970496,5.9166098214136795
53,1.06,1.06,0.8769060200669568,6.169433400460839
54,1.08,1.08,0.8873551141205734,6.365044788608485
55,1.1,1.1,0.8830458443794714,6.486806456614643
56,1.12,1.12,0.8875621547961717,6.64432267222518
57,1.1400000000000001,1.1400000000000001,0.8925641975352776,6.71733273498033
58,1.16,1.16,0.8906460369223861,6.924301356047572
59,1.18,1.18,0.9045522841792636,7.101845601898856
60,1.2,1.2,0.903765305221957,7.230232539863413
61,1.22,1.22,0.9119319279722176,7.2855953639392546
62,1.24,1.24,0.9164243709653642,7.533293129563604
63,1.26,1.26,0.9173589709766664,7.690892780965488
64,1.28,1.28,0.9200540691106515,7.800241016804684
65,1.3,1.3,0.9318506162313038,8.048012232654917
66,1.32,1.32,0.9319511165461282,8.221821998353375
67,1.34,1.34,0.9407972676463179,8.285761806826205
68,1.36,1.36,0.9379960267155877,8.560584189003395
69,1.3800000000000001,1.3800000000000001,0.9451890211972989,8.409627445666386
70,1.4000000000000001,1.4000000000000001,0.9446062621678787,8.504675186672623
