step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9494861302213216,1.0013466912897087
2,0.04,0.04,0.8994188656792229,1.0053104928913603
3,0.06,0.06,0.8571447499980017,1.0120944795055795
4,0.08,0.08,0.8211229307504894,1.0214345386718413
5,0.1,0.1,0.7851471931541476,1.033827566137713
6,0.12,0.12,0.7479818676152746,1.0549807859993507
7,0.14,0.14,0.7303306008063121,1.0694928934598666
8,0.16,0.16,0.7051644352163282,1.0921580130217563
9,0.18,0.18,0.6874099486870269,1.115558229369704
10,0.2,0.2,0.6646942373945659,1.1432087724664566
11,0.22,0.22,0.6514727691432823,1.172153383228226
12,0.24,0.24,0.6376291336873258,1.2102994527669786
13,0.26,0.26,0.6289540057760146,1.2429139328297125
14,0.28,0.28,0.6168526255699209,1.3051074804722713
15,0.3,0.3,0.6115156991900911,1.3739287680003158
16,0.32,0.32,0.6126025097495432,1.412036637407957
17,0.34,0.34,0.6094961057685845,1.44970437710434
18,0.36,0.36,0.6184057672273301,1.5517107119329052
19,0.38,0.38,0.6189141550500946,1.6765502577220943
20,0.4,0.4,0.6263819324826294,1.7349295815232937
21,0.42,0.42,0.6307201764389258,1.8393689473530137
22,0.44,0.44,0.6360794800413005,1.9086725568046103
23,0.46,0.46,0.6385363573484647,2.0297569552250856
24,0.48,0.48,0.6434949944560373,2.1429232950944552
25,0.5,0.5,0.6550569434614182,2.3124330486394657
26,0.52,0.52,0.6622278838323794,2.4152397565935066
27,0.54,0.54,0.6656616153184415,2.4885380283295717
28,0.56,0.56,0.6835563911252822,2.6635355815757684
29,0.58,0.58,0.7011671953371302,2.8825396669488312
30,0.6,0.6,0.7088141789086844,2.9620812362329145
31,0.62,0.62,0.7249006245357541,3.171800646449287
32,0.64,0.64,0.7319072415718597,3.30546785603321
33,0.66,0.66,0.7435611122080901,3.4461382893824517
34,0.68,0.68,0.7581764103528602,3.6518428076230625
35,0.7000000000000001,0.7000000000000001,0.7622005638495425,3.7691374191208307
36,0.72,0.72,0.7714896042420285,3.8866684417166186
37,0.74,0.74,0.772452918127402,3.9471770801154498
38,0.76,0.76,0.7772714215817967,4.069796282202292
39,0.78,0.78,0.7868927058863264,4.122631383911677
40,0.8,0.8,0.7999729750993724,4.33504038375823
41,0.8200000000000001,0.8200000000000001,0.8079829823390194,4.531725240402958
42,0.84,0.84,0.8138216964941156,4.677384736017029
43,0.86,0.86,0.8173079790884958,4.761563566145332
44,0.88,0.88,0.8204962299900952,4.8995876926937685
45,0.9,0.9,0.8357253107624879,5.01621766926032
46,0.92,0.92,0.8415206192312327,5.109356604169515
47,0.9400000000000001,0.9400000000000001,0.8508212628734871,5.177841958080729
48,0.96,0.96,0.8552942258870728,5.261548365718681
49,0.98,0.98,0.8711919241291917,5.4213626579148455
50,1.0,1.0,0.8794667984079989,5.440028706113477
51,1.02,1.02,0.8759205769177855,5.545144903339978
52,1.04,1.04,0.8783524175164895,5.5621009849760865
53,1.06,1.06,0.8832064480224696,5.740882575876478
54,1.08,1.08,0.8890096396590343,5.783714611140799
55,1.1,1.1,0.893166824339269,5.942915723278621
56,1.12,1.12,0.893198939879043,6.015363107217227
57,1.1400000000000001,1.1400000000000001,0.9049374826247515,6.137925892243033
58,1.16,1.16,0.9062656916807303,6.296242776020502
59,1.18,1.18,0.9135208863879016,6.3054072092837865
60,1.2,1.2,0.9287493658450504,6.423793745501455
61,1.22,1.22,0.9378549217254434,6.495415738027072
62,1.24,1.24,0.9439886486022968,6.597990710128129
63,1.26,1.26,0.9427523092902531,6.677256535699593
64,1.28,1.28,0.9440844156719743,6.6336192023516185
65,1.3,1.3,0.9522389999872994,6.703417373214887
66,1.32,1.32,0.9450923712379944,6.7745841175992325
67,1.34,1.34,0.9425873606546722,6.834645609809645
68,1.36,1.36,0.9453433237155476,6.996911666219771
69,1.3800000000000001,1.3800000000000001,0.9493719180066326,6.974244123317867
70,1.4000000000000001,1.4000000000000001,0.9506844298470657,7.076015046159811
71,1.42,1.42,0.9624271598779416,7.083470092578285
72,1.44,1.44,0.9673042187375231,6.999575676632053
73,1.46,1.46,0.9716480596107081,6.903184793124454
74,1.48,1.48,0.9746979089066609,6.777502909292242
75,1.5,1.5,0.9744086651366557,6.745523783415445
76,1.52,1.52,0.9719431928478174,6.653510258237987
77,1.54,1.54,0.9721297992399852,6.662920088548387
78,1.56,1.56,0.972006897794342,6.710899843214172
79,1.58,1.58,0.9772506298920659,6.757023003787205
80,1.6,1.6,0.9756184551285059,6.672879499416048
81,1.62,1.62,0.9740884365709015,6.8379019495551105
82,1.6400000000000001,1.6400000000000001,0.9729748299239618,6.934595665794165
83,1.6600000000000001,1.6600000000000001,0.9809864197744114,6.969674355827898
84,1.68,1.68,0.9800805258879818,6.962792243917822
85,1.7,1.7,0.9818547739449237,6.8386454626381745
86,1.72,1.72,0.9839853739592155,6.854542274654369
87,1.74,1.74,0.9851596271287542,6.848686940558655
88,1.76,1.76,0.9866471901545131,6.739026988128784
