step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9493883553907615,1.0014285084913375
2,0.04,0.04,0.9036071264661568,1.0057325823394112
3,0.06,0.06,0.8618175525257399,1.012668743503296
4,0.08,0.08,0.8239683145836213,1.0221651288818379
5,0.1,0.1,0.7897791961830388,1.0345050425369704
6,0.12,0.12,0.7595508602050532,1.0494505448747347
7,0.14,0.14,0.7293607672243769,1.0679792442397162
8,0.16,0.16,0.70736460416094,1.0881636350183947
9,0.18,0.18,0.6861470933675416,1.111454172293179
10,0.2,0.2,0.6695660857816076,1.136869044550185
11,0.22,0.22,0.6503447192536703,1.1670922233392824
12,0.24,0.24,0.637063489793306,1.2007513704928507
13,0.26,0.26,0.6242879283315639,1.237919246076
14,0.28,0.28,0.612057858925668,1.278517838361853
15,0.3,0.3,0.6034050867531316,1.3231917979364634
16,0.32,0.32,0.5975434265040728,1.3717120157089553
17,0.34,0.34,0.5926249924298878,1.4247577604970103
18,0.36,0.36,0.5972987845928234,1.4767102950501894
19,0.38,0.38,0.6036701636846228,1.536494719336884
20,0.4,0.4,0.601718543213493,1.6071445584438493
21,0.42,0.42,0.6026452598642529,1.6710269732767262
22,0.44,0.44,0.6034420383725903,1.7493875774238214
23,0.46,0.46,0.6077553847984641,1.8270702725697807
24,0.48,0.48,0.6150482493619461,1.903614649205488
25,0.5,0.5,0.6212541741651847,1.9843802012622178
26,0.52,0.52,0.6257912900814514,2.0977749775112984
27,0.54,0.54,0.6288800424328028,2.215004010903659
28,0.56,0.56,0.6327716028520841,2.3337002180065163
29,0.58,0.58,0.6374854786372467,2.4627790944836105
30,0.6,0.6,0.6388012051151655,2.5938121482190617
31,0.62,0.62,0.6484496315833254,2.759549296010289
32,0.64,0.64,0.664649443957436,2.902262356698234
33,0.66,0.66,0.6712227435899191,3.031203780418601
34,0.68,0.68,0.6824108352474958,3.1736582628478276
35,0.7000000000000001,0.7000000000000001,0.6875299254036706,3.2671515483935023
36,0.72,0.72,0.6942419327946792,3.416849976358117
37,0.74,0.74,0.7080349943334471,3.64782276838533
38,0.76,0.76,0.7200148663655405,3.763955080217919
39,0.78,0.78,0.7357376673910011,3.973390354764615
40,0.8,0.8,0.7459146968934509,4.153500615990876
41,0.8200000000000001,0.8200000000000001,0.7517906686991761,4.350860252425998
42,0.84,0.84,0.7554995436456521,4.581948043228915
43,0.86,0.86,0.7636561694775049,4.797030470961439
44,0.88,0.88,0.7754085930966155,5.053381211782878
45,0.9,0.9,0.7824331073925858,5.3315545757560105
46,0.92,0.92,0.7912146690716155,5.606383084993407
47,0.9400000000000001,0.9400000000000001,0.8058770505382978,5.815969730633296
48,0.96,0.96,0.8134597069899451,6.031634372872825
