step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9465434259329552,0.9925926442135226
2,0.04,0.04,0.8974017776465993,0.9809385199991421
3,0.06,0.06,0.8491390336543584,0.9832147741799037
4,0.08,0.08,0.8096423110110296,1.006098524267575
5,0.1,0.1,0.7740907211114721,1.0291378549907462
6,0.12,0.12,0.7544928798560897,1.0340790915200868
7,0.14,0.14,0.7241995928925516,1.0626677026080538
8,0.16,0.16,0.6965748065987686,1.0908154881919214
9,0.18,0.18,0.6702686091573539,1.0981032087470504
10,0.2,0.2,0.646378672152528,1.1482031249434383
11,0.22,0.22,0.6300706696692248,1.173484442740747
12,0.24,0.24,0.6192659233004784,1.2085505788993474
13,0.26,0.26,0.6099617032029897,1.2465366519481142
14,0.28,0.28,0.601045725376295,1.265164654878342
15,0.3,0.3,0.5892057977404296,1.38066109299672
16,0.32,0.32,0.5848365655039482,1.4749030195758543
17,0.34,0.34,0.5756668533800611,1.5883515697760568
18,0.36,0.36,0.5665268268811687,1.6014631249659572
19,0.38,0.38,0.5636451959813676,1.5667751918563253
20,0.4,0.4,0.5532198143630086,1.5738914178509043
21,0.42,0.42,0.5500419644004714,1.6460907131962288
22,0.44,0.44,0.542387543649127,1.7187586219745337
23,0.46,0.46,0.5397100062406459,1.7891572800771107
24,0.48,0.48,0.5362213789298376,2.07923821088073
25,0.5,0.5,0.5423736959694512,2.113460449268868
26,0.52,0.52,0.5414962535475104,2.0144656151200375
27,0.54,0.54,0.5378160086274335,4.507750523073515
28,0.56,0.56,0.538548145542309,2.4362772675287503
29,0.58,0.58,0.5399697496926998,2.3292064852449115
30,0.6,0.6,0.5375125335170544,2.491275660278008
31,0.62,0.62,0.541286689257419,2.160658980723887
32,0.64,0.64,0.5397608586749522,2.217930291906123
33,0.66,0.66,0.5413409558585985,2.1176985475206207
34,0.68,0.68,0.5447304701972103,3.2013670825489493
35,0.7000000000000001,0.7000000000000001,0.5494029105819174,2.381165404486707
36,0.72,0.72,0.5535876453559595,2.505364394648653
37,0.74,0.74,0.5589905541375567,2.436377766464685
38,0.76,0.76,0.5625934077722219,2.7142625050052698
39,0.78,0.78,0.5663284033000431,2.706573985278966
40,0.8,0.8,0.5727534324612644,2.953054695547329
41,0.8200000000000001,0.8200000000000001,0.5785541260136997,3.5361968723908506
42,0.84,0.84,0.5795730507563234,3.800349949753181
43,0.86,0.86,0.5887589612149084,3.2280780819923445
44,0.88,0.88,0.5960582670617043,2.817571803517649
45,0.9,0.9,0.6002559202147889,2.9580966535012516
46,0.92,0.92,0.6093407868684521,3.073361773880773
47,0.9400000000000001,0.9400000000000001,0.6145858601871802,2.9522736601620334
48,0.96,0.96,0.6192897234767404,2.9766432684059954
49,0.98,0.98,0.6281069850665728,3.155490663651532
50,1.0,1.0,0.6325550755793726,3.245848313378468
51,1.02,1.02,0.6357061815041607,3.1825183116301714
52,1.04,1.04,0.64031234383765,3.2435306227825076
53,1.06,1.06,0.6504150370163988,3.5129520045653635
54,1.08,1.08,0.6546170642422026,3.7143285069991405
55,1.1,1.1,0.6632305056276984,3.632333381724263
