step,t,t_T1,Xi2_KU,Xi2_W
0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.9491305768756145,1.0013950599722306
2,0.04,0.04,0.903729468329862,1.0055534668403505
3,0.06,0.06,0.8645647492425691,1.0123381846153148
4,0.08,0.08,0.8278381841930043,1.021739425976449
5,0.1,0.1,0.798283444674402,1.0334258855252798
6,0.12,0.12,0.7670340872629466,1.0482155298558284
7,0.14,0.14,0.7407195499744438,1.065639851601639
8,0.16,0.16,0.7178152259629583,1.085605161359023
9,0.18,0.18,0.6989179498906261,1.1083401657227803
10,0.2,0.2,0.6821261718362466,1.1336908084218837
11,0.22,0.22,0.669872824570743,1.1611305642061105
12,0.24,0.24,0.6564019925903,1.191498902930168
13,0.26,0.26,0.641253613845496,1.2278078863762834
14,0.28,0.28,0.6335054798843353,1.2641549307271738
15,0.3,0.3,0.6299332363946253,1.3042269197830807
16,0.32,0.32,0.6193949844550463,1.3509558171555889
17,0.34,0.34,0.611707226380609,1.4025543107765401
18,0.36,0.36,0.6061457825924298,1.458087440135827
19,0.38,0.38,0.6028668556194721,1.5208370173078014
20,0.4,0.4,0.5997285843011027,1.5894539262879133
21,0.42,0.42,0.6048841746464677,1.6605431852365777
22,0.44,0.44,0.6088980346150386,1.740436426966667
23,0.46,0.46,0.6072575864819569,1.8286117610229764
24,0.48,0.48,0.6050396183245281,1.9265181720911158
25,0.5,0.5,0.6134497109571222,2.0179451955240837
26,0.52,0.52,0.6160551837107073,2.115532200010129
27,0.54,0.54,0.6226050033460999,2.2267668700551395
28,0.56,0.56,0.6335133975845395,2.31980502116188
29,0.58,0.58,0.6369084900063696,2.4690538815335485
30,0.6,0.6,0.6470442296254728,2.5898224021614116
31,0.62,0.62,0.6517733591408584,2.7211327198892383
32,0.64,0.64,0.6625429327161855,2.856138431095999
33,0.66,0.66,0.6715913337997418,3.061169038491138
34,0.68,0.68,0.682997995811235,3.26349587904525
35,0.7000000000000001,0.7000000000000001,0.6885636259029271,3.4579093267410745
36,0.72,0.72,0.7060125514842461,3.613565391666918
37,0.74,0.74,0.7087024888691847,3.773512525584526
38,0.76,0.76,0.7110680333942666,3.9647493516760313
39,0.78,0.78,0.7217041003698165,4.151285622026981
40,0.8,0.8,0.7323892749805502,4.361265304040263
41,0.8200000000000001,0.8200000000000001,0.7334549974585223,4.59576848606575
42,0.84,0.84,0.7422097015019573,4.77844614090658
43,0.86,0.86,0.7476826448738392,5.021942701390255
44,0.88,0.88,0.7570988604957205,5.17087030989391
45,0.9,0.9,0.7693846532744294,5.382039636565781
46,0.92,0.92,0.7789311946171681,5.592066340748134
47,0.9400000000000001,0.9400000000000001,0.7845181293265696,5.897401567967729
48,0.96,0.96,0.7972934230056421,6.191625302794116
49,0.98,0.98,0.8026012895559572,6.3841148856029735
50,1.0,1.0,0.8045039775005601,6.475033005670855
51,1.02,1.02,0.8077650198340376,6.697655628930593
52,1.04,1.04,0.8254421170716363,7.085722810376507
53,1.06,1.06,0.8240193973499759,7.228771323934219
54,1.08,1.08,0.8487073765642212,7.491569208055012
55,1.1,1.1,0.8542182754278145,7.684372573582717
56,1.12,1.12,0.8559956546419157,7.748351186523519
57,1.1400000000000001,1.1400000000000001,0.8609341590099677,7.891560429065961
58,1.16,1.16,0.8744336031577383,8.068828618251727
59,1.18,1.18,0.886771098808823,8.24457316506147
60,1.2,1.2,0.8833030555301497,8.65994966974825
61,1.22,1.22,0.8860378661682807,8.795441275318323
62,1.24,1.24,0.8927781678718554,8.8534194880548
63,1.26,1.26,0.8950788638552324,9.275565380635703
64,1.28,1.28,0.8986020063228137,9.362998467613432
65,1.3,1.3,0.9024116192386782,9.58246339189948
66,1.32,1.32,0.8977316842601611,9.67693697912901
67,1.34,1.34,0.898137043033937,9.845609284713209
68,1.36,1.36,0.903277904632718,10.252900303699073
69,1.3800000000000001,1.3800000000000001,0.902326677087118,10.934536806395887
70,1.4000000000000001,1.4000000000000001,0.9128720580836063,10.674355299407644
71,1.42,1.42,0.9168725628156568,10.711862976599335
72,1.44,1.44,0.9184099714964704,11.170742280257612
73,1.46,1.46,0.9233516763566714,11.500901003430979
74,1.48,1.48,0.9326317515863274,11.46642838228853
75,1.5,1.5,0.9382908800757146,11.710749500974861
76,1.52,1.52,0.9470007913315619,11.289604415846272
77,1.54,1.54,0.9498935892613279,11.166313582145223
78,1.56,1.56,0.9568914568570708,11.062968693593213
79,1.58,1.58,0.9565916962131732,11.299403951060095
80,1.6,1.6,0.9567696623605542,11.208393151517917
81,1.62,1.62,0.9564978339479393,11.785211186909446
82,1.6400000000000001,1.6400000000000001,0.9506515305182767,12.296395485711953
83,1.6600000000000001,1.6600000000000001,0.9616461030700996,11.679996742098254
84,1.68,1.68,0.9601043846363051,11.89688815725942
85,1.7,1.7,0.9627544404145977,11.626956392717984
86,1.72,1.72,0.9746495954668984,10.96249319538024
87,1.74,1.74,0.9796672481507777,10.991991619229328
88,1.76,1.76,0.9840218169277621,10.30216019234442
89,1.78,1.78,0.9836093795805333,10.332541963816347
90,1.8,1.8,0.9860429801807621,10.177660044027117
91,1.82,1.82,0.9870255433922174,10.150802798458756
92,1.84,1.84,0.9882587732277396,10.194948486707371
93,1.86,1.86,0.9872396280319145,10.358284870987418
94,1.8800000000000001,1.8800000000000001,0.9900560444277153,9.857770227303375
95,1.9000000000000001,1.9000000000000001,0.9841090028849364,10.907272842595468
96,1.92,1.92,0.9864390695343743,10.824198754193619
97,1.94,1.94,0.9877483658416105,11.660610097416194
98,1.96,1.96,0.9842572496558263,11.966972729821892
99,1.98,1.98,0.9925963421523566,10.110218701143852
100,2.0,2.0,0.9908555026315419,10.740331283487581
101,2.02,2.02,0.9932938653533262,10.042261425602057
102,2.04,2.04,0.9896528314824447,10.21164873679445
103,2.06,2.06,0.9843463446329346,11.311337526202474
104,2.08,2.08,0.9937829493791378,10.62465789332589
105,2.1,2.1,0.9951358091476249,9.939210993884004
106,2.12,2.12,0.9969244122896616,8.729574124377967
107,2.14,2.14,0.9970746533566738,8.824836621938916
108,2.16,2.16,0.9967627542390042,9.283509087590263
109,2.18,2.18,0.9971057592598299,9.16381721475752
110,2.2,2.2,0.9970214227160242,9.439676369163621
111,2.22,2.22,0.9974022837031533,9.244939447172353
112,2.24,2.24,0.9969436322249645,9.878645933848444
113,2.2600000000000002,2.2600000000000002,0.9956362647526561,11.49268646041802
114,2.2800000000000002,2.2800000000000002,0.9964774000688643,10.782132319916974
115,2.3000000000000003,2.3000000000000003,0.9956303542828411,12.111570823802719
116,2.32,2.32,0.9965862659231058,11.168101925074057
117,2.34,2.34,0.9964098490685369,11.78902875767641
118,2.36,2.36,0.9952968551625516,12.616670151953185
119,2.38,2.38,0.9921624070812046,12.703078737138785
120,2.4,2.4,0.9979798586388143,10.15082355922126
121,2.42,2.42,0.9980646322241299,10.235560596780042
122,2.44,2.44,0.9926067813739836,13.69501925495013
123,2.46,2.46,0.9916364060623576,16.59005636866511
124,2.48,2.48,0.9975806750560795,11.915360675528028
125,2.5,2.5,0.9984338834588332,10.265991710754578
126,2.52,2.52,0.992475412054977,14.92503353149606
127,2.54,2.54,0.9975203354529295,12.671621242089131
128,2.56,2.56,0.9993359495554628,8.319370938850838
129,2.58,2.58,0.9992300078683486,8.784558151498652
130,2.6,2.6,0.9994640506589155,8.164356580789434
131,2.62,2.62,0.9995505101533861,7.9697808928834695
132,2.64,2.64,0.9993445492055131,8.846068216128957
133,2.66,2.66,0.9991839129016401,9.593997762858812
134,2.68,2.68,0.9992051380935876,9.698702524452392
135,2.7,2.7,0.9981224303703021,13.84979965634953
136,2.72,2.72,0.9993982694265777,9.205168152390037
137,2.74,2.74,0.9953897913467056,20.210242157954987
138,2.7600000000000002,2.7600000000000002,0.9986341203819119,12.93852439271919
139,2.7800000000000002,2.7800000000000002,0.9996143522308145,8.51535540041122
140,2.8000000000000003,2.8000000000000003,0.9990285784802162,11.714534867322943
141,2.82,2.82,0.9994875470276375,9.502534529024143
142,2.84,2.84,0.9970467515828867,20.73683085553122
143,2.86,2.86,0.9933645190107536,23.290695353248843
144,2.88,2.88,0.9989446323971454,13.565126243042316
145,2.9,2.9,0.9958733548620211,26.00434714588768
146,2.92,2.92,0.9971678629196836,23.447463141629875
147,2.94,2.94,0.9993125240255261,12.098599822613572
148,2.96,2.96,0.995251727251653,30.132848915673705
149,2.98,2.98,0.9977634707532722,23.9797765069904
150,3.0,3.0,0.9951769670773218,37.92185559846438
151,3.02,3.02,0.9894986505167634,59.837047107501704
152,3.04,3.04,0.9959818184870224,36.00019738298712
153,3.06,3.06,0.9920260747653338,55.5170654446378
154,3.08,3.08,0.993275739976629,35.327544219437
155,3.1,3.1,0.999522554318133,12.369123402391972
156,3.12,3.12,0.9936911961095731,40.71141239107371
157,3.14,3.14,0.9993574264375178,15.236941272438118
158,3.16,3.16,0.9994055961548212,15.059878323635147
159,3.18,3.18,0.9991250205053633,19.602741743648927
160,3.2,3.2,0.9883258005601985,87.72586214644426
161,3.22,3.22,0.9997007846600582,11.65144146704473
162,3.24,3.24,0.9998347353691956,9.46305916841056
163,3.2600000000000002,3.2600000000000002,0.9995627719618043,14.846334182884597
164,3.2800000000000002,3.2800000000000002,0.9998147331189469,10.237742310387192
165,3.3000000000000003,3.3000000000000003,0.9997687459304601,11.502655454206979
166,3.3200000000000003,3.3200000000000003,0.99874516928804,32.52994117432659
167,3.34,3.34,0.9998943059338301,8.984849268705894
168,3.36,3.36,0.9999285605552053,8.235727255054549
169,3.38,3.38,0.9999563978071526,7.590476745705156
170,3.4,3.4,0.9999621426513791,7.519506464788187
171,3.42,3.42,0.999967459683237,7.409899880222777
172,3.44,3.44,0.9999697052229599,7.398051100529063
173,3.46,3.46,0.9999691856745372,7.494172463123058
174,3.48,3.48,0.9999707151825887,7.525598010807154
175,3.5,3.5,0.9999772909595691,7.364360237385405
176,3.52,3.52,0.9999763554459369,7.469169891549115
177,3.54,3.54,0.9999814239685659,7.337872970297096
178,3.56,3.56,0.9999810865471263,7.44438040713879
179,3.58,3.58,0.9999819497675732,7.46797209647028
180,3.6,3.6,0.9999756923400169,7.832671348112686
181,3.62,3.62,0.9999651845465984,8.396552739206184
182,3.64,3.64,0.9999735534817069,8.068305889593494
183,3.66,3.66,0.999965919776145,8.581416053605174
184,3.68,3.68,0.9998209761264412,17.477067131949035
185,3.7,3.7,0.9968078324012235,153.18649346935558
186,3.72,3.72,0.9999510424865086,9.983698373178264
187,3.74,3.74,0.999941731173193,10.839034093756862
188,3.7600000000000002,3.7600000000000002,0.999942126320266,11.047353158590216
189,3.7800000000000002,3.7800000000000002,0.9999632121645593,9.636020161408053
