traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.0007612479486601339,0.0005871803067256676,0.7071065373897176,0.7071063714191447,0.5001546748210265,0.000953461360130286,1.728679424258461e-05,0.9999995377108896,0.00012325009811037227
2,0.00018086310353183804,0.0001465900766440523,0.7071067659917766,0.7071067580560502,0.5000364323360581,0.00023150410400956097,8.297475912251987e-07,0.9999999728995989,2.4616307936160775e-05
3,0.00466324542517497,0.004655977430876377,0.7070914522706117,0.7070914043760452,0.5009403929626357,5.162372804820735e-06,0.9999782877602279,4.977339719568957e-06,0.006589685629700644
4,0.0011469497110571654,0.0008428714818402248,0.7071062788348476,0.7071058509914625,0.5002326214059711,0.00021608211749959408,4.445395223249905e-05,0.9999989860484221,0.001406852690614957
5,0.7071067085374468,0.7071067084888498,0.000320640092226358,0.00032053290344175104,0.5000667773722629,3.362060489066527e-11,1.113596967044509e-05,0.0004532409967238459,0.9999998972242935
6,0.7043827979336069,0.7043524229777587,0.062351196194733206,0.06200704778667123,0.5166235855828388,2.1677417608319977e-05,0.0781137192789658,0.040383071979971666,0.9961262238732336
7,0.7071012857976593,0.7071012554895122,0.002795440064949561,0.0027877631352268904,0.5006696631012834,2.1728200272734632e-08,0.0008191687682208316,0.003862003493528565,0.9999922069154076
8,0.7066878655493951,0.7066878391037,0.0243371745060952,0.024336559563829647,0.5049080825131542,1.4999400577376563e-08,0.03441746753673433,6.420826891895254e-05,0.9994075413992285
9,0.7071067798222705,0.7071067798220622,4.392807306630101e-05,4.3924718490643454e-05,0.5000089503383572,0.9999999980704738,3.503683526065291e-07,6.212031664293131e-05,1.4821711110424664e-13
10,0.028872025129019246,0.028711703372320423,0.7065236288260034,0.7065170954513086,0.5058337850609884,0.0001141523747796049,0.9991704461955455,0.0006809580107651017,0.04071784270840202
11,0.0036513097324639312,0.002473078259942133,0.7071024564261705,0.7070973539318716,0.5007432715643801,0.004330178365816493,0.0005330245572542709,0.9999901338044294,0.0008353047048022971
12,0.707104142060173,0.7071041371360595,0.001933712767970489,0.0019319113196001388,0.5004171025197197,3.4682319765654872e-09,0.002726814013576623,0.0001897676241443514,0.9999962642298145
13,0.7071067082333233,0.7071067019833149,0.00033467936861719395,0.0003325988783951918,0.5000935208129458,0.9999998886838475,0.00026204331883649247,0.00039238449605062073,7.086853841448571e-10
14,0.0018623685413694767,0.0018376024070118119,0.7071043934366368,0.7071043286414465,0.5003772108119217,1.7556752080788393e-05,0.9999965773715427,6.787163627354836e-06,0.0026162742395231804
15,0.0041227539632974495,0.00410198765777341,0.7070948830936749,0.7070947623195638,0.5008341158100049,1.4714735006453045e-05,1.2567185789062806e-05,0.9999830880765357,0.005815770496072203
16,0.006556454995815278,0.0057923972961428215,0.707083056036255,0.7070763840617886,0.5013318331160713,0.0005417500358366353,0.0006969332603546961,0.9999614869161185,0.008731865519302552
17,0.7071064578534764,0.707106457805424,0.0006762616835131485,0.0006762114375414295,0.5001375398709736,3.430078984418433e-11,5.250701815097508e-06,0.0009563285016040951,0.9999995427040077
18,0.7071067483606699,0.7071067430018712,0.00023238177097049788,0.00023210640287343596,0.5000510769557823,6.412634332941725e-11,2.8799307191588762e-05,0.0003271777340216098,0.9999999460626656
19,0.06119217178528929,0.060999065207444796,0.7044708042522639,0.7044540567788742,0.5122255707572213,0.08640225152745726,0.9962587970197937,0.0017439944721037433,0.00013702178100282199
20,0.7065349968122243,0.7065349217292779,0.028432583800498054,0.028430587042203557,0.5057674082220944,0.9991913179661285,0.04020779721836928,0.00020771129760774765,5.71302577840538e-08
21,0.13732970189290863,0.137292437397851,0.6936503345586712,0.6936429578522398,0.5265683951255429,2.6283955712516016e-05,0.0007701312937022307,0.9809641922665432,0.19418717696540025
22,0.002139387886321053,0.00021352301537777373,0.7071067489480797,0.7071035447651727,0.5004364956036021,0.0016799415713969002,0.0003361407690249696,0.9999976322155864,0.001341778268912489
23,0.7070890516101326,0.707088829969373,0.005038504988811736,0.005007303971429237,0.5014081361306307,1.5851414428524873e-07,0.0038626412743743687,0.005961512221749724,0.9999747698688947
24,0.020377030192262263,0.013272928933195389,0.7069821987557559,0.7068131129517422,0.5043057254114751,0.00501217171896842,0.0176375202659568,0.9995486600846023,0.02379647319628681
25,0.0013537971801673343,0.0012665704637507284,0.707105646844416,0.7071054852235235,0.5002743031636852,6.171586511038715e-05,1.6873858142456457e-05,0.9999982813723871,0.0018528784894505195
26,0.05979044696521522,0.02926820450674376,0.7065007941998256,0.7045744122885337,0.5154591446382382,0.021457044220563225,0.20591195788458622,0.9763036106953891,0.06301682788482443
27,0.0016862648623432092,0.0016368902804020243,0.7071048865551768,0.7071047705332029,0.5003423604228282,3.474303160159477e-05,1.208755317987159e-05,0.9999972384736441,0.0023498280570720727
28,0.7065754038164247,0.7065750622209628,0.027416809578222043,0.027408140517806965,0.5056497929559141,2.3642585994301723e-07,0.03875642967345661,0.0009092706190966738,0.9992482736466769
29,0.033106691755836255,0.032017139095478354,0.7063815561041827,0.7063313294488712,0.5067355767072202,0.04604952028176186,0.0052431974966189905,0.9989251016193299,0.0007693612251524133
30,0.01897070613687754,0.016950435560503366,0.706903588004979,0.7068522563511219,0.5038935392083748,0.0014250240351292324,0.9996620152391901,0.005352600387371531,0.025400280776437186
