traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg,best_state,best_fidelity
1,0.5700820885945621,0.32290087010084983,0.6290747396678033,0.41833767731781246,0.836617003970667,0.174501084772165,0.534201011021028,0.534201011021028,0.6315124156036538,plusplus,0.836617003970667
2,0.5336193932386593,0.11515746767562791,0.6976666522333835,0.4639508042693742,0.8592757488112599,0.2958139660180552,0.5924479329108746,0.5924479329108746,0.4588082290978806,plusplus,0.8592757488112599
3,0.5803026075780805,0.36173526081007557,0.6075751814275065,0.40404069552222227,0.8287478964100936,0.1546506571115558,0.515944030261398,0.515944030261398,0.6660981080368096,plusplus,0.8287478964100936
4,0.5289131237808424,0.04421472021222863,0.7057230749497654,0.46930896805024847,0.8616129060459503,0.3428808068317106,0.5992895652391012,0.5992895652391012,0.40513798426892744,plusplus,0.8616129060459503
5,0.6615311886384959,0.5991234039989233,0.37556776589683893,0.24975285075157516,0.7242596116188189,0.8914146913462081,0.31892603628371385,0.31892603628371385,0.044183875032223326,ee,0.8914146913462081
6,0.5534627725766057,0.24908205573393424,0.6617840512125247,0.4400897174120497,0.847922774610329,0.5675468929566003,0.5619773526624893,0.5619773526624893,0.21506611654147814,plusplus,0.847922774610329
7,0.6519950932347566,0.5750012458411733,0.4115502001956729,0.27368302541042056,0.7425006693945237,0.867610034534072,0.3494824499734568,0.3494824499734568,0.05456062954995235,ee,0.867610034534072
8,0.6903190760703041,0.6685452403027801,0.2303199115762614,0.1531651827715445,0.6445209636575282,0.015329333094578537,0.19558480881952148,0.19558480881952148,0.9608632455583553,gg,0.9608632455583553
9,0.6756731700497005,0.6338079761098581,0.31350829242545436,0.20848445331723672,0.691435813581073,0.9259453332204401,0.26622661089240435,0.26622661089240435,0.029530038821079477,ee,0.9259453332204401
10,0.5366009515037454,0.1430984358191572,0.6924758751509761,0.46049909755098845,0.8576749881809163,0.4807123230296203,0.5880400736817964,0.5880400736817964,0.2780888454722348,plusplus,0.8576749881809163
