traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.08589423690843263,0.08472940524578108,0.7020120567958321,0.7018704866753812,0.5107966759669003,0.000826329126197793,0.18239093364837863,0.9757953962155818,0.12064911614910799
2,0.0038593190301240395,0.0020025246583249977,0.707103945608422,0.7070962492169147,0.5004286618884619,0.0013120103134001047,0.9999428639921345,0.009765464803861973,0.004145247558470902
3,0.7070675586269317,0.7070675498815407,0.007448483370097397,0.007447653143783763,0.5008863470851785,6.165283585667658e-09,0.010479965701697291,0.0010572420517450565,0.9999445247403154
4,0.18189544111298175,0.18182323512807716,0.6833303089777015,0.6833110920381104,0.5192092873709755,0.25718794244752896,0.9660536990155913,0.024384632213127626,5.0889417328004064e-05
5,0.7069038137893554,0.7069036565466552,0.01694757684656031,0.016941016795514827,0.5023871328771298,1.122156691026003e-07,0.009001242098167585,0.022208017735182006,0.999712849566792
6,0.000543116102542773,0.0003794045523486214,0.7071066794000644,0.7071065726076226,0.5000592281236725,0.0006524446062495037,0.00013550362622973068,0.9999997713579,0.00011506064035994207
7,0.0006170901057083993,3.9796215780922315e-05,0.7071067800666762,0.7071065119200991,0.5000672247170287,0.0004587022950762354,0.9999997507933824,0.00034063065828692933,0.00041470005485383263
8,0.0035019713816140303,0.0031850046232324543,0.7070996080790489,0.7070981093147096,0.5003813236360629,0.004728416087839416,0.0019053331357310526,0.9999869807390614,0.0002239180830508985
9,0.004794841466919318,0.0002977567358482582,0.7071067184951105,0.7070905242578948,0.5005426417622514,0.0031616089114136305,0.020582102290653624,0.9997766240023446,0.003617097297267787
10,0.7057744417475632,0.7057742660309189,0.0433899228911709,0.0433871503148302,0.5049616788971673,0.9981156595199833,0.061259283907414794,0.0035256710133220862,1.1817468411347566e-07
11,0.7071048622281841,0.7071048565755678,0.0016497900608116946,0.0016496253574690475,0.5001951165312281,2.671934861847047e-10,0.00232363187394662,0.00020929877958855825,0.9999972784607634
12,0.0587399559180978,0.05873104546713035,0.704663511399828,0.7046627687294422,0.506336720936539,0.08306454134098569,0.9965437231125551,0.0009433221859391948,6.326771778071075e-06
13,0.7070428931280992,0.7070428307747716,0.009509755517496742,0.00950551034713733,0.5013866167648375,3.997064241283595e-08,0.006010890570595969,0.012027442434300614,0.9999096008255178
14,0.7068560351596199,0.7068560115224543,0.018830267512280553,0.018829380192619257,0.5021231515733071,0.9996453748540078,0.001127942760494458,0.02660549338297073,1.6757975830266624e-08
15,0.7071065319603985,0.7071065318070744,0.0006001052810659131,0.0005999245914433492,0.5000807827338839,0.999999639982003,0.0008141822500449683,0.00023904628734490083,1.0920073206543202e-10
16,0.00286036818311729,0.0026425039195422627,0.7071018435650109,0.7071009958229865,0.5003119586019665,0.003891103967119932,0.0010785392756741021,0.999991836076639,0.0001544118675797291
17,0.7071067451755849,0.7071067451578493,0.00024166682065847084,0.00024161492146531298,0.5000308990815923,0.999999941609687,0.0003350812627773699,6.709075806238969e-05,1.2594154123252814e-11
18,0.05642705582625266,0.0563136381464381,0.7048608189981278,0.7048517485424379,0.5061391229482486,8.087246990325167e-05,0.011514467385167858,0.9967508106958729,0.07971970821320677
19,0.02579009625006363,0.01657414767968956,0.7069125105939402,0.7066363073997053,0.5038359363388354,0.006533875779769508,0.3789582261991073,0.9249058500008231,0.029952293697358804
20,0.7069578097635534,0.7069577973285504,0.014514571862869464,0.014513966181489906,0.5016322120710424,8.779097338863834e-09,0.02051184817264503,0.0007694772395552767,0.999789313800321
21,0.7071067801004255,0.7071067800998414,3.9202480162108406e-05,3.9191943207405454e-05,0.5000051892996176,0.9999999984635787,5.36806197877776e-05,1.3828735388062747e-05,4.1402620248642463e-13
22,0.0023265672352491425,0.0018043885590555456,0.7071044789717621,0.7071029536672145,0.5002545806312657,0.00037119276694966985,0.001936124889269549,0.999993791324346,0.0029207788519416593
23,0.7070884178501261,0.7070884047276003,0.005097832850932987,0.005096012382640821,0.5007082928205406,9.26888546727904e-09,0.0024557493863772797,0.0067769120498489405,0.9999740210415556
24,0.03510338854046211,0.03414105122492705,0.7062820885604201,0.7062349128391979,0.5040466928507711,0.0006804484123633291,0.9969964327446209,0.06000211520237864,0.048963213290427056
25,0.027567676549057164,0.027412218427618217,0.7065752403537057,0.7065691920892864,0.5030152560135379,0.00010942205149238377,0.9992146258714348,0.007663219637508323,0.038876657987171895
26,0.7071066958551222,0.7071067010338767,0.00034756807657124677,0.00034738573968425544,0.5000526702510731,6.294163017042364e-11,0.00040236963724306823,0.0002820976692783815,0.9999998792597834
27,0.029901627730013328,0.021132775613466773,0.7067909208541642,0.7064742689292681,0.504567634585021,0.036089651433183774,0.44973068278940526,0.8924133635366501,0.006183736613593618
28,0.7069016257861259,0.7069015972302384,0.017033475326705256,0.017032071538159516,0.5019738796581729,2.397824919860529e-08,0.001785684305357022,0.024021700067814976,0.9997098425329779
29,0.707106780408286,0.7071067804022113,9.251920199274375e-05,9.247276235679493e-05,0.5000138253619139,4.381503801402929e-12,0.0001104959192777858,7.001190140417156e-05,0.9999999914444961
30,0.7071066803944276,0.7071066803443201,0.00037764061884304,0.00037754678426290444,0.5000494232292158,3.475658158088213e-11,0.00012246890282400003,0.0005197647344217382,0.9999998574229859
31,0.7071038613491467,0.707103861155348,0.002032126767513974,0.002032059331724713,0.5002270239223209,1.362010531472901e-10,0.002872536163822955,8.567563495875503e-05,0.9999958705893116
32,0.013360398990001385,0.012684253854070819,0.7069930054138982,0.7069805511743862,0.5014795772778198,0.018416396952414645,0.01580257715992321,0.9997054006046583,0.0004763195331216015
