traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.00039175197035986166,0.00031622655688268316,0.707106710476413,0.7071066726671463,0.5002764135794177,5.367215787355653e-05,0.9999998732655803,2.6676864787626392e-08,0.0005005877955243284
2,0.7071067811674541,0.7071067811659065,5.402954691432996e-06,5.196490381801942e-06,0.5000038011891494,0.9999999999719037,1.4613415765122735e-07,7.494936723802644e-06,1.1045916458495807e-12
3,0.0005888823561607884,0.0005634476198595244,0.7071065566990445,0.7071065359742972,0.5004193478938982,1.8000263841156907e-05,1.431802988055773e-08,0.9999996678721196,0.0008148200048013633
4,2.0201897988286566e-05,1.733902735637468e-05,0.7071067809739431,0.7071067808979469,0.5000142655100864,2.036685407378195e-06,0.9999999996455946,5.40544910575689e-11,2.654449970418767e-05
5,8.604004396465503e-05,4.433602100069674e-05,0.707106779796599,0.7071067759519134,0.5000608379254394,9.21903023823574e-05,2.6956219642771014e-09,0.9999999953157128,2.948762571424673e-05
6,0.007017125892980906,0.006713080227208656,0.7070749143859215,0.7070719623519216,0.5049560065554447,0.00021435575581374913,2.094888916038988e-06,0.9999528461350902,0.009708735939597516
7,0.707100761356334,0.7070952582725788,0.004036796807533998,0.002919030633600124,0.5028642586713826,3.878011001445524e-06,0.000784615054115595,0.004919435691425167,0.9999875916813751
8,0.7071066002321256,0.7071062992555069,0.0008300624998547597,0.0005058736619210635,0.5005846657081662,2.18875013847953e-07,0.00094397495784709,0.0002319982638903668,0.9999995275439038
9,0.7071067807848881,0.7071067801214463,3.8810831682144787e-05,2.3833427839424547e-05,0.5000274186226458,0.9999999989628438,1.0758608839156407e-05,4.425568070070618e-05,4.653348333400398e-10
10,0.7071067661016517,0.7071067536940886,0.00019718064934167308,0.0001696580247690684,0.5001394598977374,0.9999999661679736,1.9250113317668437e-05,0.0002594098821953447,5.16198778552045e-09
11,0.707106761442003,0.7071067610948839,0.00016856424275362027,0.00016710177523202117,0.5001186922505696,0.9999999718315473,0.00023735172361207495,1.0327241507578813e-06,2.431109922557537e-10
12,2.4178112647429933e-06,1.4415703741181692e-07,0.707106781186535,0.7071067811824161,0.5000017139738018,1.8250004769998954e-06,0.99999999999707,2.888230740766745e-12,1.5924716080054993e-06
13,0.7071067611125639,0.7071067385195949,0.00024564238612969643,0.00016849005997846955,0.5001734519772825,1.5869350807134453e-08,5.487252992992237e-05,0.00029277651482680257,0.9999999556354587
14,0.7071067808425616,0.707106779594689,4.7447101787497174e-05,2.205604482152528e-05,0.5000335881105225,0.9999999986311515,1.798684615193967e-05,4.913420343008222e-05,8.769752901641551e-10
15,0.7071065876107111,0.7071065654822106,0.0005523150750538571,0.0005232184302568905,0.5003909069489172,0.9999997105952142,2.047875063390662e-05,0.0007605196175409987,1.5583407828602965e-08
16,0.0003995046491526536,0.0002863509691397852,0.7071067232059977,0.7071066683294924,0.5002828176179857,0.00048505029735279126,3.929543330314936e-08,0.9999998791995713,7.954275445700142e-05
17,0.7071067811690763,0.7071067800171094,4.0667432042556945e-05,4.971190899279141e-06,0.5000287766987168,0.9999999991607285,3.213538054296879e-05,2.5413974212067793e-05,8.064215538603324e-10
