traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.707103298401093,0.7071032980816854,0.002219729154184019,0.002219016623247039,0.5003028826509791,2.238409212720136e-10,0.0022193729173155363,0.0022193729173051384,0.9999950743717203
2,0.7069106342224496,0.7069106214977583,0.016650400515382555,0.016658332691501396,0.49931067124515655,0.9997225935801488,0.016654367075535595,0.016654367075836653,1.2609953999289333e-08
3,0.7009846623922442,0.7009841036639343,0.09286469020750737,0.09283289395487603,0.5125722886146843,0.9913416177647727,0.09284879344207099,0.09284879344248485,3.924630504260955e-07
4,0.7070741352024135,0.7070741322081865,0.006795259944735,0.006794360314540191,0.5008189994375821,0.9999538294892426,0.006794810144504294,0.006794810144548571,2.148874489252291e-09
5,0.011526751481238549,0.009328461180991348,0.7069750155398654,0.70708305114371,0.5010389734478115,0.014746580945678493,0.7070290354084989,0.7070290354020967,0.001557092845031957
6,0.707051220076346,0.7070512097119134,0.008863863791273716,0.008865573989162621,0.5007782977037317,3.5975764383515285e-09,0.008864718931418275,0.008864718931501698,0.9999214136703617
7,0.014263025713164573,0.012553570979761347,0.7071755812774744,0.706782619481653,0.502333311204151,0.018962123066838574,0.7069791276822813,0.7069791276820566,0.0012099307068998938
8,0.007161226369069351,0.0023304561474778193,0.7072210599306326,0.7069523733616105,0.5011147646221227,0.0067143420817080395,0.7070867294098517,0.707086729407009,0.003410542387095628
9,0.7071060153217545,0.7071060152510205,0.00104460312463303,0.0010440292899478209,0.5001600422387465,4.967597088804138e-11,0.0010443162467049533,0.0010443162467040914,0.9999989094030258
10,0.7070913051453435,0.7070913037257511,0.004678681775569875,0.004678067989495182,0.5005639180554701,0.9999781125688342,0.004678374892583025,0.004678374892613669,1.0078501875371616e-09
11,0.011148650393700532,0.00885703314855647,0.7070526382531024,0.7070175579839202,0.5012873842130906,0.001626327395417004,0.7070350983335141,0.7070350983386446,0.014145476343994335
12,0.7064099964308597,0.7064099324888808,0.03137984652579829,0.03138836497211001,0.5024303202042255,0.9990145523346448,0.03138410603812942,0.03138410603780977,4.605730018048889e-08
13,0.6734516628803396,0.6734484991224607,0.21559982135032227,0.21551495035639232,0.4699990469711648,0.9524022381334567,0.21555739002746757,0.21555739003327018,2.2298905841181625e-06
14,0.7070987597422039,0.7070987537376805,0.003369976009382544,0.00336855248532554,0.5004845818270546,5.278062197792173e-10,0.003369264322528592,0.0033692643225402674,0.9999886479934901
