traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.35458119558948004,0.35453278612044353,0.6118059361968324,0.611777881043718,0.5246699547094698,0.5014193051023733,0.6117919087810921,0.6117919087810921,3.42146521419788e-05
2,0.058067852239436835,0.05767430889796542,0.7047507886431514,0.7047184718285032,0.504778221029164,0.00027742912994928407,0.7047346304210703,0.7047346304210703,0.08184206988851675
3,0.7067688705337662,0.7067688448044127,0.021858807397761013,0.02185780511444251,0.5017926722702525,0.999522100253276,0.02185830626184656,0.02185830626184656,2.2175460731900268e-08
4,0.009139881260267503,0.006139037425140489,0.7070801313991896,0.7070477088372858,0.5007741749937423,0.010802571178559135,0.7070639203040808,0.7070639203040808,0.002128300821423874
5,0.7070689888054613,0.7070689853387248,0.0073114582846596455,0.007311123019381955,0.5006010334677702,2.4527518970517596e-09,0.007311290653942535,0.007311290653942535,0.9999465436001802
6,0.7071066620078256,0.7071066619968936,0.0004105601193329771,0.0004105412909288363,0.5000337718882598,7.764368324792347e-12,0.00041055070523884375,0.00041055070523884375,0.9999998314481052
7,0.011594995344215648,0.009412647743615539,0.7070441302086127,0.7070117085897282,0.5009787567595068,0.014854777352705528,0.7070279195850122,0.7070279195850122,0.0015418963581642715
8,0.014113846146639533,0.012383878304034018,0.7069983306635377,0.7069659110241666,0.5011837905849206,0.018736667440546806,0.7069821210296832,0.7069821210296832,0.0012240841282391897
9,0.00948358620492958,0.006639995983142669,0.7070756044818237,0.7070431822687255,0.5008024332293098,0.0020106712598367297,0.7070593935611149,0.7070593935611149,0.011401103238167265
10,0.7070264578835682,0.7070264452470354,0.010658598469810474,0.010658109698675422,0.5008761931151603,5.16865603615288e-09,0.010658354087044712,0.010658354087044712,0.9998863930348839
11,0.7070806309616247,0.7070806285628862,0.006081505661723784,0.00608122676033357,0.5005001632741782,1.6932314654584944e-09,0.0060813662126275375,0.0060813662126275375,0.9999630163010911
12,0.7070941640465674,0.7070941628895657,0.0042243114827598535,0.004224117811448212,0.5003467883388315,0.9999821558513983,0.004224214648213961,0.004224214648213961,8.313028266556602e-10
13,0.70598347916902,0.7059833760642793,0.039843101295975174,0.03984127433208949,0.5032624362311919,7.377838145955068e-08,0.03984218782450427,0.03984218782450427,0.9984113381461104
14,0.7054464635740983,0.7054463111179459,0.04843038436852932,0.04842816361167824,0.50395918871703,0.9976518485118484,0.048429274002833075,0.048429274002833075,1.0826149742106136e-07
15,0.013159333382281571,0.011283890509581257,0.7070167422451609,0.7069843222766163,0.5011038168013706,0.001326589326654632,0.7070005324467187,0.7070005324467187,0.017283934761987915
16,0.01444882402415263,0.012764374094380936,0.7069915634248926,0.7069591441408154,0.5012094649203193,0.0011908779946932576,0.7069753539686827,0.7069753539686827,0.019242649799442613
17,0.008100837297395127,0.004446503233040266,0.7070928005636898,0.7070603767961295,0.500688652506815,0.008871658164844068,0.7070765888657632,0.7070765888657632,0.002586239997846515
18,0.7067066011206355,0.7067065644087417,0.023787219711278812,0.023786128993986046,0.5019538831694071,0.9994340339641671,0.02378667435888417,0.02378667435888417,2.573703903553963e-08
19,0.7049151268689481,0.7049149202584122,0.05563232151434444,0.05562977025677474,0.504540116650075,0.9969003829190161,0.05563104590018479,0.05563104590018479,1.4392973139250495e-07
20,0.023512075809319986,0.022516888215157738,0.7067481798668489,0.706715771927537,0.5019534533603339,0.0325474021801442,0.7067319760829557,0.7067319760829557,0.00070326032240166
21,0.6894822174337577,0.6894805801153405,0.15689655714455542,0.156889361789223,0.5124143338273037,1.174349789981299e-06,0.15689295950813803,0.15689295950813803,0.97507394515092
22,0.7066179867283513,0.7066179418853197,0.026288480476246233,0.026287275095881146,0.502155867336077,0.9993087085391946,0.026287877792972494,0.026287877792972494,3.180723103061068e-08
23,0.7070763223135943,0.7070763247886226,0.006563411740431132,0.006563110808342837,0.5005395573253141,0.9999569226735942,0.00656326127611174,0.00656326127611174,1.984030753754286e-09
24,0.7070540924895427,0.7070540876566156,0.008632330396259174,0.008631934533385562,0.5007105496071543,0.9999254835127167,0.008632132467091614,0.008632132467091614,3.3907800071199627e-09
25,0.011872589736429495,0.009752594818783511,0.7070395228658037,0.7070071015293646,0.5009998321952261,0.015291409477141658,0.7070233123834239,0.7070233123834239,0.0014980951075670573
26,0.6948676131785148,0.6948664861718673,0.13099837295466918,0.13099236678369588,0.5104712543685528,0.9826904019715358,0.1309953699036056,0.1309953699036056,8.109307076914632e-07
27,0.2903329015360875,0.29026722470419797,0.6447828613280745,0.644753292209594,0.5213789480277115,4.602170261925787e-05,0.6447680769383397,0.6447680769383397,0.41054628460657955
28,0.3230795891281434,0.3230234326918484,0.6290118151782047,0.6289829720181562,0.5231221295263183,0.4568638262131078,0.6289973937635087,0.6289973937635087,3.9690703775853825e-05
29,0.008538410610594564,0.005201232356319736,0.7070876516970236,0.7070552280722154,0.5007252726483937,0.009715157642701443,0.7070714400704728,0.7070714400704728,0.0023607171217334797
30,0.7071010741228183,0.707101073599401,0.0028410763057012626,0.002840946032027878,0.500233327529038,3.755365719248191e-10,0.002841011169611278,0.002841011169611278,0.999991928622961
31,0.2778703152280681,0.2778005313822289,0.6502513858222431,0.6502215683250213,0.5206357060100788,4.9249668872942706e-05,0.6502364772445477,0.6502364772445477,0.39291862375772524
32,0.02066423123400946,0.019524111924625817,0.7068371870947237,0.7068047747062164,0.50171957878921,0.0008059998332351787,0.7068209810862603,0.7068209810862603,0.028417455142535283
33,0.008274282875915149,0.004755172618468449,0.7070907921429646,0.7070583683423072,0.5007026411501089,0.0024922880851486855,0.7070745804284904,0.7070745804284904,0.00921216173559283
34,0.6860315898394234,0.6860296271493638,0.1713573981531035,0.17134954032885596,0.513517808160221,1.39925909677009e-06,0.1713534692860222,0.1713534692860222,0.9701937832852415
35,0.17345849418968326,0.17333421703411547,0.6855328217246534,0.6855013867603553,0.5136647812216121,8.801319447824785e-05,0.6855171044226891,0.6855171044226891,0.2452194758610052
36,0.10681038381936052,0.1066004044470012,0.6990252883635364,0.6989932345225884,0.5086389618576715,0.15090421510319202,0.6990092616267956,0.6990092616267956,0.00014894291828965024
37,0.7070800587072772,0.7070800562556783,0.006147686188021227,0.0061474042093340835,0.5005053846390674,1.7510188317447722e-09,0.006147545200294399,0.006147545200294399,0.9999622069738536
38,0.01043819301175149,0.007944135766468595,0.707062154769246,0.7070297335520301,0.5008827820950805,0.012997791061365296,0.7070459443464704,0.7070459443464704,0.001767086288712492
39,0.7071055773518178,0.7071055772413934,0.0013048502272535619,0.0013047903863433648,0.5001076583536634,7.650950025026502e-11,0.0013048203071415122,0.0013048203071415122,0.9999982974425168
40,0.008186944793992042,0.004601504719720794,0.7070918088581649,0.7070593850129828,0.5006967880392734,0.009043167630368797,0.7070755971214285,0.7070755971214285,0.0025339751290287317
41,0.16788023048586925,0.16775129970182576,0.6869203021081459,0.6868888033823304,0.5132601479744613,9.057652140282746e-05,0.6869045529257892,0.6869045529257892,0.2373273312021482
42,0.012341474223179945,0.01031831994133813,0.7070314931271358,0.7069990721450753,0.5010379046897824,0.0014320725012001605,0.7070152828219433,0.7070152828219433,0.01602276133394421
43,0.05456033026880244,0.05414096814638089,0.7050310316349018,0.7049987023824658,0.5044820989862102,0.00029658780721480315,0.7050148671939958,0.7050148671939958,0.07686342502478566
44,0.7071065657506282,0.707106560462027,0.0005587052548007985,0.0005586796314180798,0.5000459494959291,1.4525044208416347e-11,0.0005586924432563352,0.0005586924432563352,0.9999996878627053
45,0.009268256353237875,0.006328533660151431,0.7070784607536171,0.7070460376978028,0.5007852560166349,0.01102781337271134,0.7070622494115592,0.7070622494115592,0.0020828457296816053
46,0.007852058487790395,0.003975180287312411,0.7070956073556671,0.7070631832994141,0.5006680742248509,0.0027413504829657165,0.7070793955133967,0.7070793955133967,0.00836312611060374
47,0.7070013845737553,0.7070013801758501,0.012208844290067794,0.012208284514177574,0.501004291654326,6.78677481131489e-09,0.012208564405330977,0.012208564405330977,0.9998509398456823
48,0.020500643088135012,0.019350874499726247,0.7068419509735475,0.7068095384422652,0.5017079618410991,0.02817928757491027,0.706825744893697,0.706825744893697,0.0008126885638186252
