traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.7058088625877484,0.7058087434310646,0.04283495101764553,0.04281394819681309,0.5063263194586848,8.431953114184252e-08,0.04282445089475475,0.04282445089485944,0.9981643816582232
2,0.006828827743180553,0.0008828492197822617,0.7070714535565391,0.7071085823656512,0.500703905147003,0.00546697734625672,0.7070900182019119,0.7070900182076809,0.00418622371492951
3,0.7070806304509926,0.7070806333205966,0.006082656215760257,0.006080194703925041,0.5008661398239049,0.9999630155789385,0.006081425584393808,0.006081425584371272,1.7153928995474488e-09
4,0.015374519947021175,0.013803615678649435,0.7071484685761442,0.7067631340986907,0.5024944374849304,0.0011126145049023257,0.7069558275916552,0.7069558275909381,0.020631959634719376
5,0.006862146048386985,0.001110811688258016,0.7070400274589953,0.7071393615262698,0.49933199319596466,0.004069372378566571,0.7070896962446936,0.7070896962292582,0.005635881425360474
6,0.7071067017272851,0.7071067017199973,0.00033521904288093566,0.00033523606011183894,0.5000346372381714,5.190930484362363e-12,0.000335227551605727,0.00033522755160301013,0.9999998876224805
7,0.6906203702671321,0.6906188402610455,0.1517756494764237,0.15183304605579961,0.5090638306049736,1.0893397702972945e-06,0.15180435047964685,0.1518043504779272,0.9766836122052196
8,0.014366065527125976,0.01267060705062802,0.7068255655930584,0.7071284831643302,0.500651632487646,0.001196182081096613,0.706977040606775,0.7069770405982929,0.01911798290066097
9,0.007073325281721599,0.0020440862653234877,0.7070493081723025,0.7071259191925093,0.5006736591825002,0.0035524578635622002,0.7070876147169173,0.7070876147230438,0.006449051273539479
10,0.009645750856360309,0.006869535112435008,0.707069080407692,0.7070453199825099,0.5010965859573708,0.0019576853513623223,0.7070572002975232,0.7070572002922944,0.011678976423857294
11,0.006939941485347882,0.0015195780869182779,0.7069338164696959,0.7072440224045812,0.49955393460898895,0.0038285236874879653,0.7070889364417919,0.7070889364549819,0.0059845059068166055
12,0.32213083570311685,0.3220744240127989,0.6294149591068215,0.629552697824885,0.5236349092384096,3.9710595899289444e-05,0.6294838322301722,0.6294838322362614,0.4555219076367604
13,0.706971032247741,0.7069710250648705,0.013857403422706046,0.013853126030616813,0.5018718482995519,8.845302988569694e-09,0.013855264891692603,0.01385526489175898,0.9998080132053156
14,0.008579971891299427,0.005269184679739667,0.7069782363895364,0.7071636253704894,0.5006244912214538,0.002342674180988811,0.7070709369524071,0.7070709369595378,0.009792451281097642
15,0.7071009177435066,0.7071009119368571,0.002881610225774329,0.002880318972071168,0.5004205664099851,0.999991700008118,0.0028809646712610677,0.002880964671270008,3.791120103921985e-10
16,0.08807532936616252,0.08781866033013334,0.7018115408142356,0.7014208298521524,0.5134118782377911,0.00018168253851002803,0.7016162125302984,0.7016162125301646,0.12437583214164866
17,0.02634759817379428,0.02546373782330815,0.7066802250365366,0.7065836551101653,0.5032278738394458,0.0006271381344844448,0.7066319417207407,0.7066319417253278,0.03663611020867496
18,0.012760363530370043,0.010815910781551953,0.7071540599103711,0.7068616022607324,0.5019427233104964,0.001372980324096684,0.7070078462089157,0.7070078462063637,0.01667110454381003
19,0.01058739718226087,0.008139054370589574,0.7071207522785709,0.7069666926467146,0.501419318937586,0.013241544775693398,0.7070437266566775,0.7070437266607237,0.0017316688758725212
20,0.059515016407839204,0.059131242112463255,0.704686156401371,0.704541609846052,0.5075406677169484,0.08389557209731766,0.7046138868282463,0.7046138868323529,0.0002719453104883835
21,0.011306153631712612,0.00905438810667953,0.707100935973549,0.7069642531920671,0.5014843566655075,0.0015908371377826543,0.7070325978836218,0.7070325978878366,0.014397232064925523
22,0.01622594424607935,0.014746089157133388,0.7071196501915052,0.7067538976906602,0.5025825730087538,0.0010470929409956582,0.7069367975957124,0.7069367975943933,0.02190050247094618
23,0.7070867001087976,0.7070866982670164,0.005330354049061644,0.0053279441446405585,0.5007765516812324,1.3306937599982839e-09,0.005329149233082636,0.0053291492330664065,0.9999715997651633
24,0.006875429064187082,0.0011905557903111135,0.7068987522619787,0.7072803299276382,0.5000088701365776,0.003991858805387412,0.707089566829389,0.7070895668393918,0.005723112019204479
25,0.6858757744111955,0.6858737920852265,0.17195641002323936,0.17199582461580248,0.4858932114880471,0.9699734168340474,0.17197611844687666,0.1719761184504877,1.39065102263985e-06
26,0.7066089280839085,0.7066088771330186,0.026523891882698117,0.026536919822276534,0.5009919637864196,0.9992958896371685,0.026530406652341836,0.026530406651997795,3.2493286726513715e-08
27,0.04472142870395102,0.04420781745076928,0.7058608559827879,0.7055537645581472,0.5065613413752932,0.0628824738611986,0.7057073269756418,0.7057073269733161,0.0003630291707159605
28,0.0070617051676475796,0.002003732497289953,0.7069397930291087,0.7072356371169148,0.5002896411162551,0.006407761286399903,0.7070877305413849,0.7070877305497824,0.003580952260501535
29,0.7069144538439597,0.7069144414697265,0.016494349399768377,0.016488519474921717,0.5022855123078445,1.2551052711990778e-08,0.016491434694999366,0.01649143469492826,0.9997279955885028
30,0.006779136584144295,0.00031927685603002883,0.7072848003235834,0.7068961398965795,0.5011855383392148,0.004610793616294818,0.7070904968143179,0.7070904968137652,0.004979880798293768
31,0.007714408598719872,0.0036958204168127235,0.7071938702104154,0.7069679333245158,0.501141393504273,0.0028339449907056244,0.7070809107901375,0.7070809107934629,0.008070932007699733
32,0.012606036704466157,0.010633355411742549,0.7071893364640144,0.7068318484509829,0.5020292914780156,0.016432853502284878,0.7070106150514732,0.7070106150529738,0.001393460702205788
33,0.006863407498322898,0.0011189606424726018,0.7072434294866484,0.7069359044585012,0.5011141544543447,0.0040323784524171815,0.7070896836922084,0.7070896836898755,0.005665541406072267
34,0.011948977211039932,0.009845426130077262,0.7071855594259691,0.7068584540549268,0.5018750051082861,0.015410412194923622,0.7070220256564311,0.7070220256584792,0.0014932067621050884
35,0.006792180408377194,0.0005294434653034786,0.70693184797956,0.7072488588093409,0.5002252947570318,0.004422103748441142,0.7070903711558524,0.7070903711645281,0.005182569200784334
36,0.7070459031903357,0.7070458976069818,0.009276265844494161,0.009281182623025241,0.49977875089319745,0.9999139015640799,0.009278724559512078,0.009278724559355241,3.907488531131943e-09
37,0.7070638215296351,0.7070638175888548,0.007796862359617697,0.007793200766122771,0.5011466539623499,0.9999392356334267,0.007795031777878056,0.0077950317778564,2.816820113064436e-09
38,0.7062863976068706,0.7062863223211515,0.03404995725856221,0.03405518856593502,0.5031368321394228,0.9988397491802306,0.034052573012551705,0.03405257301285971,5.2988038255942304e-08
39,0.7066508793971433,0.7066508375626498,0.02539122737449193,0.025385310548899382,0.5032747965255774,2.938431034195719e-08,0.025388269134133622,0.025388269133991965,0.9993552279248606
40,0.707034415844773,0.7070344092081663,0.010115983089039632,0.010116614692742736,0.5010385720928604,4.646013061693322e-09,0.010116298895778782,0.010116298895862021,0.9998976552594273
41,0.04536269272837169,0.04485648617506514,0.7054752469711222,0.7058574910472348,0.5006989787466899,0.00035794671651235427,0.7056663948958561,0.7056663948858194,0.06379459316972415
42,0.6952581074560154,0.6952570061639125,0.12894255509933233,0.12887080432301545,0.5190498354562277,0.9832426624577244,0.12890668470334424,0.1289066847033074,7.988465009584827e-07
43,0.008061520933608634,0.004374411863236348,0.7072332948724274,0.7069207473436966,0.5012919695970198,0.002605426839538599,0.7070770383785179,0.7070770383762613,0.008794051961186326
44,0.012444553385596436,0.010441394305585718,0.7070225107790891,0.7070044410239739,0.5013975597284505,0.0014144072922952023,0.7070134759618959,0.7070134759566234,0.016182987240407128
45,0.7071030901162946,0.7071030897776134,0.0022852085749785925,0.002284337258126052,0.5003219526497752,2.396786125845747e-10,0.0022847729580832074,0.002284772958092391,0.999994779798905
46,0.09479738567367535,0.09455956023213076,0.7006356676518779,0.7008434964042575,0.5068890230312009,0.1338955805198783,0.7007395897365865,0.7007395897292648,0.00016816391500491614
47,0.7071042393181841,0.7071042390850257,0.001896479114586603,0.0018955667244152335,0.5002807561247018,1.652808738757828e-10,0.001896022974380166,0.0018960229743850878,0.9999964050904191
48,0.706946532082982,0.7069465173835014,0.015052557072535387,0.015054662425999822,0.5014141943178364,1.0408429961755997e-08,0.015053609786006433,0.015053609786140915,0.9997733631502773
49,0.707106740467272,0.7071067404635379,0.00023990936355894443,0.00024004224188675397,0.499997766540681,2.612594064518343e-12,0.00023997581191802973,0.0002399758119218667,0.9999999424116082
50,0.7070196644440995,0.7070196511853223,0.011097508625976985,0.011102237571521689,0.5005867181400437,0.9998767852206588,0.01109987335052059,0.011099873350653345,5.534658746965332e-09
51,0.06611089057228696,0.06576622262440333,0.7040653574474693,0.7039858851936053,0.5078438945686925,0.09325120234125887,0.704025622439556,0.7040256224442778,0.00024321277326685233
52,0.011004168396318233,0.008674310440275518,0.7072316513322597,0.7068430207421927,0.5018315020458061,0.013915037875590765,0.7070373627393829,0.7070373627388029,0.001645327571638168
53,0.006784430834932416,0.0004175531815768734,0.7072857381295867,0.7068950995629282,0.5011882629551033,0.00508151564990329,0.7070904458225191,0.7070904458229571,0.004514537751887194
54,0.7035885711499077,0.7035882424131237,0.07044341445167229,0.07045878553550972,0.5058998101310914,2.281810255617436e-07,0.07045110041246075,0.07045110041314048,0.9950242634736076
55,0.7070651921758024,0.707065188361,0.007671344440645026,0.00766706566371075,0.5011749077028438,2.732129424951762e-09,0.007669205350578477,0.007669205350577478,0.9999411815594861
56,0.02539147587667369,0.02447300380891211,0.7066587506937085,0.7066751411401002,0.5026967805357817,0.035259518329289655,0.7066669459616354,0.7066669459672137,0.0006490992321794237
57,0.016414030181200592,0.014952826324678297,0.7067762503024035,0.7070886257111463,0.500711501829313,0.001034527867030353,0.7069324552563184,0.7069324552649122,0.02217965623034356
58,0.008728794365385708,0.005508215397620196,0.7071717280532059,0.7069664877175913,0.5012495350390629,0.010066727378201662,0.7070691153340417,0.7070691153304892,0.0022788783196256266
59,0.0072145935435081405,0.002489218822328732,0.7068891347350288,0.7072831855940312,0.4998622197019206,0.00334779150024692,0.7070861876199953,0.7070861876090494,0.006858488286382814
60,0.015108808070942701,0.013506984666711009,0.7071541101536238,0.70676895077297,0.5024489580698052,0.0011321406031153103,0.7069615566934829,0.7069615566927357,0.020234450172073558
61,0.5549240536814513,0.5549081819203134,0.438347663091089,0.4381638170207767,0.5473767755663078,0.784769899773781,0.43825574969701775,0.43825574969547254,1.1198741481208154e-05
62,0.044816491567378776,0.044303992753647894,0.7057860554545319,0.7056165263339657,0.505847745486509,0.06301770182810085,0.7057012959868959,0.705701295983007,0.00036186548439095986
63,0.7019938368236637,0.7019933609313199,0.08489198941507589,0.08487244429050954,0.5107863787526317,0.9927688645063586,0.08488221741511687,0.08488221741559204,3.2819856948250224e-07
64,0.7070970201114376,0.7070970192160648,0.003716238021785877,0.00371471940334014,0.49946834767072934,6.385498055362599e-10,0.0037154787901002833,0.0037154787902010265,0.9999861951220723
65,0.6478146269520938,0.6478089347354046,0.28352058078581766,0.2833652771258416,0.5382116657294982,0.9161442026089772,0.2834429395926819,0.28344293959241895,4.028112506302971e-06
66,0.007055986432934532,0.0019832339617022786,0.7069185872214212,0.70725694827284,0.4996040418267876,0.0035892934466972173,0.7070877879928981,0.7070877879801429,0.006390393823597807
67,0.7008501161267059,0.7008495449735811,0.09388517196956636,0.09383289350967987,0.4855043893205455,0.9911513318256089,0.09385903637798827,0.09385903638089117,4.06263681368608e-07
68,0.009827009949358213,0.007122165685295695,0.7071468982967003,0.7069624946634501,0.5013691102529465,0.0019156321084918928,0.7070547024936357,0.7070547024898775,0.011984394945866218
69,0.00697312046146717,0.001664435525758624,0.7069322213108952,0.7072449644344218,0.5002450512017897,0.006104655863720533,0.7070886101590208,0.707088610167628,0.0037587140587017308
70,0.6680365181034931,0.6680328351202648,0.2318363539509398,0.23175688491810967,0.5293608347195325,2.607525251689562e-06,0.23179662284067676,0.23179662283965327,0.9447436960747551
71,0.707097350726066,0.7070973445921296,0.003654046646464135,0.003652021429597869,0.5005590812126985,6.235246882795875e-10,0.0036530341783759554,0.003653034178377609,0.9999866552522495
72,0.0859019648662574,0.08563858015064345,0.7020352553401785,0.7017359805469165,0.5122457846899178,0.12129748202432451,0.7018856338932035,0.7018856338956002,0.00018633267815140522
73,0.032825252632837726,0.03212069746787082,0.7065068872414678,0.7062144021925169,0.504792027970953,0.04592371228097107,0.7063606598545039,0.7063606598570394,0.0004990656937627558
74,0.7071058869078412,0.707105886825821,0.001124912812148812,0.0011243165454020852,0.5001711371763937,0.9999987352409281,0.0011246147182936424,0.001124614718291887,5.680686626292929e-11
75,0.012159196528918155,0.010099620728162013,0.7069875260315744,0.7070493544560308,0.4987742807684881,0.0014542654180365912,0.7070184409117801,0.7070184409275421,0.01573955244520879
76,0.24560091177663548,0.24551880181145908,0.6629143091241055,0.6632837468610729,0.4995389480048056,0.347274079841218,0.6630990537159384,0.6630990537261998,5.812817409497197e-05
77,0.7071009865870718,0.7071009860556023,0.0028630538426812607,0.0028623782903959396,0.5003716617567033,3.7327049480664734e-10,0.0028627160864580278,0.002862716086473885,0.9999918048230275
78,0.704754195853621,0.7047539797035807,0.05761793687525416,0.057650020545713644,0.5002926778985816,0.9966727890743762,0.05763398094259115,0.057633980943459236,1.5276709885596816e-07
79,0.053093280151386625,0.052662099350720804,0.7052823219352962,0.7049713847450385,0.5077448823072925,0.0003045644697763486,0.7051268704804081,0.7051268704781332,0.07478034699503047
80,0.7071058531834826,0.7071058583667356,0.0011458744343310339,0.0011453730628801751,0.5001659587190941,6.126314301405445e-11,0.0011456237760350508,0.0011456237760312821,0.9999986875453029
81,0.01019221776476874,0.007617912815218991,0.7072122964500723,0.7068867333959487,0.5016208382590653,0.012593554593613318,0.7070495336602802,0.7070495336623599,0.001821065985192789
82,0.707106780911022,0.7071067809109967,1.9743809111711262e-05,1.9736335170564435e-05,0.50000278439186,1.783454942619055e-14,1.974007249489855e-05,1.9740072494818793e-05,0.9999999996103303
83,0.06934492219514742,0.06901667157568213,0.7036346625306856,0.7037941762303007,0.5056896707872488,0.00023206881184648686,0.7037144239036194,0.7037144238967659,0.09783642130466133
84,0.007227063168407518,0.00252526918559466,0.7069134004946952,0.7072586774120376,0.5001661360361639,0.006893922754982128,0.7070860600331867,0.707086060024056,0.0033288519709155644
85,0.707106592529108,0.7071065872429626,0.000523684742030267,0.0005237216374903646,0.4999469191967577,0.9999997257349311,0.0005237031900793503,0.0005237031900911129,1.2704934707779536e-11
86,0.7070955583209346,0.7070955625598732,0.0039848605185015705,0.003983107838395862,0.5005783170680257,0.9999841277433337,0.003983984274824701,0.003983984274837525,7.270763002995824e-10
87,0.05141600476770505,0.05097047631589318,0.7054346305297108,0.7050676471426395,0.5078580450228366,0.07239817574130299,0.7052511627071681,0.7052511627059079,0.0003148832690152307
88,0.016966996754137563,0.015557871784121621,0.7068639377448501,0.7069748561034794,0.4984068728681083,0.0009944193582657464,0.706919399107266,0.7069193990919427,0.022998640904322777
89,0.7070088644100475,0.7070088554277578,0.01177025839869959,0.011764565847152537,0.5017444063232989,0.9998615184152521,0.011767412467166491,0.011767412467136555,6.338814792529316e-09
