traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.7052824643657007,0.7052822968355591,0.05076299607350224,0.050760668418019836,0.504147665142944,1.1905441574382935e-07,0.05076183225910271,0.05076183225910271,0.9974199079481941
2,0.16377750682146094,0.16364496778341803,0.6879101140048977,0.6878785708679575,0.5129670421543645,0.23152265118313814,0.6878943426172276,0.6878943426172276,9.369925615930598e-05
3,0.7071016021698131,0.7071016069632854,0.0027064516370836804,0.00270632756366432,0.5002228539824057,0.9999926754285011,0.0027063896010850134,0.0027063896010850134,3.3379333122823033e-10
4,0.0924953358451062,0.09225136484052598,0.7010632536976055,0.7010311069039048,0.507524956453334,0.0001714009944686901,0.7010471804850182,0.7010471804850182,0.13063564632112448
5,0.707100347434809,0.7071003521131236,0.0030165364259818524,0.0030163981123820386,0.5002481121317024,4.1781953530637633e-10,0.003016467269974705,0.003016467269974705,0.9999909008838124
6,0.7060928222892531,0.7060927292109913,0.03785584757034237,0.03785411142126654,0.5031047001180694,6.51205054232651e-08,0.03785497950575762,0.03785497950575762,0.9985659723089069
7,0.7071063995711707,0.7071063995361705,0.000734666588638355,0.0007346329005813546,0.5000604907129237,0.9999994602896098,0.0007346497448029546,0.0007346497448029546,2.4597149210543128e-11
8,0.7071067594375408,0.7071067594350631,0.00019547845016531978,0.00019546948737094678,0.5000161012097079,0.9999999617899272,0.00019547396881950313,0.00019547396881950313,1.7398879234119485e-12
9,0.7067358018390858,0.706735767802305,0.022903154998514287,0.022902104681970386,0.5018818271455066,2.4025960737010346e-08,0.022902629846263293,0.022902629846263293,0.999475331907821
10,0.020200018307493104,0.01903197645709599,0.7068506093030741,0.7068181939228555,0.501682641762776,0.0008338407187460172,0.7068344017987859,0.7068344017987859,0.027740972894660237
11,0.7070737764193368,0.70707377339244,0.0068322017372352195,0.0068318884724315725,0.5005616948123452,2.1385410096075604e-09,0.006832045106628886,0.006832045106628886,0.9999533220702486
12,0.7070763797652498,0.7070763769769072,0.006557219014944928,0.00655691833619568,0.5005395175112292,1.9782451484755102e-09,0.006557068677293783,0.006557068677293783,0.9999570039260296
13,0.010274256883313772,0.007727362199312605,0.7070645570762556,0.7070321348039964,0.5008680747006523,0.0017997726037281329,0.7070483461259699,0.7070483461259699,0.012729230127488288
