traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.0006828396289472909,0.013287466803135209,0.7070441941893725,0.7070441884487115,0.49972297277290956,0.009408056228586165,0.9999114845605055,4.9634054155182653e-08,0.009408056228735147
2,0.2569773194105064,0.39350544786169034,0.624149921318602,0.6241418072278923,0.3772003829494636,0.33232806095249023,6.970509073268079e-05,0.8826755434206373,0.3323280609455015
3,0.3944958012982128,0.9141973947830425,0.06580899534395691,0.06546267838857367,0.30687119605507246,0.704053909107351,0.002969139331126341,0.09277591466333887,0.7040539091154024
4,0.3469616260567632,0.9372087134376835,0.025527025549376615,0.02461362011261347,0.257145428407654,0.7066620623119649,0.008058139020542076,0.03453296575697191,0.706662062347028
5,0.7272701019270805,0.5655879953981202,0.2749794063761356,0.27490862178728,0.4420226993316636,0.651464341222022,0.000607913164077007,0.3888290816098233,0.6514643411977431
6,0.7104465999180103,0.7032225560146077,0.019868246969595778,0.01867954895651654,0.49276832982583774,0.7068438042581515,0.011181953873580239,0.02487240829579786,0.706843804241779
7,0.6727662013867177,0.7379532497334531,0.03779131465489669,0.03718139341347135,0.49176193747110736,0.7061123708477918,0.005265799922201996,0.05275330160939767,0.7061123708420558
8,0.008317417324971805,0.005169763721175709,0.7070728740771035,0.70707287096655,0.5031442780053988,0.006924806403952239,0.9999520459064698,2.7231696572071095e-08,0.006924806403990139
9,0.20996179403051282,0.9771275819785794,0.024326299706535666,0.023365888101387025,0.16002992078923148,0.7067044171466369,0.008534927836390259,0.032632630770539295,0.7067044171372141
10,0.010309636560322246,0.007926410908801836,0.7070469896543528,0.7070469841706538,0.49609404457367606,0.009195558599329396,4.741034182381148e-08,0.9999154381266935,0.009195558598987073
11,0.9328734945074078,0.28045092847892766,0.15990283487050877,0.15976671543603407,0.7267422206843918,0.6888053716531559,0.22603749976494886,0.0011698977966690346,0.6888053716550949
12,0.9895726318537321,0.14205693580733394,0.01748804441564649,0.01612456441671485,0.7087555636409247,0.7069067006060505,0.01826429068856505,0.01523971655760065,0.7069067006070596
13,0.3391852881949267,0.9398691826009294,0.028679633561629673,0.027870028488599135,0.252783917748363,0.7065411311872908,0.007066469825880275,0.03936146431961859,0.7065411311957703
14,0.012986699588188943,0.0077802913785688455,0.7070257503121448,0.7070257428802853,0.5049196317641327,0.010704842365541554,0.9998853997833286,6.38290448967793e-08,0.010704842364939635
15,0.007482151823157388,0.0026576280476571152,0.7070844918782093,0.7070844898337575,0.49716758163864644,0.005614516091150806,1.7512116762532747e-08,0.9999684767122065,0.005614516090959469
16,0.17393263467871817,0.9589397445160782,0.1584701245416221,0.15833263911439785,0.20655158841508744,0.6891364143130086,0.0011810365183560023,0.2240102902411175,0.6891364142799677
17,0.3825345937950113,0.3575493796753605,0.6024277131503502,0.6024172773686666,0.6145241818988054,0.37025280171399544,8.965083522876162e-05,0.8519540583896326,0.3702528017167275
18,0.005847617883825995,0.007800769206140404,0.7070731778687818,0.7070731747870359,0.49777547806315686,0.006893715802051932,2.6400208047780214e-08,0.9999524755531514,0.00689371580232675
19,0.8177923237319991,0.2564771691498332,0.36432736745120525,0.364281136316425,0.7487383582068345,0.6060382921285856,0.00039493265163007224,0.5152038635124082,0.6060382921267948
20,0.09972212022563515,0.053702827255032115,0.702556792575669,0.7025563738761865,0.46277222480014885,0.0800889965353084,3.555864420199088e-06,0.9935650483262906,0.08008899653323352
21,0.7004333635528293,0.7132374993827748,0.019120732451055736,0.01788232834608768,0.485940373705784,0.7068644211887196,0.01195619480004392,0.02329011555243017,0.7068644212159754
22,0.06508226294887144,0.11034192013516282,0.7012808682223525,0.7012803316617722,0.5219105321858623,0.09058432615477095,4.634408314816625e-06,0.9917605354564499,0.09058432615384839
23,0.4787648015673018,0.8775886324598222,0.018279565112206856,0.01697982499438668,0.32944090393017195,0.7068866751689206,0.021207849031349903,0.013140932120473037,0.7068866751545881
