traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.997553890868326,0.05227138892859393,0.033163938016155005,0.03246675111871036,0.7195626265119893,0.7063448390437951,0.006054860177115337,0.04601386075063943,0.7063448390434067
2,0.992326980833992,0.10917654475574565,0.04131190670498058,0.04075501869082462,0.7188508970674905,0.7059151347070731,0.057832361078984124,0.004802415654697921,0.7059151347062934
3,0.0060692825979569084,0.01123348544692547,0.7070491425953742,0.7070491373089371,0.5022565447811222,0.009028493391254935,4.562947337478342e-08,0.9999184829845703,0.009028493391350378
4,0.13159894466865746,0.0,0.7009642439147739,0.700963678110226,0.5511679698145207,0.09300282448178047,0.9913127403870463,4.811644393349794e-06,0.09300282448176417
5,0.7239779109424271,0.6885837243951937,0.02961601570357532,0.028832803875728005,0.4994916639713564,0.7065024986006075,0.00681453504968102,0.04076764743699697,0.7065024985841281
6,0.004359572275350597,0.00018053853296651283,0.7071000503494639,0.7071000497321448,0.49834804908610664,0.0030853253139104158,0.9999904807223998,5.230254291982005e-09,0.0030853253140041624
7,0.9414044496108159,0.30997117646051686,0.09412910758814559,0.09388952615329778,0.6320550766561539,0.7008296754383603,0.002058410336227452,0.1329334230489804,0.7008296754621076
8,0.07033735348229664,0.09358533867085392,0.702244640339951,0.7022441928411337,0.47186155037744304,0.08278151585474328,3.8516224449696225e-06,0.9931235780357085,0.08278151585654005
9,0.3921686551970964,0.9105474648875749,0.0926070509438482,0.09236338118101162,0.31755436044073454,0.7010324314692985,0.0020949018119235862,0.13077718246736988,0.7010324314612929
10,0.005488863487322596,0.02127949881265628,0.706936021667219,0.7069360060035366,0.4978215659518885,0.015539380378331512,0.9997584984959567,1.3289572882068026e-07,0.015539380378608424
11,0.8478979794661523,0.5252682998934414,0.051028664129472025,0.05057968941607878,0.620518538186318,0.7052792959037996,0.0038647318109132174,0.07174464016423229,0.7052792958999796
