traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.3030875943962315,0.6388567211222781,0.6564461110070444,0.2628278968141161,0.2508019809997215,0.49999999998954414,0.5000000000009367,0.499999999999068,0.5000000000104589
2,0.48757604100073704,0.5121226457031987,0.3035675874806555,0.6386287809292484,0.5593692747961289,0.5000000000019875,0.5000000000027585,0.499999999997245,0.4999999999980091
3,0.011831984155297378,0.7070077822421391,0.24182014216693554,0.6644719849943719,0.1817258089652811,0.4999999999960981,0.5000000000046897,0.4999999999953082,0.5000000000039013
4,0.20373723763770218,0.677119736826326,0.7046880990369082,0.058435289643767166,0.6419403865631222,0.499999999996862,0.4999999999998034,0.5000000000001991,0.5000000000031327
5,0.6937143334646934,0.13696869549512822,0.6992313254905611,0.10524045539962039,0.9849654663588716,0.5000000000081656,0.49999999999194394,0.5000000000080628,0.4999999999918355
6,0.6785336209864039,0.1989777002356781,0.6658621247852611,0.2379656083900779,0.01720694230931252,0.4999999999993052,0.49999999999315364,0.5000000000068491,0.5000000000006951
7,0.3655485307118073,0.6052885907335345,0.7066371267461367,0.02576763675548892,0.7585441676507721,0.5000000000025108,0.4999999999999069,0.5000000000000918,0.499999999997487
8,0.636642444017925,0.30771156166611,0.542716593521486,0.4532755223001006,0.833747889429728,0.5000000000011039,0.49999999999829586,0.5000000000016993,0.4999999999988912
9,0.3602620402672077,0.6084498848241385,0.5752837821667734,0.4111551653279914,0.1481683662120848,0.4999999999948393,0.49999999999847694,0.5000000000015189,0.5000000000051595
10,0.6935052608159127,0.13802337925387217,0.05442086195339121,0.7050094820527206,0.4520714073782549,0.5000000000004896,0.5000000000040296,0.49999999999596606,0.49999999999951594
11,0.4151043210465154,0.5724407416043268,0.4713473354484374,0.5270974192363809,0.6272145613399687,0.4999999999976889,0.500000000002052,0.499999999997943,0.5000000000023115
12,0.4135208564491944,0.573585652959984,0.6727642394459283,0.21768848872354948,0.18253892842887556,0.5000000000023226,0.5000000000084616,0.4999999999915399,0.49999999999768396
13,0.33646255903515254,0.6219268067229238,0.04154208873913159,0.7058854403252598,0.26880384137139574,0.5000000000050543,0.5000000000039957,0.4999999999960002,0.4999999999949387
14,0.6810064602239729,0.19034232617370433,0.28620640658568025,0.6465956177003607,0.28000696859553054,0.5000000000070209,0.49999999999717004,0.5000000000028287,0.4999999999929817
15,0.47228069715279614,0.5262612878569569,0.4316114178329111,0.5600996197073023,0.6385265220878819,0.49999999999436656,0.49999999999455336,0.5000000000054472,0.5000000000056276
16,0.31743326021389684,0.6318513527465278,0.6884826542699439,0.1612192134003188,0.711163061575384,0.49999999999729466,0.4999999999994423,0.5000000000005627,0.5000000000027104
17,0.7064770783001847,0.029835177834737936,0.6509117759087417,0.2762496334537421,0.9597291325645094,0.5000000000001065,0.500000000000983,0.49999999999901606,0.49999999999988937
18,0.664711189472706,0.24116185766753603,0.6870779974504033,0.16710423519332518,1.4850259247680167e-09,0.500000000000848,0.4999999999928907,0.500000000007112,0.49999999999915845
19,0.03522395841674568,0.7062289148673986,0.33957104575114,0.6202350400352065,0.21537625489337875,0.4999999999885826,0.500000000002622,0.49999999999737504,0.5000000000114148
20,0.7064869049624652,0.029601698610128062,0.6780353738249658,0.20066896083360156,0.02028979237198134,0.500000000007802,0.5000000000007057,0.4999999999992932,0.4999999999921974
21,0.706311092060585,0.033535671041157684,0.28441906815327084,0.6473838070811028,0.7000757196729984,0.49999999999242917,0.5000000000048532,0.49999999999514444,0.5000000000075678
22,0.0666781225930173,0.7039559896647327,0.5203400278152596,0.4787966744383378,0.3204583547252273,0.500000000004082,0.49999999999818384,0.5000000000018131,0.4999999999959194
23,0.7044222011353231,0.06155779843093931,0.11358053799572887,0.6979251115904952,0.5788687283616217,0.5000000000079048,0.4999999999888604,0.5000000000111441,0.49999999999209305
24,0.6378585274071813,0.30518273053031786,0.06243504643962176,0.7043449900269658,0.4941764890546507,0.5000000000010931,0.4999999999963672,0.5000000000036373,0.4999999999989056
25,0.5349604346924561,0.4624038638610833,0.01596535794970688,0.7069265218857891,0.3886620095898626,0.49999999999405964,0.5000000000114924,0.49999999998850914,0.5000000000059414
26,0.6191721761740676,0.3415052240464858,0.7006959912024072,0.09500067322326168,0.9332873966355855,0.5000000000012421,0.499999999999674,0.500000000000323,0.499999999998758
27,0.04866535653269206,0.705430145731285,0.6887503866562102,0.1600715617495129,0.45421441918367955,0.5000000000113767,0.5000000000005522,0.4999999999994552,0.4999999999886252
28,0.6134046992104715,0.3517594084737198,0.6690151149213363,0.22895147085526701,0.9071608483865964,0.49999999999873457,0.5000000000007976,0.49999999999920164,0.5000000000012671
29,0.703602938588588,0.07030584771673318,0.11448443335324893,0.697777410439595,0.41624698033000734,0.49999999999975814,0.49999999999575406,0.5000000000042476,0.5000000000002452
30,0.4812375117371616,0.5180834462680936,0.52858701995427,0.46967623139335046,9.230495492762423e-11,0.500000000005689,0.4999999999828399,0.5000000000171563,0.49999999999431055
31,0.028490993186007164,0.7065325635151308,0.6632183261477168,0.24523754170562792,0.44830159646299544,0.50000000000374,0.5000000000085487,0.4999999999914503,0.49999999999624767
32,0.3682770816542176,0.6036323363509869,0.011477669110459407,0.7070136230029698,0.2681465685477868,0.4999999999974925,0.5000000000115711,0.4999999999884238,0.5000000000025058
33,0.3199766273487835,0.630567172977034,0.24773830080636286,0.6622882562099212,0.40214245972338486,0.5000000000026902,0.5000000000029671,0.4999999999970352,0.49999999999731026
34,0.5591016276168351,0.43290342251082625,0.6799764294355537,0.19398983326986,0.8763942778210518,0.5000000000060826,0.5000000000070056,0.4999999999929871,0.499999999993917
